Scope
Manufacturer	Model
Deadman Audio Devices	com.deadmanaudiodevices.getlayedvoltage

Remotable	Min	Max	Input type	Output type
Delay Time	0	4194304	Value	ValueOutput
Delay Time (Synced)	0	19	Value	ValueOutput
Delay Sync	0	1	Toggle	ValueOutput
Octave Correction	0	2	Value	ValueOutput
Note 1 Out Direct	0	4	Value	ValueOutput
Note 1 Out 2	0	4	Value	ValueOutput
Note 1 Out 3	0	4	Value	ValueOutput
Note 1 Out 4	0	4	Value	ValueOutput
Note 1 Out 5	0	4	Value	ValueOutput
Note 1 Out 6	0	4	Value	ValueOutput
Note 1 Out 7	0	4	Value	ValueOutput
Note 1 Out 8	0	4	Value	ValueOutput
Note 1 Out 9	0	4	Value	ValueOutput
Note 2 Out Direct	0	4	Value	ValueOutput
Note 2 Out 2	0	4	Value	ValueOutput
Note 2 Out 3	0	4	Value	ValueOutput
Note 2 Out 4	0	4	Value	ValueOutput
Note 2 Out 5	0	4	Value	ValueOutput
Note 2 Out 6	0	4	Value	ValueOutput
Note 2 Out 7	0	4	Value	ValueOutput
Note 2 Out 8	0	4	Value	ValueOutput
Note 2 Out 9	0	4	Value	ValueOutput
Chain To Next Delay	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
