Scope
Manufacturer	Model
Alien Seed Tech	com.alienseed.KRON

Remotable	Min	Max	Input type	Output type
Device Enable	0	1	Toggle	ValueOutput
Run While Stopped	0	1	Toggle	ValueOutput
Display Enable	0	1	Toggle	ValueOutput
Phase Reset	0	1	Toggle	ValueOutput
Note Retrigger	0	2	Value	ValueOutput
Shaper Curve Enable	0	1	Toggle	ValueOutput
Shaper Curve Type	0	4	Value	ValueOutput
Shaper Curve Ignore Level	0	1	Toggle	ValueOutput
User Knob 1	0	4194304	Value	ValueOutput
User Knob 2	0	4194304	Value	ValueOutput
User Knob 3	0	4194304	Value	ValueOutput
User Knob 4	0	4194304	Value	ValueOutput
User Button 1	0	1	Toggle	ValueOutput
User Button 2	0	1	Toggle	ValueOutput
User Button 3	0	1	Toggle	ValueOutput
User Button 4	0	1	Toggle	ValueOutput
User 2d 5	0	4194304	Value	ValueOutput
User 2d 6	0	4194304	Value	ValueOutput
User 2d 7	0	4194304	Value	ValueOutput
User 2d 8	0	4194304	Value	ValueOutput
Envelope Enable	0	1	Toggle	ValueOutput
Envelope Gate Channel	0	3	Value	ValueOutput
Envelope Sync	0	1	Toggle	ValueOutput
Envelope Invert	0	1	Toggle	ValueOutput
Envelope Attack Free	0	4194304	Value	ValueOutput
Envelope Attack Sync	0	37	Value	ValueOutput
Envelope Decay Free	0	4194304	Value	ValueOutput
Envelope Decay Sync	0	37	Value	ValueOutput
Envelope Sustain	0	4194304	Value	ValueOutput
Envelope Release Free	0	4194304	Value	ValueOutput
Envelope Release Sync	0	37	Value	ValueOutput
Envelope Level	0	4194304	Value	ValueOutput
Envelope Loop	0	1	Toggle	ValueOutput
Gate 1 Enable	0	1	Toggle	ValueOutput
Gate 1 Trigger	0	1	Toggle	ValueOutput
Gate 1 Quant Channel	0	3	Value	ValueOutput
Gate 1 Source Channel	0	58	Value	ValueOutput
Gate 2 Enable	0	1	Toggle	ValueOutput
Gate 2 Trigger	0	1	Toggle	ValueOutput
Gate 2 Quant Channel	0	3	Value	ValueOutput
Gate 2 Source Channel	0	58	Value	ValueOutput
LFO 1 Enable	0	1	Toggle	ValueOutput
LFO 1 Waveform	0	17	Value	ValueOutput
LFO 1 Frequency Free	0	4194304	Value	ValueOutput
LFO 1 Frequency Sync	0	36	Value	ValueOutput
LFO 1 Frequency Sync B	0	36	Value	ValueOutput
LFO 1 Frequency Fine	0	4194304	Value	ValueOutput
LFO 1 Sync	0	2	Value	ValueOutput
LFO 1 Sync Mode	0	1	Toggle	ValueOutput
LFO 1 Phase	0	4194304	Value	ValueOutput
LFO 1 Level	0	4194304	Value	ValueOutput
LFO 1 Invert	0	1	Toggle	ValueOutput
LFO 1 High	0	4194304	Value	ValueOutput
LFO 1 Midpoint	0	4194304	Value	ValueOutput
LFO 1 Low	0	4194304	Value	ValueOutput
LFO 1 Warp	0	1	Toggle	ValueOutput
LFO 1 Curve Type	0	8	Value	ValueOutput
LFO 1 Curve	0	4194304	Value	ValueOutput
LFO 1 Curve Shape	0	57	Value	ValueOutput
LFO 1 Curve Mid	0	4194304	Value	ValueOutput
LFO 1 Phase Curve	0	4194304	Value	ValueOutput
LFO 1 Curve Mul	0	36	Value	ValueOutput
LFO 1 Quant Channel	0	3	Value	ValueOutput
LFO 1 Gate Channel	0	3	Value	ValueOutput
LFO 1 Gate Type	0	4	Value	ValueOutput
LFO 1 Polarity	0	1	Toggle	ValueOutput
LFO 1 Steps	0	62	Value	ValueOutput
LFO 1 Steps Type	0	11	Value	ValueOutput
LFO 1 Steps n/a	0	62	Value	ValueOutput
LFO 1 Freq Free Dummy	0	4194304	Value	ValueOutput
LFO 1 Freq Sync Dummy	0	36	Value	ValueOutput
LFO 2 Enable	0	1	Toggle	ValueOutput
LFO 2 Waveform	0	17	Value	ValueOutput
LFO 2 Frequency Free	0	4194304	Value	ValueOutput
LFO 2 Frequency Sync	0	36	Value	ValueOutput
LFO 2 Frequency Sync B	0	36	Value	ValueOutput
LFO 2 Frequency Fine	0	4194304	Value	ValueOutput
LFO 2 Sync	0	2	Value	ValueOutput
LFO 2 Sync Mode	0	1	Toggle	ValueOutput
LFO 2 Phase	0	4194304	Value	ValueOutput
LFO 2 Level	0	4194304	Value	ValueOutput
LFO 2 Invert	0	1	Toggle	ValueOutput
LFO 2 High	0	4194304	Value	ValueOutput
LFO 2 Midpoint	0	4194304	Value	ValueOutput
LFO 2 Low	0	4194304	Value	ValueOutput
LFO 2 Warp	0	1	Toggle	ValueOutput
LFO 2 Curve Type	0	8	Value	ValueOutput
LFO 2 Curve	0	4194304	Value	ValueOutput
LFO 2 Curve Shape	0	57	Value	ValueOutput
LFO 2 Curve Mid	0	4194304	Value	ValueOutput
LFO 2 Phase Curve	0	4194304	Value	ValueOutput
LFO 2 Curve Mul	0	36	Value	ValueOutput
LFO 2 Quant Channel	0	3	Value	ValueOutput
LFO 2 Gate Channel	0	3	Value	ValueOutput
LFO 2 Gate Type	0	4	Value	ValueOutput
LFO 2 Polarity	0	1	Toggle	ValueOutput
LFO 2 Steps Type	0	11	Value	ValueOutput
LFO 2 Steps	0	62	Value	ValueOutput
LFO 3 Enable	0	1	Toggle	ValueOutput
LFO 3 Waveform	0	17	Value	ValueOutput
LFO 3 Frequency Free	0	4194304	Value	ValueOutput
LFO 3 Frequency Sync	0	36	Value	ValueOutput
LFO 3 Frequency Sync B	0	36	Value	ValueOutput
LFO 3 Frequency Fine	0	4194304	Value	ValueOutput
LFO 3 Sync	0	2	Value	ValueOutput
LFO 3 Sync Mode	0	1	Toggle	ValueOutput
LFO 3 Phase	0	4194304	Value	ValueOutput
LFO 3 Level	0	4194304	Value	ValueOutput
LFO 3 Invert	0	1	Toggle	ValueOutput
LFO 3 High	0	4194304	Value	ValueOutput
LFO 3 Midpoint	0	4194304	Value	ValueOutput
LFO 3 Low	0	4194304	Value	ValueOutput
LFO 3 Warp	0	1	Toggle	ValueOutput
LFO 3 Curve Type	0	8	Value	ValueOutput
LFO 3 Curve	0	4194304	Value	ValueOutput
LFO 3 Curve Shape	0	57	Value	ValueOutput
LFO 3 Curve Mid	0	4194304	Value	ValueOutput
LFO 3 Phase Curve	0	4194304	Value	ValueOutput
LFO 3 Curve Mul	0	36	Value	ValueOutput
LFO 3 Quant Channel	0	3	Value	ValueOutput
LFO 3 Gate Channel	0	3	Value	ValueOutput
LFO 3 Gate Type	0	4	Value	ValueOutput
LFO 3 Polarity	0	1	Toggle	ValueOutput
LFO 3 Steps Type	0	11	Value	ValueOutput
LFO 3 Steps	0	62	Value	ValueOutput
LFO 4 Enable	0	1	Toggle	ValueOutput
LFO 4 Waveform	0	17	Value	ValueOutput
LFO 4 Frequency Free	0	4194304	Value	ValueOutput
LFO 4 Frequency Sync	0	36	Value	ValueOutput
LFO 4 Frequency Sync B	0	36	Value	ValueOutput
LFO 4 Frequency Fine	0	4194304	Value	ValueOutput
LFO 4 Sync	0	2	Value	ValueOutput
LFO 4 Sync Mode	0	1	Toggle	ValueOutput
LFO 4 Phase	0	4194304	Value	ValueOutput
LFO 4 Level	0	4194304	Value	ValueOutput
LFO 4 Invert	0	1	Toggle	ValueOutput
LFO 4 High	0	4194304	Value	ValueOutput
LFO 4 Midpoint	0	4194304	Value	ValueOutput
LFO 4 Low	0	4194304	Value	ValueOutput
LFO 4 Warp	0	1	Toggle	ValueOutput
LFO 4 Curve Type	0	8	Value	ValueOutput
LFO 4 Curve	0	4194304	Value	ValueOutput
LFO 4 Curve Mid	0	4194304	Value	ValueOutput
LFO 4 Phase Curve	0	4194304	Value	ValueOutput
LFO 4 Curve Mul	0	36	Value	ValueOutput
LFO 4 Quant Channel	0	3	Value	ValueOutput
LFO 4 Gate Channel	0	3	Value	ValueOutput
LFO 4 Steps	0	62	Value	ValueOutput
Grid Enable	0	1	Toggle	ValueOutput
Grid Function	0	14	Value	ValueOutput
Grid Frequency Free	0	4194304	Value	ValueOutput
Grid Frequency Sync	0	36	Value	ValueOutput
Grid Frequency Sync B	0	36	Value	ValueOutput
Grid No Frequency	0	1	Toggle	ValueOutput
Grid Sync	0	2	Value	ValueOutput
Grid Env Sync	0	1	Toggle	ValueOutput
Grid Phase	0	4194304	Value	ValueOutput
Grid Level	0	4194304	Value	ValueOutput
Grid Invert	0	1	Toggle	ValueOutput
Grid Smooth Batches	0	256	Value	ValueOutput
Grid High	0	4194304	Value	ValueOutput
Grid Midpoint	0	4194304	Value	ValueOutput
Grid Low	0	4194304	Value	ValueOutput
Grid Warp	0	1	Toggle	ValueOutput
Grid Quant Channel	0	3	Value	ValueOutput
Grid Gate Channel	0	3	Value	ValueOutput
Grid Gate Type	0	3	Value	ValueOutput
Grid Polarity	0	1	Toggle	ValueOutput
Grid Source A	0	9	Value	ValueOutput
Grid Source B	0	9	Value	ValueOutput
Grid Button A1	0	1	Toggle	ValueOutput
Grid Button A2	0	1	Toggle	ValueOutput
Grid Button A3	0	1	Toggle	ValueOutput
Grid Button A4	0	1	Toggle	ValueOutput
Grid Button B1	0	1	Toggle	ValueOutput
Grid Button B2	0	1	Toggle	ValueOutput
