Scope
Manufacturer	Model
Propellerheads	ReGroove Mixer

Remotable	Min	Max	Input type	Output type
Pattern Shuffle	0	127	Value	ValueOutput
A1 Groove Ch On	0	1	Toggle	ValueOutput
A1 Patch Name	0	0	-	TextOutput
A1 Select Patch	0	0	Delta	TextOutput
A1 Select Next Patch	0	0	Trig	TextOutput
A1 Select Previous Patch	0	0	Trig	TextOutput
A1 Groove Amount	0	100	Value	ValueOutput
A1 Slide	-120	120	Value	ValueOutput
A1 Shuffle	25	75	Value	ValueOutput
A1 Pre-Align	0	1	Toggle	ValueOutput
A1 Use Global Shuffle	0	1	Toggle	ValueOutput
A2 Groove Ch On	0	1	Toggle	ValueOutput
A2 Patch Name	0	0	-	TextOutput
A2 Select Patch	0	0	Delta	TextOutput
A2 Select Next Patch	0	0	Trig	TextOutput
A2 Select Previous Patch	0	0	Trig	TextOutput
A2 Groove Amount	0	100	Value	ValueOutput
A2 Slide	-120	120	Value	ValueOutput
A2 Shuffle	25	75	Value	ValueOutput
A2 Pre-Align	0	1	Toggle	ValueOutput
A2 Use Global Shuffle	0	1	Toggle	ValueOutput
A3 Groove Ch On	0	1	Toggle	ValueOutput
A3 Patch Name	0	0	-	TextOutput
A3 Select Patch	0	0	Delta	TextOutput
A3 Select Next Patch	0	0	Trig	TextOutput
A3 Select Previous Patch	0	0	Trig	TextOutput
A3 Groove Amount	0	100	Value	ValueOutput
A3 Slide	-120	120	Value	ValueOutput
A3 Shuffle	25	75	Value	ValueOutput
A3 Pre-Align	0	1	Toggle	ValueOutput
A3 Use Global Shuffle	0	1	Toggle	ValueOutput
A4 Groove Ch On	0	1	Toggle	ValueOutput
A4 Patch Name	0	0	-	TextOutput
A4 Select Patch	0	0	Delta	TextOutput
A4 Select Next Patch	0	0	Trig	TextOutput
A4 Select Previous Patch	0	0	Trig	TextOutput
A4 Groove Amount	0	100	Value	ValueOutput
A4 Slide	-120	120	Value	ValueOutput
A4 Shuffle	25	75	Value	ValueOutput
A4 Pre-Align	0	1	Toggle	ValueOutput
A4 Use Global Shuffle	0	1	Toggle	ValueOutput
A5 Groove Ch On	0	1	Toggle	ValueOutput
A5 Patch Name	0	0	-	TextOutput
A5 Select Patch	0	0	Delta	TextOutput
A5 Select Next Patch	0	0	Trig	TextOutput
A5 Select Previous Patch	0	0	Trig	TextOutput
A5 Groove Amount	0	100	Value	ValueOutput
A5 Slide	-120	120	Value	ValueOutput
A5 Shuffle	25	75	Value	ValueOutput
A5 Pre-Align	0	1	Toggle	ValueOutput
A5 Use Global Shuffle	0	1	Toggle	ValueOutput
A6 Groove Ch On	0	1	Toggle	ValueOutput
A6 Patch Name	0	0	-	TextOutput
A6 Select Patch	0	0	Delta	TextOutput
A6 Select Next Patch	0	0	Trig	TextOutput
A6 Select Previous Patch	0	0	Trig	TextOutput
A6 Groove Amount	0	100	Value	ValueOutput
A6 Slide	-120	120	Value	ValueOutput
A6 Shuffle	25	75	Value	ValueOutput
A6 Pre-Align	0	1	Toggle	ValueOutput
A6 Use Global Shuffle	0	1	Toggle	ValueOutput
A7 Groove Ch On	0	1	Toggle	ValueOutput
A7 Patch Name	0	0	-	TextOutput
A7 Select Patch	0	0	Delta	TextOutput
A7 Select Next Patch	0	0	Trig	TextOutput
A7 Select Previous Patch	0	0	Trig	TextOutput
A7 Groove Amount	0	100	Value	ValueOutput
A7 Slide	-120	120	Value	ValueOutput
A7 Shuffle	25	75	Value	ValueOutput
A7 Pre-Align	0	1	Toggle	ValueOutput
A7 Use Global Shuffle	0	1	Toggle	ValueOutput
A8 Groove Ch On	0	1	Toggle	ValueOutput
A8 Patch Name	0	0	-	TextOutput
A8 Select Patch	0	0	Delta	TextOutput
A8 Select Next Patch	0	0	Trig	TextOutput
