Scope
Manufacturer	Model
u-he	com.uheplugins.UhbikS

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Range	0	5	Value	ValueOutput
Frequency	0	4194304	Value	ValueOutput
FreqOff	0	4194304	Value	ValueOutput
Phase	0	4194304	Value	ValueOutput
PhaseOff	0	4194304	Value	ValueOutput
AutoReset	0	1	Toggle	ValueOutput
Reset	0	1	Toggle	ValueOutput
Feedback	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
