Scope
Manufacturer	Model
Tracktion	vst.Comp.#TCompressor (64-bit)
Note: Will match scope definitions for vst.Comp.#TCompressor (64-bit) or vst.Comp

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Enable	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Ratio	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Hold	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Input	0	4194304	Value	ValueOutput
Make-up	0	4194304	Value	ValueOutput
Soft Knee	0	4194304	Value	ValueOutput
Lookahead	0	4194304	Value	ValueOutput
Limit	0	4194304	Value	ValueOutput
Use Sidechain Tr	0	4194304	Value	ValueOutput
Monitor Sidechai	0	4194304	Value	ValueOutput
Soft Clip	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Peak Detection	0	4194304	Value	ValueOutput
Use Sum Detectio	0	4194304	Value	ValueOutput
Auto	0	4194304	Value	ValueOutput
Filter	0	4194304	Value	ValueOutput
Type	0	4194304	Value	ValueOutput
Freq	0	4194304	Value	ValueOutput
Q	0	4194304	Value	ValueOutput
Gain	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
