Scope
Manufacturer	Model
Tracktion	vst.DDes.#TDelay Studio (64-bit)
Note: Will match scope definitions for vst.DDes.#TDelay Studio (64-bit) or vst.DDes

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
T1: Enable	0	4194304	Value	ValueOutput
T1: Delay	0	4194304	Value	ValueOutput
T1: Note Delay	0	4194304	Value	ValueOutput
T1: Filter Enabl	0	4194304	Value	ValueOutput
T1: Low Cut	0	4194304	Value	ValueOutput
T1: High Cut	0	4194304	Value	ValueOutput
T1: Resonance	0	4194304	Value	ValueOutput
T1: Transpose	0	4194304	Value	ValueOutput
T1: Semitones	0	4194304	Value	ValueOutput
T1: Flip	0	4194304	Value	ValueOutput
T1: Pan	0	4194304	Value	ValueOutput
T1: Spread	0	4194304	Value	ValueOutput
T1: Level	0	4194304	Value	ValueOutput
T2: Enable	0	4194304	Value	ValueOutput
T2: Delay	0	4194304	Value	ValueOutput
T2: Note Delay	0	4194304	Value	ValueOutput
T2: Filter Enabl	0	4194304	Value	ValueOutput
T2: Low Cut	0	4194304	Value	ValueOutput
T2: High Cut	0	4194304	Value	ValueOutput
T2: Resonance	0	4194304	Value	ValueOutput
T2: Transpose	0	4194304	Value	ValueOutput
T2: Semitones	0	4194304	Value	ValueOutput
T2: Flip	0	4194304	Value	ValueOutput
T2: Pan	0	4194304	Value	ValueOutput
T2: Spread	0	4194304	Value	ValueOutput
T2: Level	0	4194304	Value	ValueOutput
T3: Enable	0	4194304	Value	ValueOutput
T3: Delay	0	4194304	Value	ValueOutput
T3: Note Delay	0	4194304	Value	ValueOutput
T3: Filter Enabl	0	4194304	Value	ValueOutput
T3: Low Cut	0	4194304	Value	ValueOutput
T3: High Cut	0	4194304	Value	ValueOutput
T3: Resonance	0	4194304	Value	ValueOutput
T3: Transpose	0	4194304	Value	ValueOutput
T3: Semitones	0	4194304	Value	ValueOutput
T3: Flip	0	4194304	Value	ValueOutput
T3: Pan	0	4194304	Value	ValueOutput
T3: Spread	0	4194304	Value	ValueOutput
T3: Level	0	4194304	Value	ValueOutput
T4: Enable	0	4194304	Value	ValueOutput
T4: Delay	0	4194304	Value	ValueOutput
T4: Note Delay	0	4194304	Value	ValueOutput
T4: Filter Enabl	0	4194304	Value	ValueOutput
T4: Low Cut	0	4194304	Value	ValueOutput
T4: High Cut	0	4194304	Value	ValueOutput
T4: Resonance	0	4194304	Value	ValueOutput
T4: Transpose	0	4194304	Value	ValueOutput
T4: Semitones	0	4194304	Value	ValueOutput
T4: Flip	0	4194304	Value	ValueOutput
T4: Pan	0	4194304	Value	ValueOutput
T4: Spread	0	4194304	Value	ValueOutput
T4: Level	0	4194304	Value	ValueOutput
T5: Enable	0	4194304	Value	ValueOutput
T5: Delay	0	4194304	Value	ValueOutput
T5: Note Delay	0	4194304	Value	ValueOutput
T5: Filter Enabl	0	4194304	Value	ValueOutput
T5: Low Cut	0	4194304	Value	ValueOutput
T5: High Cut	0	4194304	Value	ValueOutput
T5: Resonance	0	4194304	Value	ValueOutput
T5: Transpose	0	4194304	Value	ValueOutput
T5: Semitones	0	4194304	Value	ValueOutput
T5: Flip	0	4194304	Value	ValueOutput
T5: Pan	0	4194304	Value	ValueOutput
T5: Spread	0	4194304	Value	ValueOutput
T5: Level	0	4194304	Value	ValueOutput
T6: Enable	0	4194304	Value	ValueOutput
T6: Delay	0	4194304	Value	ValueOutput
T6: Note Delay	0	4194304	Value	ValueOutput
T6: Filter Enabl	0	4194304	Value	ValueOutput
T6: Low Cut	0	4194304	Value	ValueOutput
T6: High Cut	0	4194304	Value	ValueOutput
T6: Resonance	0	4194304	Value	ValueOutput
T6: Transpose	0	4194304	Value	ValueOutput
T6: Semitones	0	4194304	Value	ValueOutput
T6: Flip	0	4194304	Value	ValueOutput
T6: Pan	0	4194304	Value	ValueOutput
T6: Spread	0	4194304	Value	ValueOutput
T6: Level	0	4194304	Value	ValueOutput
T7: Enable	0	4194304	Value	ValueOutput
T7: Delay	0	4194304	Value	ValueOutput
T7: Note Delay	0	4194304	Value	ValueOutput
T7: Filter Enabl	0	4194304	Value	ValueOutput
T7: Low Cut	0	4194304	Value	ValueOutput
