Scope
Manufacturer	Model
SoundHack	vst.%2Bpdl.+pitchdelay
Note: Will match scope definitions for vst.%2Bpdl.+pitchdelay or vst.%2Bpdl

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
time	0	4194304	Value	ValueOutput
pitch factor	0	4194304	Value	ValueOutput
feedback	0	4194304	Value	ValueOutput
octave	0	4194304	Value	ValueOutput
loop depth	0	4194304	Value	ValueOutput
mix	0	4194304	Value	ValueOutput
time lock	0	4194304	Value	ValueOutput
MIDI tuning	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
