Scope
Manufacturer	Model
Eventide	vst.22SR.2016 Stereo Room
Note: Will match scope definitions for vst.22SR.2016 Stereo Room or vst.22SR

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Input Level	0	4194304	Value	ValueOutput
Dry-Wet Mix	0	4194304	Value	ValueOutput
Kill	0	4194304	Value	ValueOutput
Predelay	0	4194304	Value	ValueOutput
Decay (RT60)	0	4194304	Value	ValueOutput
Position	0	4194304	Value	ValueOutput
Diffusion	0	4194304	Value	ValueOutput
EQ-LP Gain	0	4194304	Value	ValueOutput
EQ-LP Freq	0	4194304	Value	ValueOutput
EQ-HP Gain	0	4194304	Value	ValueOutput
EQ-HP CUTOFF	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
