Scope
Manufacturer	Model
Nomad Factory	vst.AmWm.AMT Max Warm x64
Note: Will match scope definitions for vst.AmWm.AMT Max Warm x64 or vst.AmWm

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Internal Use	0	4194304	Value	ValueOutput
Power	0	4194304	Value	ValueOutput
Input Thres	0	4194304	Value	ValueOutput
Out Ceiling	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
Recovery	0	4194304	Value	ValueOutput
Low Freq	0	4194304	Value	ValueOutput
High Freq	0	4194304	Value	ValueOutput
Low Gain	0	4194304	Value	ValueOutput
High Gain	0	4194304	Value	ValueOutput
Low HiQ	0	4194304	Value	ValueOutput
High HiQ	0	4194304	Value	ValueOutput
Low EQ	0	4194304	Value	ValueOutput
High EQ	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
