Scope
Manufacturer	Model
AXP	vst.AXS1.AXP SoftAmp PSA x64
Note: Will match scope definitions for vst.AXS1.AXP SoftAmp PSA x64 or vst.AXS1

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Enable	0	4194304	Value	ValueOutput
Preamp	0	4194304	Value	ValueOutput
Buzz	0	4194304	Value	ValueOutput
Punch	0	4194304	Value	ValueOutput
Crunch	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Low	0	4194304	Value	ValueOutput
High	0	4194304	Value	ValueOutput
Level	0	4194304	Value	ValueOutput
SpkReso	0	4194304	Value	ValueOutput
SpkRoll	0	4194304	Value	ValueOutput
Asymm	0	4194304	Value	ValueOutput
SoftClip	0	4194304	Value	ValueOutput
Stereo	0	4194304	Value	ValueOutput
Limiter	0	4194304	Value	ValueOutput
OverSmp	0	4194304	Value	ValueOutput
PSI_En	0	4194304	Value	ValueOutput
PSI_Thr	0	4194304	Value	ValueOutput
OS_Enab	0	4194304	Value	ValueOutput
OS_Gain	0	4194304	Value	ValueOutput
OS_Bias	0	4194304	Value	ValueOutput
OS_Level	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
