Scope
Manufacturer	Model
Arturia	vst.Ala2.Analog Lab 2
Note: Will match scope definitions for vst.Ala2.Analog Lab 2 or vst.Ala2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Root.Master	0	4194304	Value	ValueOutput
Root.Part 1 General Volu	0	4194304	Value	ValueOutput
Root.Part 1 Filter CutOf	0	4194304	Value	ValueOutput
Root.Part 1 Pro5 Mixer O	0	4194304	Value	ValueOutput
Root.Part 1 Filter Reson	0	4194304	Value	ValueOutput
Root.Part 1 Pro5 Mixer O	0	4194304	Value	ValueOutput
Part 1 Envelope Filter A	0	4194304	Value	ValueOutput
Part 1 Envelope Filter D	0	4194304	Value	ValueOutput
Part 1 Envelope Filter S	0	4194304	Value	ValueOutput
Part 1 Envelope Filter R	0	4194304	Value	ValueOutput
Root.Part 1 Chorus Dry-W	0	4194304	Value	ValueOutput
Root.Part 1 Delay Dry-We	0	4194304	Value	ValueOutput
Part 1 Envelope Filter A	0	4194304	Value	ValueOutput
Part 1 Envelope Filter D	0	4194304	Value	ValueOutput
Part 1 Envelope Filter S	0	4194304	Value	ValueOutput
Part 1 Envelope Filter R	0	4194304	Value	ValueOutput
Root.Part 1 Envelope Vca	0	4194304	Value	ValueOutput
Root.Part 1 Envelope Vca	0	4194304	Value	ValueOutput
Root.Part 1 Envelope Vca	0	4194304	Value	ValueOutput
Root.Part 1 Envelope Vca	0	4194304	Value	ValueOutput
Root.Part 1 Filter Keyb	0	4194304	Value	ValueOutput
Root.Part2 Param0	0	4194304	Value	ValueOutput
Root.Part2 Param1	0	4194304	Value	ValueOutput
Root.Part2 Param2	0	4194304	Value	ValueOutput
Root.Part2 Param3	0	4194304	Value	ValueOutput
Root.Part2 Param4	0	4194304	Value	ValueOutput
Root.Part2 Param5	0	4194304	Value	ValueOutput
Root.Part2 Param6	0	4194304	Value	ValueOutput
Root.Part2 Param7	0	4194304	Value	ValueOutput
Root.Part2 Param8	0	4194304	Value	ValueOutput
Root.Part2 Param9	0	4194304	Value	ValueOutput
Root.Part2 Param10	0	4194304	Value	ValueOutput
Root.Part2 Param11	0	4194304	Value	ValueOutput
Root.Part2 Param12	0	4194304	Value	ValueOutput
Root.Part2 Param13	0	4194304	Value	ValueOutput
Root.Part2 Param14	0	4194304	Value	ValueOutput
Root.Part2 Param15	0	4194304	Value	ValueOutput
Root.Part2 Param16	0	4194304	Value	ValueOutput
Root.Part2 Param17	0	4194304	Value	ValueOutput
Root.Part2 Param18	0	4194304	Value	ValueOutput
Root.Part2 Param19	0	4194304	Value	ValueOutput
Root.Macro1	0	4194304	Value	ValueOutput
Root.Macro2	0	4194304	Value	ValueOutput
Root.Macro3	0	4194304	Value	ValueOutput
Root.Macro4	0	4194304	Value	ValueOutput
Root.Macro5	0	4194304	Value	ValueOutput
Root.Macro6	0	4194304	Value	ValueOutput
Root.Macro7	0	4194304	Value	ValueOutput
Root.Macro8	0	4194304	Value	ValueOutput
Root.Part1 Volume	0	4194304	Value	ValueOutput
Root.Part1 Pan	0	4194304	Value	ValueOutput
Root.Part1 SendA	0	4194304	Value	ValueOutput
Root.Part1 SendB	0	4194304	Value	ValueOutput
Root.Part1 Routing SendA	0	4194304	Value	ValueOutput
Root.Part1 Routing SendB	0	4194304	Value	ValueOutput
Root.Part2 Volume	0	4194304	Value	ValueOutput
Root.Part2 Pan	0	4194304	Value	ValueOutput
Root.Part2 SendA	0	4194304	Value	ValueOutput
Root.Part2 SendB	0	4194304	Value	ValueOutput
Root.Part2 Routing SendA	0	4194304	Value	ValueOutput
Root.Part2 Routing SendB	0	4194304	Value	ValueOutput
Root.ReturnA	0	4194304	Value	ValueOutput
Root.ReturnB	0	4194304	Value	ValueOutput
Root.SendA Type	0	4194304	Value	ValueOutput
Root.SendA Active	0	4194304	Value	ValueOutput
Root.SendA Delay MIDI Sy	0	4194304	Value	ValueOutput
Root.SendA Delay Link	0	4194304	Value	ValueOutput
Root.SendA Delay Ping Po	0	4194304	Value	ValueOutput
Root.SendA Delay Time ch	0	4194304	Value	ValueOutput
Root.SendA Delay Time ch	0	4194304	Value	ValueOutput
Root.SendA Delay Feedbac	0	4194304	Value	ValueOutput
