Scope
Manufacturer	Model
SPC Plugins	vst.SPCa.ArcSyn x64
Note: Will match scope definitions for vst.SPCa.ArcSyn x64 or vst.SPCa

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
O1-Oct	0	4194304	Value	ValueOutput
O2-Oct	0	4194304	Value	ValueOutput
O3-Oct	0	4194304	Value	ValueOutput
O1-Semi	0	4194304	Value	ValueOutput
O2-Semi	0	4194304	Value	ValueOutput
O3-Semi	0	4194304	Value	ValueOutput
O1-ExDet	0	4194304	Value	ValueOutput
O2-ExDet	0	4194304	Value	ValueOutput
O3-ExDet	0	4194304	Value	ValueOutput
O1-LnDet	0	4194304	Value	ValueOutput
O2-LnDet	0	4194304	Value	ValueOutput
O3-LnDet	0	4194304	Value	ValueOutput
O1-Wave	0	4194304	Value	ValueOutput
O2-Wave	0	4194304	Value	ValueOutput
O3-Wave	0	4194304	Value	ValueOutput
O1-Shape	0	4194304	Value	ValueOutput
O2-Shape	0	4194304	Value	ValueOutput
O3-Shape	0	4194304	Value	ValueOutput
O1-Level	0	4194304	Value	ValueOutput
O2-Level	0	4194304	Value	ValueOutput
O3-Level	0	4194304	Value	ValueOutput
O1-FMix	0	4194304	Value	ValueOutput
O2-FMix	0	4194304	Value	ValueOutput
O3-FMix	0	4194304	Value	ValueOutput
F1-Type	0	4194304	Value	ValueOutput
F2-Type	0	4194304	Value	ValueOutput
F1-Frq	0	4194304	Value	ValueOutput
F2-Frq	0	4194304	Value	ValueOutput
F1-Res	0	4194304	Value	ValueOutput
F2-Res	0	4194304	Value	ValueOutput
F1-E1	0	4194304	Value	ValueOutput
F2-E1	0	4194304	Value	ValueOutput
F1-Note	0	4194304	Value	ValueOutput
F2-Note	0	4194304	Value	ValueOutput
F1-DType	0	4194304	Value	ValueOutput
F2-DType	0	4194304	Value	ValueOutput
F1-Drive	0	4194304	Value	ValueOutput
F2-Drive	0	4194304	Value	ValueOutput
F1-Level	0	4194304	Value	ValueOutput
F2-Level	0	4194304	Value	ValueOutput
F1-Pan	0	4194304	Value	ValueOutput
F2-Pan	0	4194304	Value	ValueOutput
F-Mode	0	4194304	Value	ValueOutput
F-Bal	0	4194304	Value	ValueOutput
E1-A	0	4194304	Value	ValueOutput
E2-A	0	4194304	Value	ValueOutput
E3-A	0	4194304	Value	ValueOutput
E4-A	0	4194304	Value	ValueOutput
E1-ASlpe	0	4194304	Value	ValueOutput
E2-ASlpe	0	4194304	Value	ValueOutput
E3-ASlpe	0	4194304	Value	ValueOutput
E4-ASlpe	0	4194304	Value	ValueOutput
E1-Hold	0	4194304	Value	ValueOutput
E2-Hold	0	4194304	Value	ValueOutput
E3-Hold	0	4194304	Value	ValueOutput
E4-Hold	0	4194304	Value	ValueOutput
E1-D	0	4194304	Value	ValueOutput
E2-D	0	4194304	Value	ValueOutput
E3-D	0	4194304	Value	ValueOutput
E4-D	0	4194304	Value	ValueOutput
E1-DSlpe	0	4194304	Value	ValueOutput
E2-DSlpe	0	4194304	Value	ValueOutput
E3-DSlpe	0	4194304	Value	ValueOutput
E4-DSlpe	0	4194304	Value	ValueOutput
E1-S	0	4194304	Value	ValueOutput
E2-S	0	4194304	Value	ValueOutput
E3-S	0	4194304	Value	ValueOutput
E4-S	0	4194304	Value	ValueOutput
E1-R	0	4194304	Value	ValueOutput
E2-R	0	4194304	Value	ValueOutput
E3-R	0	4194304	Value	ValueOutput
E4-R	0	4194304	Value	ValueOutput
E1-RSlpe	0	4194304	Value	ValueOutput
E2-RSlpe	0	4194304	Value	ValueOutput
E3-RSlpe	0	4194304	Value	ValueOutput
E4-RSlpe	0	4194304	Value	ValueOutput
E1-VSens	0	4194304	Value	ValueOutput
E2-VSens	0	4194304	Value	ValueOutput
E3-VSens	0	4194304	Value	ValueOutput
E4-VSens	0	4194304	Value	ValueOutput
L1-Frq	0	4194304	Value	ValueOutput
L2-Frq	0	4194304	Value	ValueOutput
L3-Frq	0	4194304	Value	ValueOutput
L4-Frq	0	4194304	Value	ValueOutput
L5-Frq	0	4194304	Value	ValueOutput
L6-Frq	0	4194304	Value	ValueOutput
L7-Frq	0	4194304	Value	ValueOutput
