Scope
Manufacturer	Model
Sugar Bytes	vst.sba2.Artillery2 x64
Note: Will match scope definitions for vst.sba2.Artillery2 x64 or vst.sba2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
P1.DifDly. Time Left	0	4194304	Value	ValueOutput
P1.DifDly. Time Right	0	4194304	Value	ValueOutput
P1.DifDly. Diffusion	0	4194304	Value	ValueOutput
P1.DifDly. Feedback	0	4194304	Value	ValueOutput
unused4	0	4194304	Value	ValueOutput
P1.DifDly. dry/wet	0	4194304	Value	ValueOutput
P1.DifDly. On/Off	0	4194304	Value	ValueOutput
P1.Chrs. Rate	0	4194304	Value	ValueOutput
P1.Chrs. Depth	0	4194304	Value	ValueOutput
P1.Chrs. Feedback	0	4194304	Value	ValueOutput
P1.Chrs. Width	0	4194304	Value	ValueOutput
unused11	0	4194304	Value	ValueOutput
P1.Chrs. dry/wet	0	4194304	Value	ValueOutput
P1.Chrs. On/Off	0	4194304	Value	ValueOutput
P1.Revb. Size	0	4194304	Value	ValueOutput
P1.Revb. Strength	0	4194304	Value	ValueOutput
P1.Revb. Damp	0	4194304	Value	ValueOutput
P1.Revb. Width	0	4194304	Value	ValueOutput
P1.Revb. Cutoff	0	4194304	Value	ValueOutput
P1.Revb. dry/wet	0	4194304	Value	ValueOutput
P1.Revb. On/Off	0	4194304	Value	ValueOutput
unused21	0	4194304	Value	ValueOutput
unused22	0	4194304	Value	ValueOutput
unused23	0	4194304	Value	ValueOutput
unused24	0	4194304	Value	ValueOutput
unused25	0	4194304	Value	ValueOutput
unused26	0	4194304	Value	ValueOutput
unused27	0	4194304	Value	ValueOutput
unused28	0	4194304	Value	ValueOutput
unused29	0	4194304	Value	ValueOutput
unused30	0	4194304	Value	ValueOutput
unused31	0	4194304	Value	ValueOutput
unused32	0	4194304	Value	ValueOutput
unused33	0	4194304	Value	ValueOutput
unused34	0	4194304	Value	ValueOutput
unused35	0	4194304	Value	ValueOutput
unused36	0	4194304	Value	ValueOutput
unused37	0	4194304	Value	ValueOutput
unused38	0	4194304	Value	ValueOutput
unused39	0	4194304	Value	ValueOutput
unused40	0	4194304	Value	ValueOutput
unused41	0	4194304	Value	ValueOutput
unused42	0	4194304	Value	ValueOutput
unused43	0	4194304	Value	ValueOutput
unused44	0	4194304	Value	ValueOutput
unused45	0	4194304	Value	ValueOutput
unused46	0	4194304	Value	ValueOutput
unused47	0	4194304	Value	ValueOutput
unused48	0	4194304	Value	ValueOutput
unused49	0	4194304	Value	ValueOutput
unused50	0	4194304	Value	ValueOutput
unused51	0	4194304	Value	ValueOutput
unused52	0	4194304	Value	ValueOutput
unused53	0	4194304	Value	ValueOutput
unused54	0	4194304	Value	ValueOutput
unused55	0	4194304	Value	ValueOutput
unused56	0	4194304	Value	ValueOutput
unused57	0	4194304	Value	ValueOutput
unused58	0	4194304	Value	ValueOutput
unused59	0	4194304	Value	ValueOutput
unused60	0	4194304	Value	ValueOutput
unused61	0	4194304	Value	ValueOutput
unused62	0	4194304	Value	ValueOutput
unused63	0	4194304	Value	ValueOutput
unused64	0	4194304	Value	ValueOutput
unused65	0	4194304	Value	ValueOutput
unused66	0	4194304	Value	ValueOutput
unused67	0	4194304	Value	ValueOutput
unused68	0	4194304	Value	ValueOutput
unused69	0	4194304	Value	ValueOutput
unused70	0	4194304	Value	ValueOutput
unused71	0	4194304	Value	ValueOutput
unused72	0	4194304	Value	ValueOutput
unused73	0	4194304	Value	ValueOutput
unused74	0	4194304	Value	ValueOutput
unused75	0	4194304	Value	ValueOutput
unused76	0	4194304	Value	ValueOutput
unused77	0	4194304	Value	ValueOutput
unused78	0	4194304	Value	ValueOutput
unused79	0	4194304	Value	ValueOutput
unused80	0	4194304	Value	ValueOutput
unused81	0	4194304	Value	ValueOutput
unused82	0	4194304	Value	ValueOutput
unused83	0	4194304	Value	ValueOutput
unused84	0	4194304	Value	ValueOutput
unused85	0	4194304	Value	ValueOutput
unused86	0	4194304	Value	ValueOutput
unused87	0	4194304	Value	ValueOutput
unused88	0	4194304	Value	ValueOutput
unused89	0	4194304	Value	ValueOutput
unused90	0	4194304	Value	ValueOutput
unused91	0	4194304	Value	ValueOutput
