Scope
Manufacturer	Model
Softube	vst.BARn.Bass Amp Room
Note: Will match scope definitions for vst.BARn.Bass Amp Room or vst.BARn

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
NormVol	0	4194304	Value	ValueOutput
HighLow	0	4194304	Value	ValueOutput
Bass	0	4194304	Value	ValueOutput
Middle	0	4194304	Value	ValueOutput
Treble	0	4194304	Value	ValueOutput
MastVol	0	4194304	Value	ValueOutput
PhaseInv	0	4194304	Value	ValueOutput
DiAmpMix	0	4194304	Value	ValueOutput
Mic1 Pos	0	4194304	Value	ValueOutput
Mic2 Pos	0	4194304	Value	ValueOutput
Mic3 Pos	0	4194304	Value	ValueOutput
CabSwtch	0	4194304	Value	ValueOutput
DI LoCut	0	4194304	Value	ValueOutput
DI Tone	0	4194304	Value	ValueOutput
DI HiCut	0	4194304	Value	ValueOutput
DI Limit	0	4194304	Value	ValueOutput
DIAmpSol	0	4194304	Value	ValueOutput
AmpCabBP	0	4194304	Value	ValueOutput
OutVol	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
