Scope
Manufacturer	Model
Waves	vst.JFWS.WaveShell-VST 9_91_x64.CODEX Stereo
Note: Will match scope definitions for vst.JFWS.WaveShell-VST 9_91_x64.CODEX Stereo or vst.JFWS

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Osc2 Formant	0	4194304	Value	ValueOutput
Retrigger	0	4194304	Value	ValueOutput
Osc2 End	0	4194304	Value	ValueOutput
Osc2 Start	0	4194304	Value	ValueOutput
Osc2 Rate	0	4194304	Value	ValueOutput
Osc2 Rate Sync	0	4194304	Value	ValueOutput
Osc1 Rate	0	4194304	Value	ValueOutput
Osc1 Rate Sync	0	4194304	Value	ValueOutput
Osc1 Start	0	4194304	Value	ValueOutput
Osc1 End	0	4194304	Value	ValueOutput
Mono	0	4194304	Value	ValueOutput
Osc1 Formant	0	4194304	Value	ValueOutput
Seq Retrigger	0	4194304	Value	ValueOutput
Hold	0	4194304	Value	ValueOutput
Osc2 Resolution	0	4194304	Value	ValueOutput
Osc1 Resolution	0	4194304	Value	ValueOutput
Osc1 Mid	0	4194304	Value	ValueOutput
Osc1 Table	0	4194304	Value	ValueOutput
VCA Punch	0	4194304	Value	ValueOutput
Mod6 On/Off	0	4194304	Value	ValueOutput
Mod5 On/Off	0	4194304	Value	ValueOutput
Mod4 On/Off	0	4194304	Value	ValueOutput
Mod3 On/Off	0	4194304	Value	ValueOutput
Mod2 On/Off	0	4194304	Value	ValueOutput
Mod1 On/Off	0	4194304	Value	ValueOutput
Osc2 Type	0	4194304	Value	ValueOutput
Osc1 Type	0	4194304	Value	ValueOutput
Swing	0	4194304	Value	ValueOutput
Unison	0	4194304	Value	ValueOutput
Dly Right	0	4194304	Value	ValueOutput
Mod6 Polarity	0	4194304	Value	ValueOutput
Mod5 Polarity	0	4194304	Value	ValueOutput
Mod4 Polarity	0	4194304	Value	ValueOutput
Mod3 Polarity	0	4194304	Value	ValueOutput
Mod1 Polarity	0	4194304	Value	ValueOutput
Mod2 Polarity	0	4194304	Value	ValueOutput
Osc Sub	0	4194304	Value	ValueOutput
Mod6 Src	0	4194304	Value	ValueOutput
Mod6 Dest	0	4194304	Value	ValueOutput
Mod5 Src	0	4194304	Value	ValueOutput
Mod5 Dest	0	4194304	Value	ValueOutput
Mod4 Src	0	4194304	Value	ValueOutput
Mod4 Dest	0	4194304	Value	ValueOutput
Mod3 Src	0	4194304	Value	ValueOutput
Mod3 Dest	0	4194304	Value	ValueOutput
Mod2 Src	0	4194304	Value	ValueOutput
Mod2 Dest	0	4194304	Value	ValueOutput
Mod1 Dest	0	4194304	Value	ValueOutput
Mod1 Src	0	4194304	Value	ValueOutput
Portamento Type	0	4194304	Value	ValueOutput
Arp Rate	0	4194304	Value	ValueOutput
Arp Mode	0	4194304	Value	ValueOutput
Arp Oct	0	4194304	Value	ValueOutput
Osc2 Finetune	0	4194304	Value	ValueOutput
Osc1 Finetune	0	4194304	Value	ValueOutput
Mod6 Depth	0	4194304	Value	ValueOutput
Dist Loc	0	4194304	Value	ValueOutput
Reverb Mix	0	4194304	Value	ValueOutput
Chorus Mix	0	4194304	Value	ValueOutput
Osc2 Table	0	4194304	Value	ValueOutput
Env3 Velocity	0	4194304	Value	ValueOutput
Env3 Shape	0	4194304	Value	ValueOutput
VCA Shape	0	4194304	Value	ValueOutput
VCF Shape	0	4194304	Value	ValueOutput
VCF Env Velocity	0	4194304	Value	ValueOutput
VCA Env Velocity	0	4194304	Value	ValueOutput
Step4 OnOff	0	4194304	Value	ValueOutput
Seq Steps	0	4194304	Value	ValueOutput
Step1 Pitch	0	4194304	Value	ValueOutput
Step1 OnOff	0	4194304	Value	ValueOutput
Step2 OnOff	0	4194304	Value	ValueOutput
Step2 Pitch	0	4194304	Value	ValueOutput
Step3 OnOff	0	4194304	Value	ValueOutput
Step3 Pitch	0	4194304	Value	ValueOutput
Step4 Pitch	0	4194304	Value	ValueOutput
Step8 Pitch	0	4194304	Value	ValueOutput
Step8 OnOff	0	4194304	Value	ValueOutput
Step7 Pitch	0	4194304	Value	ValueOutput
Step7 OnOff	0	4194304	Value	ValueOutput
Step6 Pitch	0	4194304	Value	ValueOutput
