Scope
Manufacturer	Model
Arturia	vst.CSV3.CS-80 V3
Note: Will match scope definitions for vst.CSV3.CS-80 V3 or vst.CSV3

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Lfo1 Speed	0	4194304	Value	ValueOutput
Lfo1 PWM	0	4194304	Value	ValueOutput
Osc1 Width	0	4194304	Value	ValueOutput
Osc1 Noise	0	4194304	Value	ValueOutput
HighPass1 CutOff	0	4194304	Value	ValueOutput
HighPass1 Resonance	0	4194304	Value	ValueOutput
LowPass1 CutOff	0	4194304	Value	ValueOutput
LowPass1 Resonance	0	4194304	Value	ValueOutput
VCF1 Level	0	4194304	Value	ValueOutput
Osc1 Sine	0	4194304	Value	ValueOutput
VCF1 Initial Level	0	4194304	Value	ValueOutput
VCF1 Attack Level	0	4194304	Value	ValueOutput
VCF1 Attack Time	0	4194304	Value	ValueOutput
VCF1 Decay Time	0	4194304	Value	ValueOutput
VCF1 Release Time	0	4194304	Value	ValueOutput
VCA1 Attack Time	0	4194304	Value	ValueOutput
VCA1 Decay Time	0	4194304	Value	ValueOutput
VCA1 Sustain Level	0	4194304	Value	ValueOutput
VCA1 Release Time	0	4194304	Value	ValueOutput
VCA1 Level	0	4194304	Value	ValueOutput
Initial Brilliance1	0	4194304	Value	ValueOutput
Initial Level1	0	4194304	Value	ValueOutput
After Brilliance1	0	4194304	Value	ValueOutput
After Level1	0	4194304	Value	ValueOutput
Lfo2 Speed	0	4194304	Value	ValueOutput
Lfo2 PWM	0	4194304	Value	ValueOutput
Osc2 Width	0	4194304	Value	ValueOutput
Osc2 Noise	0	4194304	Value	ValueOutput
HighPass2 CutOff	0	4194304	Value	ValueOutput
HighPass2 Resonance	0	4194304	Value	ValueOutput
LowPass2 CutOff	0	4194304	Value	ValueOutput
LowPass2 Resonance	0	4194304	Value	ValueOutput
VCF2 Level	0	4194304	Value	ValueOutput
Osc2 Sine	0	4194304	Value	ValueOutput
VCF2 Initial Level	0	4194304	Value	ValueOutput
VCF2 Attack Level	0	4194304	Value	ValueOutput
VCF2 Attack Time	0	4194304	Value	ValueOutput
VCF2 Decay Time	0	4194304	Value	ValueOutput
VCF2 Release Time	0	4194304	Value	ValueOutput
VCA2 Attack Time	0	4194304	Value	ValueOutput
VCA2 Decay Time	0	4194304	Value	ValueOutput
VCA2 Sustain Level	0	4194304	Value	ValueOutput
VCA2 Release Time	0	4194304	Value	ValueOutput
VCA2 Level	0	4194304	Value	ValueOutput
Initial Brilliance2	0	4194304	Value	ValueOutput
Initial Level2	0	4194304	Value	ValueOutput
After Brilliance2	0	4194304	Value	ValueOutput
After Level2	0	4194304	Value	ValueOutput
Detune Osc1 Osc2	0	4194304	Value	ValueOutput
Mix Osc1 Osc2	0	4194304	Value	ValueOutput
Osc1 Accord	0	4194304	Value	ValueOutput
Osc2 Accord	0	4194304	Value	ValueOutput
Amount Mod1	0	4194304	Value	ValueOutput
Amount Mod2	0	4194304	Value	ValueOutput
Amount Mod3	0	4194304	Value	ValueOutput
Amount Mod4	0	4194304	Value	ValueOutput
Amount Mod5	0	4194304	Value	ValueOutput
Amount Mod6	0	4194304	Value	ValueOutput
Amount Mod7	0	4194304	Value	ValueOutput
Amount Mod8	0	4194304	Value	ValueOutput
Amount Mod9	0	4194304	Value	ValueOutput
Amount Mod10	0	4194304	Value	ValueOutput
Osc1 Saw Tri	0	4194304	Value	ValueOutput
Osc1 Square	0	4194304	Value	ValueOutput
OSC1_KEYB	0	4194304	Value	ValueOutput
Unassigned 1	0	4194304	Value	ValueOutput
HighPass1	0	4194304	Value	ValueOutput
LowPass1	0	4194304	Value	ValueOutput
Filter1 Type	0	4194304	Value	ValueOutput
Lfo1 Wave	0	4194304	Value	ValueOutput
Lfo1 Mode	0	4194304	Value	ValueOutput
Lfo1 Sync	0	4194304	Value	ValueOutput
Osc2 Saw Tri	0	4194304	Value	ValueOutput
Osc2 Square	0	4194304	Value	ValueOutput
OSC2_KEYB	0	4194304	Value	ValueOutput
Unassigned 2	0	4194304	Value	ValueOutput
HighPass2	0	4194304	Value	ValueOutput
LowPass2	0	4194304	Value	ValueOutput
Filter2 Type	0	4194304	Value	ValueOutput
