Scope
Manufacturer	Model
FutureAudioWorkshop	vst.Plug.Circle2
Note: Will match scope definitions for vst.Plug.Circle2 or vst.Plug

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Keyb1 Glide1	0	4194304	Value	ValueOutput
Keyb1 Glide2	0	4194304	Value	ValueOutput
Keyb1 PitchWhee	0	4194304	Value	ValueOutput
ADSR1 Attack	0	4194304	Value	ValueOutput
ADSR1 Decay	0	4194304	Value	ValueOutput
ADSR1 Sustain	0	4194304	Value	ValueOutput
ADSR1 Release	0	4194304	Value	ValueOutput
ADSR1 Snap	0	4194304	Value	ValueOutput
ADSR2 Attack	0	4194304	Value	ValueOutput
ADSR2 Decay	0	4194304	Value	ValueOutput
ADSR2 Sustain	0	4194304	Value	ValueOutput
ADSR2 Release	0	4194304	Value	ValueOutput
ADSR2 Snap	0	4194304	Value	ValueOutput
ADSR3 Attack	0	4194304	Value	ValueOutput
ADSR3 Decay	0	4194304	Value	ValueOutput
ADSR3 Sustain	0	4194304	Value	ValueOutput
ADSR3 Release	0	4194304	Value	ValueOutput
ADSR3 Snap	0	4194304	Value	ValueOutput
ADSR4 Attack	0	4194304	Value	ValueOutput
ADSR4 Decay	0	4194304	Value	ValueOutput
ADSR4 Sustain	0	4194304	Value	ValueOutput
ADSR4 Release	0	4194304	Value	ValueOutput
ADSR4 Snap	0	4194304	Value	ValueOutput
ADSR5 Attack	0	4194304	Value	ValueOutput
ADSR5 Decay	0	4194304	Value	ValueOutput
ADSR5 Sustain	0	4194304	Value	ValueOutput
ADSR5 Release	0	4194304	Value	ValueOutput
ADSR5 Snap	0	4194304	Value	ValueOutput
WaveOsc1 Table1	0	4194304	Value	ValueOutput
WaveOsc1  Table	0	4194304	Value	ValueOutput
WaveOsc1 CrossF	0	4194304	Value	ValueOutput
WaveOsc1 Coarse	0	4194304	Value	ValueOutput
WaveOsc1 Fine	0	4194304	Value	ValueOutput
WaveOsc1 Sub	0	4194304	Value	ValueOutput
WaveOsc1 Sync	0	4194304	Value	ValueOutput
WaveOsc2 Table1	0	4194304	Value	ValueOutput
WaveOsc2  Table	0	4194304	Value	ValueOutput
WaveOsc2 CrossF	0	4194304	Value	ValueOutput
WaveOsc2 Coarse	0	4194304	Value	ValueOutput
WaveOsc2 Fine	0	4194304	Value	ValueOutput
WaveOsc2 Sub	0	4194304	Value	ValueOutput
WaveOsc2 Sync	0	4194304	Value	ValueOutput
WaveOsc3 Table1	0	4194304	Value	ValueOutput
WaveOsc3  Table	0	4194304	Value	ValueOutput
WaveOsc3 CrossF	0	4194304	Value	ValueOutput
WaveOsc3 Coarse	0	4194304	Value	ValueOutput
WaveOsc3 Fine	0	4194304	Value	ValueOutput
WaveOsc3 Sub	0	4194304	Value	ValueOutput
WaveOsc3 Sync	0	4194304	Value	ValueOutput
WaveOsc4 Table1	0	4194304	Value	ValueOutput
WaveOsc4  Table	0	4194304	Value	ValueOutput
WaveOsc4 CrossF	0	4194304	Value	ValueOutput
WaveOsc4 Coarse	0	4194304	Value	ValueOutput
WaveOsc4 Fine	0	4194304	Value	ValueOutput
WaveOsc4 Sub	0	4194304	Value	ValueOutput
WaveOsc4 Sync	0	4194304	Value	ValueOutput
AnaOsc1 Wave	0	4194304	Value	ValueOutput
AnaOsc1 Coarse	0	4194304	Value	ValueOutput
AnaOsc1 Fine	0	4194304	Value	ValueOutput
AnaOsc1 Sub	0	4194304	Value	ValueOutput
AnaOsc1 Width	0	4194304	Value	ValueOutput
AnaOsc1 Sync	0	4194304	Value	ValueOutput
AnaOsc2 Wave	0	4194304	Value	ValueOutput
AnaOsc2 Coarse	0	4194304	Value	ValueOutput
AnaOsc2 Fine	0	4194304	Value	ValueOutput
AnaOsc2 Sub	0	4194304	Value	ValueOutput
AnaOsc2 Width	0	4194304	Value	ValueOutput
AnaOsc2 Sync	0	4194304	Value	ValueOutput
AnaOsc3 Wave	0	4194304	Value	ValueOutput
AnaOsc3 Coarse	0	4194304	Value	ValueOutput
AnaOsc3 Fine	0	4194304	Value	ValueOutput
AnaOsc3 Sub	0	4194304	Value	ValueOutput
AnaOsc3 Width	0	4194304	Value	ValueOutput
