Scope
Manufacturer	Model
DOTEC-AUDIO	vst.F3gr.DeeFX
Note: Will match scope definitions for vst.F3gr.DeeFX or vst.F3gr

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Enable	0	4194304	Value	ValueOutput
Distortion Enabl	0	4194304	Value	ValueOutput
Distortion Level	0	4194304	Value	ValueOutput
Filter Enable	0	4194304	Value	ValueOutput
Filter Level	0	4194304	Value	ValueOutput
HPF DelayLink	0	4194304	Value	ValueOutput
LPF DelayLink	0	4194304	Value	ValueOutput
Delay Enable	0	4194304	Value	ValueOutput
Delay Level	0	4194304	Value	ValueOutput
Delay 1/2	0	4194304	Value	ValueOutput
Delay x2	0	4194304	Value	ValueOutput
Delay Link	0	4194304	Value	ValueOutput
Delay REV	0	4194304	Value	ValueOutput
P1/16 (L)	0	4194304	Value	ValueOutput
P1/8 (L)	0	4194304	Value	ValueOutput
Dotted 1/8 (L)	0	4194304	Value	ValueOutput
P1/4 (L)	0	4194304	Value	ValueOutput
P1/16 (R)	0	4194304	Value	ValueOutput
P1/8 (R)	0	4194304	Value	ValueOutput
Dotted 1/8 (R)	0	4194304	Value	ValueOutput
P1/4 (R)	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
