Scope
Manufacturer	Model
discoDSP	vst.DPVx.DiscoveryPro64
Note: Will match scope definitions for vst.DPVx.DiscoveryPro64 or vst.DPVx

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
A:Lfo1_Rate	0	4194304	Value	ValueOutput
A:Lfo1_Rate_S	0	4194304	Value	ValueOutput
A:Lfo1_Amt	0	4194304	Value	ValueOutput
A:Lfo1_Amt_S	0	4194304	Value	ValueOutput
A:Lfo2_Rate	0	4194304	Value	ValueOutput
A:Lfo2_Rate_S	0	4194304	Value	ValueOutput
A:Lfo2_Amt	0	4194304	Value	ValueOutput
A:Lfo2_Amt_S	0	4194304	Value	ValueOutput
A:ModEnv_Attack	0	4194304	Value	ValueOutput
A:ModEnv_Attack	0	4194304	Value	ValueOutput
A:ModEnv_Decay	0	4194304	Value	ValueOutput
A:ModEnv_Decay_	0	4194304	Value	ValueOutput
A:Osc1_FM_Amt	0	4194304	Value	ValueOutput
A:Osc1_FM_Amt_S	0	4194304	Value	ValueOutput
A:Osc2_Coarse	0	4194304	Value	ValueOutput
A:Osc2_Coarse_S	0	4194304	Value	ValueOutput
A:Osc2_Finetune	0	4194304	Value	ValueOutput
A:Osc2_Finetune	0	4194304	Value	ValueOutput
A:Osc_PWidth	0	4194304	Value	ValueOutput
A:Osc_PWidth_S	0	4194304	Value	ValueOutput
A:Osc_Mix	0	4194304	Value	ValueOutput
A:Osc_Mix_S	0	4194304	Value	ValueOutput
A:Amp_Attack	0	4194304	Value	ValueOutput
A:Amp_Attack_S	0	4194304	Value	ValueOutput
A:Amp_Decay	0	4194304	Value	ValueOutput
A:Amp_Decay_S	0	4194304	Value	ValueOutput
A:Amp_Sustain	0	4194304	Value	ValueOutput
A:Amp_Sustain_S	0	4194304	Value	ValueOutput
A:Amp_Release	0	4194304	Value	ValueOutput
A:Amp_Release_S	0	4194304	Value	ValueOutput
A:Amp_Gain	0	4194304	Value	ValueOutput
A:Amp_Gain_S	0	4194304	Value	ValueOutput
A:Fil_Attack	0	4194304	Value	ValueOutput
A:Fil_Attack_S	0	4194304	Value	ValueOutput
A:Fil_Decay	0	4194304	Value	ValueOutput
A:Fil_Decay_S	0	4194304	Value	ValueOutput
A:Fil_Sustain	0	4194304	Value	ValueOutput
A:Fil_Sustain_S	0	4194304	Value	ValueOutput
A:Fil_Release	0	4194304	Value	ValueOutput
A:Fil_Release_S	0	4194304	Value	ValueOutput
A:Fil_Freq	0	4194304	Value	ValueOutput
A:Fil_Freq_S	0	4194304	Value	ValueOutput
A:Fil_Resonance	0	4194304	Value	ValueOutput
A:Fil_Resonance	0	4194304	Value	ValueOutput
A:Fil_Env_Amt	0	4194304	Value	ValueOutput
A:Fil_Env_Amt_S	0	4194304	Value	ValueOutput
A:Pan_Position	0	4194304	Value	ValueOutput
A:Pan_Position_	0	4194304	Value	ValueOutput
A:Pan_Lfo_Rate	0	4194304	Value	ValueOutput
A:Pan_Lfo_Rate_	0	4194304	Value	ValueOutput
A:Pan_Lfo_Amt	0	4194304	Value	ValueOutput
A:Pan_Lfo_Amt_S	0	4194304	Value	ValueOutput
A:Port_Time	0	4194304	Value	ValueOutput
A:Port_Time_S	0	4194304	Value	ValueOutput
A:Dly_Level	0	4194304	Value	ValueOutput
A:Dly_Level_S	0	4194304	Value	ValueOutput
A:L_Dly_Time	0	4194304	Value	ValueOutput
A:L_Dly_Time_S	0	4194304	Value	ValueOutput
A:R_Dly_Time	0	4194304	Value	ValueOutput
A:R_Dly_Time_S	0	4194304	Value	ValueOutput
A:L_Dly_Fdbck	0	4194304	Value	ValueOutput
A:L_Dly_Fdbck_S	0	4194304	Value	ValueOutput
A:R_Dly_Fdbck	0	4194304	Value	ValueOutput
A:R_Dly_Fdbck_S	0	4194304	Value	ValueOutput
A:Gat_Level	0	4194304	Value	ValueOutput
A:Gat_Level_S	0	4194304	Value	ValueOutput
A:Mod_Level	0	4194304	Value	ValueOutput
A:Mod_Level_S	0	4194304	Value	ValueOutput
A:Wave_Level	0	4194304	Value	ValueOutput
A:Wave_Level_S	0	4194304	Value	ValueOutput
A:Wave_Semitone	0	4194304	Value	ValueOutput
