Scope
Manufacturer	Model
u-he	vst.DiVa.Diva(x64)
Note: Will match scope definitions for vst.DiVa.Diva(x64) or vst.DiVa

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
main: Output	0	4194304	Value	ValueOutput
main: Active #FX1	0	4194304	Value	ValueOutput
main: Active #FX2	0	4194304	Value	ValueOutput
PCore: LED Colour	0	4194304	Value	ValueOutput
VCC: Voices	0	4194304	Value	ValueOutput
VCC: Voice Stack	0	4194304	Value	ValueOutput
VCC: Mode	0	4194304	Value	ValueOutput
VCC: GlideMode	0	4194304	Value	ValueOutput
VCC: Glide	0	4194304	Value	ValueOutput
VCC: Glide2	0	4194304	Value	ValueOutput
VCC: GlideRange	0	4194304	Value	ValueOutput
VCC: PitchBend Up	0	4194304	Value	ValueOutput
VCC: PitchBend Down	0	4194304	Value	ValueOutput
VCC: TuningMode	0	4194304	Value	ValueOutput
VCC: Transpose	0	4194304	Value	ValueOutput
VCC: FineTuneCents	0	4194304	Value	ValueOutput
VCC: Note Priority	0	4194304	Value	ValueOutput
VCC: MultiCore	0	4194304	Value	ValueOutput
OPT: Accuracy	0	4194304	Value	ValueOutput
OPT: OfflineAcc	0	4194304	Value	ValueOutput
OPT: TuneSlop	0	4194304	Value	ValueOutput
OPT: CutoffSlop	0	4194304	Value	ValueOutput
OPT: GlideSlop	0	4194304	Value	ValueOutput
OPT: PWSlop	0	4194304	Value	ValueOutput
OPT: EnvrateSlop	0	4194304	Value	ValueOutput
OPT: V1Mod	0	4194304	Value	ValueOutput
OPT: V2Mod	0	4194304	Value	ValueOutput
OPT: V3Mod	0	4194304	Value	ValueOutput
OPT: V4Mod	0	4194304	Value	ValueOutput
OPT: V5Mod	0	4194304	Value	ValueOutput
OPT: V6Mod	0	4194304	Value	ValueOutput
OPT: V7Mod	0	4194304	Value	ValueOutput
OPT: V8Mod	0	4194304	Value	ValueOutput
ENV1: Attack	0	4194304	Value	ValueOutput
ENV1: Decay	0	4194304	Value	ValueOutput
ENV1: Sustain	0	4194304	Value	ValueOutput
ENV1: Release	0	4194304	Value	ValueOutput
ENV1: Velocity	0	4194304	Value	ValueOutput
ENV1: Model	0	4194304	Value	ValueOutput
ENV1: Trigger	0	4194304	Value	ValueOutput
ENV1: Quantise	0	4194304	Value	ValueOutput
ENV1: Curve	0	4194304	Value	ValueOutput
ENV1: Release On	0	4194304	Value	ValueOutput
ENV1: KeyFollow	0	4194304	Value	ValueOutput
ENV2: Attack	0	4194304	Value	ValueOutput
ENV2: Decay	0	4194304	Value	ValueOutput
ENV2: Sustain	0	4194304	Value	ValueOutput
ENV2: Release	0	4194304	Value	ValueOutput
ENV2: Velocity	0	4194304	Value	ValueOutput
ENV2: Model	0	4194304	Value	ValueOutput
ENV2: Trigger	0	4194304	Value	ValueOutput
ENV2: Quantise	0	4194304	Value	ValueOutput
ENV2: Curve	0	4194304	Value	ValueOutput
ENV2: Release On	0	4194304	Value	ValueOutput
ENV2: KeyFollow	0	4194304	Value	ValueOutput
LFO1: Sync	0	4194304	Value	ValueOutput
LFO1: Restart	0	4194304	Value	ValueOutput
LFO1: Waveform	0	4194304	Value	ValueOutput
LFO1: Phase	0	4194304	Value	ValueOutput
LFO1: Delay	0	4194304	Value	ValueOutput
LFO1: DepthMod Src1	0	4194304	Value	ValueOutput
LFO1: DepthMod Dpt1	0	4194304	Value	ValueOutput
LFO1: Rate	0	4194304	Value	ValueOutput
LFO1: FreqMod Src1	0	4194304	Value	ValueOutput
LFO1: FreqMod Dpt	0	4194304	Value	ValueOutput
LFO2: Sync	0	4194304	Value	ValueOutput
LFO2: Restart	0	4194304	Value	ValueOutput
LFO2: Waveform	0	4194304	Value	ValueOutput
LFO2: Phase	0	4194304	Value	ValueOutput
LFO2: Delay	0	4194304	Value	ValueOutput
LFO2: DepthMod Src1	0	4194304	Value	ValueOutput
LFO2: DepthMod Dpt1	0	4194304	Value	ValueOutput
LFO2: Rate	0	4194304	Value	ValueOutput
LFO2: FreqMod Src1	0	4194304	Value	ValueOutput
LFO2: FreqMod Dpt	0	4194304	Value	ValueOutput
MOD: Quantise	0	4194304	Value	ValueOutput
