Scope
Manufacturer	Model
Nomad Factory	vst.HBC3.E-3B Compressor x64
Note: Will match scope definitions for vst.HBC3.E-3B Compressor x64 or vst.HBC3

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Low Mid Freq	0	4194304	Value	ValueOutput
Hi Mid Freq	0	4194304	Value	ValueOutput
Low Freq Gain	0	4194304	Value	ValueOutput
Low Freq Solo	0	4194304	Value	ValueOutput
Mid Freq Gain	0	4194304	Value	ValueOutput
Mid Freq Solo	0	4194304	Value	ValueOutput
Hi Freq Gain	0	4194304	Value	ValueOutput
Hi Freq Solo	0	4194304	Value	ValueOutput
CP1 Active	0	4194304	Value	ValueOutput
CP1 Mode	0	4194304	Value	ValueOutput
CP1 Threshold	0	4194304	Value	ValueOutput
CP1 Ratio	0	4194304	Value	ValueOutput
CP1 Attack	0	4194304	Value	ValueOutput
CP1 Release	0	4194304	Value	ValueOutput
CP2 Active	0	4194304	Value	ValueOutput
CP2 Mode	0	4194304	Value	ValueOutput
CP2 Threshold	0	4194304	Value	ValueOutput
CP2 Ratio	0	4194304	Value	ValueOutput
CP2 Attack	0	4194304	Value	ValueOutput
CP2 Release	0	4194304	Value	ValueOutput
CP3 Active	0	4194304	Value	ValueOutput
CP3 Mode	0	4194304	Value	ValueOutput
CP3 Threshold	0	4194304	Value	ValueOutput
CP3 Ratio	0	4194304	Value	ValueOutput
CP3 Attack	0	4194304	Value	ValueOutput
CP3 Release	0	4194304	Value	ValueOutput
Input Gain	0	4194304	Value	ValueOutput
Output Gain	0	4194304	Value	ValueOutput
Curve Mode	0	4194304	Value	ValueOutput
Limit	0	4194304	Value	ValueOutput
Swap	0	4194304	Value	ValueOutput
Mono	0	4194304	Value	ValueOutput
Master Bypass	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
