Scope
Manufacturer	Model
Eiosis	vst.AEq5.Eiosis AirEQ 5_1
Note: Will match scope definitions for vst.AEq5.Eiosis AirEQ 5_1 or vst.AEq5

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
CharacterLR	0	4194304	Value	ValueOutput
CharacterLFE	0	4194304	Value	ValueOutput
CharacterC	0	4194304	Value	ValueOutput
CharacterLsRs	0	4194304	Value	ValueOutput
InputGainLR	0	4194304	Value	ValueOutput
InputGainLFE	0	4194304	Value	ValueOutput
InputGainLsRs	0	4194304	Value	ValueOutput
InputGainC	0	4194304	Value	ValueOutput
PhaseReverseLR	0	4194304	Value	ValueOutput
PhaseReverseC	0	4194304	Value	ValueOutput
PhaseReverseLsRs	0	4194304	Value	ValueOutput
PhaseReverseLFE	0	4194304	Value	ValueOutput
PhaseReverseChannelsLFE	0	4194304	Value	ValueOutput
PhaseReverseChannelsLR	0	4194304	Value	ValueOutput
PhaseReverseChannelsLsRs	0	4194304	Value	ValueOutput
PhaseReverseChannelsC	0	4194304	Value	ValueOutput
EarthOnLsRs	0	4194304	Value	ValueOutput
EarthOnLR	0	4194304	Value	ValueOutput
EarthOnC	0	4194304	Value	ValueOutput
EarthOnLFE	0	4194304	Value	ValueOutput
EarthChannelsLR	0	4194304	Value	ValueOutput
EarthChannelsC	0	4194304	Value	ValueOutput
EarthChannelsLFE	0	4194304	Value	ValueOutput
EarthChannelsLsRs	0	4194304	Value	ValueOutput
ExcludeEarthStrengthLFE	0	4194304	Value	ValueOutput
ExcludeEarthStrengthLsRs	0	4194304	Value	ValueOutput
ExcludeEarthStrengthC	0	4194304	Value	ValueOutput
ExcludeEarthStrengthLR	0	4194304	Value	ValueOutput
EarthGainC	0	4194304	Value	ValueOutput
EarthGainLFE	0	4194304	Value	ValueOutput
EarthGainLsRs	0	4194304	Value	ValueOutput
EarthGainLR	0	4194304	Value	ValueOutput
LowCutOnC	0	4194304	Value	ValueOutput
LowCutOnLR	0	4194304	Value	ValueOutput
LowCutOnLFE	0	4194304	Value	ValueOutput
LowCutOnLsRs	0	4194304	Value	ValueOutput
LowCutChannelsLFE	0	4194304	Value	ValueOutput
LowCutChannelsC	0	4194304	Value	ValueOutput
LowCutChannelsLR	0	4194304	Value	ValueOutput
LowCutChannelsLsRs	0	4194304	Value	ValueOutput
ExcludeLowCutStrengthLFE	0	4194304	Value	ValueOutput
ExcludeLowCutStrengthLsR	0	4194304	Value	ValueOutput
ExcludeLowCutStrengthLR	0	4194304	Value	ValueOutput
ExcludeLowCutStrengthC	0	4194304	Value	ValueOutput
LowCutFrequencyLR	0	4194304	Value	ValueOutput
LowCutFrequencyLFE	0	4194304	Value	ValueOutput
LowCutFrequencyLsRs	0	4194304	Value	ValueOutput
LowCutFrequencyC	0	4194304	Value	ValueOutput
LowCutQC	0	4194304	Value	ValueOutput
LowCutQLR	0	4194304	Value	ValueOutput
LowCutQLFE	0	4194304	Value	ValueOutput
LowCutQLsRs	0	4194304	Value	ValueOutput
LowCutTypeC	0	4194304	Value	ValueOutput
LowCutTypeLR	0	4194304	Value	ValueOutput
LowCutTypeLFE	0	4194304	Value	ValueOutput
LowCutTypeLsRs	0	4194304	Value	ValueOutput
Band1OnLsRs	0	4194304	Value	ValueOutput
Band1OnC	0	4194304	Value	ValueOutput
Band1OnLFE	0	4194304	Value	ValueOutput
Band1OnLR	0	4194304	Value	ValueOutput
Band1ChannelsLR	0	4194304	Value	ValueOutput
Band1ChannelsLFE	0	4194304	Value	ValueOutput
Band1ChannelsC	0	4194304	Value	ValueOutput
Band1ChannelsLsRs	0	4194304	Value	ValueOutput
Band1SteepOnLFE	0	4194304	Value	ValueOutput
Band1SteepOnC	0	4194304	Value	ValueOutput
Band1SteepOnLsRs	0	4194304	Value	ValueOutput
Band1SteepOnLR	0	4194304	Value	ValueOutput
Band1FrequencyC	0	4194304	Value	ValueOutput
Band1FrequencyLsRs	0	4194304	Value	ValueOutput
Band1FrequencyLR	0	4194304	Value	ValueOutput
Band1FrequencyLFE	0	4194304	Value	ValueOutput
Band1QLFE	0	4194304	Value	ValueOutput
