Scope
Manufacturer	Model
Voxengo	vst.p87x.Elephant x64
Note: Will match scope definitions for vst.p87x.Elephant x64 or vst.p87x

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Oversmp	0	4194304	Value	ValueOutput
InGain	0	4194304	Value	ValueOutput
OutGain	0	4194304	Value	ValueOutput
RlsEnab	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
DCEnabl	0	4194304	Value	ValueOutput
DCFreq	0	4194304	Value	ValueOutput
DCType	0	4194304	Value	ValueOutput
DithEnb	0	4194304	Value	ValueOutput
DithBit	0	4194304	Value	ValueOutput
DithTyp	0	4194304	Value	ValueOutput
DithShp	0	4194304	Value	ValueOutput
DithBln	0	4194304	Value	ValueOutput
Meterin	0	4194304	Value	ValueOutput
ChLink	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
ELAIGC	0	4194304	Value	ValueOutput
Knee	0	4194304	Value	ValueOutput
XTime	0	4194304	Value	ValueOutput
XForm	0	4194304	Value	ValueOutput
XShape	0	4194304	Value	ValueOutput
DRCType	0	4194304	Value	ValueOutput
Timing	0	4194304	Value	ValueOutput
RlsRto	0	4194304	Value	ValueOutput
RlsShp	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
