Scope
Manufacturer	Model
FabFilter	vst.FPQr.FabFilter Pro-Q x64
Note: Will match scope definitions for vst.FPQr.FabFilter Pro-Q x64 or vst.FPQr

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Num Active Bands	0	4194304	Value	ValueOutput
Band 1 Frequency	0	4194304	Value	ValueOutput
Band 1 Gain	0	4194304	Value	ValueOutput
Band 1 Q	0	4194304	Value	ValueOutput
Band 1 Shape	0	4194304	Value	ValueOutput
Band 1 LP/HP Slope	0	4194304	Value	ValueOutput
Band 1 Stereo Placement	0	4194304	Value	ValueOutput
Band 1 Enabled	0	4194304	Value	ValueOutput
Band 2 Frequency	0	4194304	Value	ValueOutput
Band 2 Gain	0	4194304	Value	ValueOutput
Band 2 Q	0	4194304	Value	ValueOutput
Band 2 Shape	0	4194304	Value	ValueOutput
Band 2 LP/HP Slope	0	4194304	Value	ValueOutput
Band 2 Stereo Placement	0	4194304	Value	ValueOutput
Band 2 Enabled	0	4194304	Value	ValueOutput
Band 3 Frequency	0	4194304	Value	ValueOutput
Band 3 Gain	0	4194304	Value	ValueOutput
Band 3 Q	0	4194304	Value	ValueOutput
Band 3 Shape	0	4194304	Value	ValueOutput
Band 3 LP/HP Slope	0	4194304	Value	ValueOutput
Band 3 Stereo Placement	0	4194304	Value	ValueOutput
Band 3 Enabled	0	4194304	Value	ValueOutput
Band 4 Frequency	0	4194304	Value	ValueOutput
Band 4 Gain	0	4194304	Value	ValueOutput
Band 4 Q	0	4194304	Value	ValueOutput
Band 4 Shape	0	4194304	Value	ValueOutput
Band 4 LP/HP Slope	0	4194304	Value	ValueOutput
Band 4 Stereo Placement	0	4194304	Value	ValueOutput
Band 4 Enabled	0	4194304	Value	ValueOutput
Band 5 Frequency	0	4194304	Value	ValueOutput
Band 5 Gain	0	4194304	Value	ValueOutput
Band 5 Q	0	4194304	Value	ValueOutput
Band 5 Shape	0	4194304	Value	ValueOutput
Band 5 LP/HP Slope	0	4194304	Value	ValueOutput
Band 5 Stereo Placement	0	4194304	Value	ValueOutput
Band 5 Enabled	0	4194304	Value	ValueOutput
Band 6 Frequency	0	4194304	Value	ValueOutput
Band 6 Gain	0	4194304	Value	ValueOutput
Band 6 Q	0	4194304	Value	ValueOutput
Band 6 Shape	0	4194304	Value	ValueOutput
Band 6 LP/HP Slope	0	4194304	Value	ValueOutput
Band 6 Stereo Placement	0	4194304	Value	ValueOutput
Band 6 Enabled	0	4194304	Value	ValueOutput
Band 7 Frequency	0	4194304	Value	ValueOutput
Band 7 Gain	0	4194304	Value	ValueOutput
Band 7 Q	0	4194304	Value	ValueOutput
Band 7 Shape	0	4194304	Value	ValueOutput
Band 7 LP/HP Slope	0	4194304	Value	ValueOutput
Band 7 Stereo Placement	0	4194304	Value	ValueOutput
Band 7 Enabled	0	4194304	Value	ValueOutput
Band 8 Frequency	0	4194304	Value	ValueOutput
Band 8 Gain	0	4194304	Value	ValueOutput
Band 8 Q	0	4194304	Value	ValueOutput
Band 8 Shape	0	4194304	Value	ValueOutput
Band 8 LP/HP Slope	0	4194304	Value	ValueOutput
Band 8 Stereo Placement	0	4194304	Value	ValueOutput
Band 8 Enabled	0	4194304	Value	ValueOutput
Band 9 Frequency	0	4194304	Value	ValueOutput
Band 9 Gain	0	4194304	Value	ValueOutput
Band 9 Q	0	4194304	Value	ValueOutput
Band 9 Shape	0	4194304	Value	ValueOutput
Band 9 LP/HP Slope	0	4194304	Value	ValueOutput
Band 9 Stereo Placement	0	4194304	Value	ValueOutput
Band 9 Enabled	0	4194304	Value	ValueOutput
Band 10 Frequency	0	4194304	Value	ValueOutput
Band 10 Gain	0	4194304	Value	ValueOutput
Band 10 Q	0	4194304	Value	ValueOutput
Band 10 Shape	0	4194304	Value	ValueOutput
Band 10 LP/HP Slope	0	4194304	Value	ValueOutput
Band 10 Stereo Placement	0	4194304	Value	ValueOutput
Band 10 Enabled	0	4194304	Value	ValueOutput
Band 11 Frequency	0	4194304	Value	ValueOutput
Band 11 Gain	0	4194304	Value	ValueOutput
Band 11 Q	0	4194304	Value	ValueOutput
Band 11 Shape	0	4194304	Value	ValueOutput
