Scope
Manufacturer	Model
McDSP	vst.P606.FilterBank_P606_x64
Note: Will match scope definitions for vst.P606.FilterBank_P606_x64 or vst.P606

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Input	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
P1 Frequency	0	4194304	Value	ValueOutput
P1 Gain	0	4194304	Value	ValueOutput
P1 Q	0	4194304	Value	ValueOutput
P1 Enable	0	4194304	Value	ValueOutput
P2 Frequency	0	4194304	Value	ValueOutput
P2 Gain	0	4194304	Value	ValueOutput
P2 Q	0	4194304	Value	ValueOutput
P2 Enable	0	4194304	Value	ValueOutput
P3 Frequency	0	4194304	Value	ValueOutput
P3 Gain	0	4194304	Value	ValueOutput
P3 Q	0	4194304	Value	ValueOutput
P3 Enable	0	4194304	Value	ValueOutput
P4 Frequency	0	4194304	Value	ValueOutput
P4 Gain	0	4194304	Value	ValueOutput
P4 Q	0	4194304	Value	ValueOutput
P4 Enable	0	4194304	Value	ValueOutput
P5 Frequency	0	4194304	Value	ValueOutput
P5 Gain	0	4194304	Value	ValueOutput
P5 Q	0	4194304	Value	ValueOutput
P5 Enable	0	4194304	Value	ValueOutput
P6 Frequency	0	4194304	Value	ValueOutput
P6 Gain	0	4194304	Value	ValueOutput
P6 Q	0	4194304	Value	ValueOutput
P6 Enable	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
