Scope
Manufacturer	Model
u-he	vst.FSVA.FilterscapeVA(x64)
Note: Will match scope definitions for vst.FSVA.FilterscapeVA(x64) or vst.FSVA

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
main: Output	0	4194304	Value	ValueOutput
main: Active #LFOG	0	4194304	Value	ValueOutput
main: Active #Chrs	0	4194304	Value	ValueOutput
main: Active #Dly1	0	4194304	Value	ValueOutput
LFOG: Sync	0	4194304	Value	ValueOutput
LFOG: Phase	0	4194304	Value	ValueOutput
VCC: Active #LFO1	0	4194304	Value	ValueOutput
VCC: Active #LFO2	0	4194304	Value	ValueOutput
VCC: Active #VCF1	0	4194304	Value	ValueOutput
VCC: Active #EQ1	0	4194304	Value	ValueOutput
VCC: Voices	0	4194304	Value	ValueOutput
VCC: Voice Stack	0	4194304	Value	ValueOutput
VCC: Mode	0	4194304	Value	ValueOutput
VCC: Glide	0	4194304	Value	ValueOutput
VCC: Arp Step Mod1	0	4194304	Value	ValueOutput
VCC: Arp Step Mod2	0	4194304	Value	ValueOutput
VCC: Arp Step Mod3	0	4194304	Value	ValueOutput
VCC: Arp Step Mod4	0	4194304	Value	ValueOutput
VCC: Arp Step Mod5	0	4194304	Value	ValueOutput
VCC: Arp Step Mod6	0	4194304	Value	ValueOutput
VCC: Arp Step Mod7	0	4194304	Value	ValueOutput
VCC: Arp Step Mod8	0	4194304	Value	ValueOutput
VCC: Arp Step Mod9	0	4194304	Value	ValueOutput
VCC: Arp Step Mod10	0	4194304	Value	ValueOutput
VCC: Arp Step Mod11	0	4194304	Value	ValueOutput
VCC: Arp Step Mod12	0	4194304	Value	ValueOutput
VCC: Arp Step Mod13	0	4194304	Value	ValueOutput
VCC: Arp Step Mod14	0	4194304	Value	ValueOutput
VCC: Arp Step Mod15	0	4194304	Value	ValueOutput
VCC: Arp Step Mod16	0	4194304	Value	ValueOutput
ENV1: Attack	0	4194304	Value	ValueOutput
ENV1: Decay	0	4194304	Value	ValueOutput
ENV1: Sustain	0	4194304	Value	ValueOutput
ENV1: Fall - Rise	0	4194304	Value	ValueOutput
ENV1: Release	0	4194304	Value	ValueOutput
ENV1: Velocity	0	4194304	Value	ValueOutput
ENV2: Attack	0	4194304	Value	ValueOutput
ENV2: Decay	0	4194304	Value	ValueOutput
ENV2: Sustain	0	4194304	Value	ValueOutput
ENV2: Fall - Rise	0	4194304	Value	ValueOutput
ENV2: Release	0	4194304	Value	ValueOutput
ENV2: Velocity	0	4194304	Value	ValueOutput
ENV3: Attack	0	4194304	Value	ValueOutput
ENV3: Decay	0	4194304	Value	ValueOutput
ENV3: Sustain	0	4194304	Value	ValueOutput
ENV3: Fall - Rise	0	4194304	Value	ValueOutput
ENV3: Release	0	4194304	Value	ValueOutput
ENV3: Velocity	0	4194304	Value	ValueOutput
LFO1: Sync	0	4194304	Value	ValueOutput
LFO1: Delay	0	4194304	Value	ValueOutput
LFO2: Sync	0	4194304	Value	ValueOutput
LFO2: Delay	0	4194304	Value	ValueOutput
OSCs: WaveForm	0	4194304	Value	ValueOutput
OSCs: Tune	0	4194304	Value	ValueOutput
OSCs: key scale	0	4194304	Value	ValueOutput
OSCs: TuneModDepth	0	4194304	Value	ValueOutput
OSCs: Phase	0	4194304	Value	ValueOutput
OSCs: PhaseModDepth	0	4194304	Value	ValueOutput
OSCs: Inverse Volume	0	4194304	Value	ValueOutput
OSCs: WaveForm 2	0	4194304	Value	ValueOutput
OSCs: Tune 2	0	4194304	Value	ValueOutput
OSCs: key scale 2	0	4194304	Value	ValueOutput
OSCs: TuneModDepth 2	0	4194304	Value	ValueOutput
OSCs: Phase 2	0	4194304	Value	ValueOutput
OSCs: PhaseModDepth 2	0	4194304	Value	ValueOutput
OSCs: Inverse Volume 2	0	4194304	Value	ValueOutput
OSCs: Detune	0	4194304	Value	ValueOutput
OSCs: Volume 1	0	4194304	Value	ValueOutput
OSCs: Volume 2	0	4194304	Value	ValueOutput
OSCs: RingMod	0	4194304	Value	ValueOutput
OSCs: PhaseMod	0	4194304	Value	ValueOutput
OSCs: Warp	0	4194304	Value	ValueOutput
OSCs: Warp2	0	4194304	Value	ValueOutput
