Scope
Manufacturer	Model
AudioThing	vst.fOgC.FogConvolver_x64
Note: Will match scope definitions for vst.fOgC.FogConvolver_x64 or vst.fOgC

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Stretch	0	4194304	Value	ValueOutput
Pre Delay	0	4194304	Value	ValueOutput
Start	0	4194304	Value	ValueOutput
End	0	4194304	Value	ValueOutput
Fade In	0	4194304	Value	ValueOutput
Fade Out	0	4194304	Value	ValueOutput
Fade In Curve	0	4194304	Value	ValueOutput
Fade Out Curve	0	4194304	Value	ValueOutput
Reverse	0	4194304	Value	ValueOutput
Pre Gain	0	4194304	Value	ValueOutput
LowPass	0	4194304	Value	ValueOutput
HighPass	0	4194304	Value	ValueOutput
DryMix	0	4194304	Value	ValueOutput
WetMix	0	4194304	Value	ValueOutput
Bypass	0	4194304	Value	ValueOutput
True Stereo	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
