Scope
Manufacturer	Model
GVST	vst.gyBm.GSpace
Note: Will match scope definitions for vst.gyBm.GSpace or vst.gyBm

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
InGain	0	4194304	Value	ValueOutput
MidGain	0	4194304	Value	ValueOutput
SideGain	0	4194304	Value	ValueOutput
Delay	0	4194304	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
Wide	0	4194304	Value	ValueOutput
EnableEQ	0	4194304	Value	ValueOutput
MchEQPhs	0	4194304	Value	ValueOutput
Freq1	0	4194304	Value	ValueOutput
Freq2	0	4194304	Value	ValueOutput
Eq1Gain	0	4194304	Value	ValueOutput
Eq2Gain	0	4194304	Value	ValueOutput
Eq3Gain	0	4194304	Value	ValueOutput
Wet	0	4194304	Value	ValueOutput
Dry	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
