Scope
Manufacturer	Model
Eventide	vst.Fact.H3000 Factory
Note: Will match scope definitions for vst.Fact.H3000 Factory or vst.Fact

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Softkey1 Polari	0	4194304	Value	ValueOutput
Softkey2 Polari	0	4194304	Value	ValueOutput
Softkey3 Polari	0	4194304	Value	ValueOutput
Softkey4 Polari	0	4194304	Value	ValueOutput
Tempo Based	0	4194304	Value	ValueOutput
Wet/Dry Mix	0	4194304	Value	ValueOutput
Input Level	0	4194304	Value	ValueOutput
Output Level	0	4194304	Value	ValueOutput
FG Type	0	4194304	Value	ValueOutput
FG Amplitude	0	4194304	Value	ValueOutput
FG Rate	0	4194304	Value	ValueOutput
FG Tempo Based	0	4194304	Value	ValueOutput
FG Beats per Cy	0	4194304	Value	ValueOutput
FG Trigger	0	4194304	Value	ValueOutput
Wet/Dry Mix Mod	0	4194304	Value	ValueOutput
Wet/Dry Mix Min	0	4194304	Value	ValueOutput
Wet/Dry Mix Max	0	4194304	Value	ValueOutput
FG Amplitude Mo	0	4194304	Value	ValueOutput
FG Amplitude Mi	0	4194304	Value	ValueOutput
FG Amplitude Ma	0	4194304	Value	ValueOutput
FG Rate Mod	0	4194304	Value	ValueOutput
FG Rate Min	0	4194304	Value	ValueOutput
FG Rate Max	0	4194304	Value	ValueOutput
FG Beats per Cy	0	4194304	Value	ValueOutput
FG Beats per Cy	0	4194304	Value	ValueOutput
FG Trigger Mod	0	4194304	Value	ValueOutput
FG Trigger Min	0	4194304	Value	ValueOutput
FG Trigger Max	0	4194304	Value	ValueOutput
Delay 1 Amount	0	4194304	Value	ValueOutput
Delay 2 Amount	0	4194304	Value	ValueOutput
Delay 1 Mod Amo	0	4194304	Value	ValueOutput
Delay 2 Mod Amo	0	4194304	Value	ValueOutput
Delay 1 Feedbac	0	4194304	Value	ValueOutput
Delay 2 Feedbac	0	4194304	Value	ValueOutput
Delay 1 Loop En	0	4194304	Value	ValueOutput
Delay 2 Loop En	0	4194304	Value	ValueOutput
Delay 1 Highcut	0	4194304	Value	ValueOutput
Delay 2 Highcut	0	4194304	Value	ValueOutput
Delay 1 Highcut	0	4194304	Value	ValueOutput
Delay 2 Highcut	0	4194304	Value	ValueOutput
Delay 1 Mod Sou	0	4194304	Value	ValueOutput
Delay 1 Mod Low	0	4194304	Value	ValueOutput
Delay 1 Mod Hig	0	4194304	Value	ValueOutput
Delay 2 Mod Sou	0	4194304	Value	ValueOutput
Delay 2 Mod Low	0	4194304	Value	ValueOutput
Delay 2 Mod Hig	0	4194304	Value	ValueOutput
Delay 1 Loop Mo	0	4194304	Value	ValueOutput
Delay 1 Loop Mo	0	4194304	Value	ValueOutput
Delay 1 Loop Mo	0	4194304	Value	ValueOutput
Delay 2 Loop Mo	0	4194304	Value	ValueOutput
Delay 2 Loop Mo	0	4194304	Value	ValueOutput
Delay 2 Loop Mo	0	4194304	Value	ValueOutput
Delay 1 Audio I	0	4194304	Value	ValueOutput
Delay 2 Audio I	0	4194304	Value	ValueOutput
Delay 1 Mod Inp	0	4194304	Value	ValueOutput
Delay 2 Mod Inp	0	4194304	Value	ValueOutput
Delay 1 Filter 	0	4194304	Value	ValueOutput
Delay 2 Filter 	0	4194304	Value	ValueOutput
LFO 1 Shape	0	4194304	Value	ValueOutput
LFO 2 Shape	0	4194304	Value	ValueOutput
LFO 1 Freq	0	4194304	Value	ValueOutput
LFO 2 Freq	0	4194304	Value	ValueOutput
LFO 1 Beats	0	4194304	Value	ValueOutput
LFO 2 Beats	0	4194304	Value	ValueOutput
LFO 1 Freq Moda	0	4194304	Value	ValueOutput
LFO 2 Freq Moda	0	4194304	Value	ValueOutput
LFO 1 Threshold	0	4194304	Value	ValueOutput
LFO 2 Threshold	0	4194304	Value	ValueOutput
LFO 1 Freq Mods	0	4194304	Value	ValueOutput
LFO 1 Mod Low	0	4194304	Value	ValueOutput
LFO 1 Mod High	0	4194304	Value	ValueOutput
LFO 1 Mod Low B	0	4194304	Value	ValueOutput
LFO 1 Mod High 	0	4194304	Value	ValueOutput
LFO 2 Freq Mods	0	4194304	Value	ValueOutput
