Scope
Manufacturer	Model
Image-Line	vst.IHmo.IL Harmor x64
Note: Will match scope definitions for vst.IHmo.IL Harmor x64 or vst.IHmo

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
A - Starting phase	0	4194304	Value	ValueOutput
A - Phase randomness	0	4194304	Value	ValueOutput
A - Predelay	0	4194304	Value	ValueOutput
A - Envelope release po	0	4194304	Value	ValueOutput
A - Timbre 1 & 2 mix	0	4194304	Value	ValueOutput
A - Sub-harmonic 1	0	4194304	Value	ValueOutput
A - Sub-harmonic 2	0	4194304	Value	ValueOutput
A - Sub-harmonic 3	0	4194304	Value	ValueOutput
A - Harmonic protection	0	4194304	Value	ValueOutput
A - Clipping threshold	0	4194304	Value	ValueOutput
A - FX / dry mix	0	4194304	Value	ValueOutput
A - Time domain volume	0	4194304	Value	ValueOutput
A - Frequency domain en	0	4194304	Value	ValueOutput
A - Auto-gain	0	4194304	Value	ValueOutput
A - Velocity to volume 	0	4194304	Value	ValueOutput
A - Velocity to volume 	0	4194304	Value	ValueOutput
A - Release velocity to	0	4194304	Value	ValueOutput
A - Tremolo depth	0	4194304	Value	ValueOutput
A - Tremolo speed	0	4194304	Value	ValueOutput
A - Tremolo stereo gap	0	4194304	Value	ValueOutput
A - Blur mix	0	4194304	Value	ValueOutput
A - Time blur attack	0	4194304	Value	ValueOutput
A - Time blur decay	0	4194304	Value	ValueOutput
A - Harmonic blur amoun	0	4194304	Value	ValueOutput
A - Harmonic blur botto	0	4194304	Value	ValueOutput
A - Harmonic blur top t	0	4194304	Value	ValueOutput
A - Prism amount	0	4194304	Value	ValueOutput
A - Harmonizer mix	0	4194304	Value	ValueOutput
A - Harmonizer width	0	4194304	Value	ValueOutput
A - Harmonizer strength	0	4194304	Value	ValueOutput
A - Harmonizer pattern 	0	4194304	Value	ValueOutput
A - Harmonizer pattern 	0	4194304	Value	ValueOutput
A - Harmonizer pattern 	0	4194304	Value	ValueOutput
A - Harmonizer pattern 	0	4194304	Value	ValueOutput
A - Unison order	0	4194304	Value	ValueOutput
A - Unison distribution	0	4194304	Value	ValueOutput
A - Unison alternate di	0	4194304	Value	ValueOutput
A - Unison panning	0	4194304	Value	ValueOutput
A - Unison pitch thickn	0	4194304	Value	ValueOutput
A - Unison phase	0	4194304	Value	ValueOutput
A - Freq multiplicator	0	4194304	Value	ValueOutput
A - Freq divider	0	4194304	Value	ValueOutput
A - Harmonic detuning m	0	4194304	Value	ValueOutput
A - Harmonic detuning d	0	4194304	Value	ValueOutput
A - Pitch articulator a	0	4194304	Value	ValueOutput
A - Pitch vibrato depth	0	4194304	Value	ValueOutput
A - Pitch vibrato speed	0	4194304	Value	ValueOutput
A - Linear / logarithmi	0	4194304	Value	ValueOutput
A - Fixed / variable po	0	4194304	Value	ValueOutput
A - Portamento / legato	0	4194304	Value	ValueOutput
A - Portamento pitch li	0	4194304	Value	ValueOutput
A - Adaptive filter 1 e	0	4194304	Value	ValueOutput
A - Filter 1 frequency	0	4194304	Value	ValueOutput
A - Filter 1 scale	0	4194304	Value	ValueOutput
A - Filter 1 width	0	4194304	Value	ValueOutput
A - Key to filter 1 fre	0	4194304	Value	ValueOutput
A - Filter 1 envelope a	0	4194304	Value	ValueOutput
A - Filter 1 resonance 	0	4194304	Value	ValueOutput
A - Filter 1 resonance 	0	4194304	Value	ValueOutput
A - Filter 1 resonance 	0	4194304	Value	ValueOutput
A - Filter 1 resonance 	0	4194304	Value	ValueOutput
A - Filter 1 resonance 	0	4194304	Value	ValueOutput
A - Filter 1 resonance 	0	4194304	Value	ValueOutput
A - Adaptive filter 2 e	0	4194304	Value	ValueOutput
A - Filter 2 frequency	0	4194304	Value	ValueOutput
A - Filter 2 scale	0	4194304	Value	ValueOutput
A - Filter 2 width	0	4194304	Value	ValueOutput
A - Key to filter 2 fre	0	4194304	Value	ValueOutput
A - Filter 2 envelope a	0	4194304	Value	ValueOutput
A - Filter 2 resonance 	0	4194304	Value	ValueOutput
A - Filter 2 resonance 	0	4194304	Value	ValueOutput
A - Filter 2 resonance 	0	4194304	Value	ValueOutput
A - Filter 2 resonance 	0	4194304	Value	ValueOutput
