Scope
Manufacturer	Model
Image-Line	vst.ILLP.IL Love Philter
Note: Will match scope definitions for vst.ILLP.IL Love Philter or vst.ILLP

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Master level	0	4194304	Value	ValueOutput
Master LFO level	0	4194304	Value	ValueOutput
Envelope follower level	0	4194304	Value	ValueOutput
Envelope follower attac	0	4194304	Value	ValueOutput
Envelope follower relea	0	4194304	Value	ValueOutput
Pattern number	0	4194304	Value	ValueOutput
Modulation X	0	4194304	Value	ValueOutput
Modulation Y	0	4194304	Value	ValueOutput
Filter 1 - Cutoff envel	0	4194304	Value	ValueOutput
Filter 1 - Cutoff frequ	0	4194304	Value	ValueOutput
Filter 1 - Resonance / 	0	4194304	Value	ValueOutput
Filter 1 - Low / gain /	0	4194304	Value	ValueOutput
Filter 1 - Band	0	4194304	Value	ValueOutput
Filter 1 - High	0	4194304	Value	ValueOutput
Filter 1 - Waveshaper p	0	4194304	Value	ValueOutput
Filter 1 - Waveshaper m	0	4194304	Value	ValueOutput
Filter 1 - Output panni	0	4194304	Value	ValueOutput
Filter 1 - Output volum	0	4194304	Value	ValueOutput
Filter 1 - Input volume	0	4194304	Value	ValueOutput
Filter 1 - To next filt	0	4194304	Value	ValueOutput
Filter 1 - Panning - LF	0	4194304	Value	ValueOutput
Filter 1 - Panning - LF	0	4194304	Value	ValueOutput
Filter 1 - Panning - LF	0	4194304	Value	ValueOutput
Filter 1 - Panning - LF	0	4194304	Value	ValueOutput
Filter 1 - Volume - LFO	0	4194304	Value	ValueOutput
Filter 1 - Volume - LFO	0	4194304	Value	ValueOutput
Filter 1 - Volume - LFO	0	4194304	Value	ValueOutput
Filter 1 - Volume - LFO	0	4194304	Value	ValueOutput
Filter 1 - Filter cutof	0	4194304	Value	ValueOutput
Filter 1 - Filter cutof	0	4194304	Value	ValueOutput
Filter 1 - Filter cutof	0	4194304	Value	ValueOutput
Filter 1 - Filter cutof	0	4194304	Value	ValueOutput
Filter 1 - Filter reson	0	4194304	Value	ValueOutput
Filter 1 - Filter reson	0	4194304	Value	ValueOutput
Filter 1 - Filter reson	0	4194304	Value	ValueOutput
Filter 1 - Filter reson	0	4194304	Value	ValueOutput
Filter 1 - Filter low /	0	4194304	Value	ValueOutput
Filter 1 - Filter low /	0	4194304	Value	ValueOutput
Filter 1 - Filter low /	0	4194304	Value	ValueOutput
Filter 1 - Filter low /	0	4194304	Value	ValueOutput
Filter 1 - Filter band 	0	4194304	Value	ValueOutput
Filter 1 - Filter band 	0	4194304	Value	ValueOutput
Filter 1 - Filter band 	0	4194304	Value	ValueOutput
Filter 1 - Filter band 	0	4194304	Value	ValueOutput
Filter 1 - Filter high 	0	4194304	Value	ValueOutput
Filter 1 - Filter high 	0	4194304	Value	ValueOutput
Filter 1 - Filter high 	0	4194304	Value	ValueOutput
Filter 1 - Filter high 	0	4194304	Value	ValueOutput
Filter 1 - Waveshaper -	0	4194304	Value	ValueOutput
Filter 1 - Waveshaper -	0	4194304	Value	ValueOutput
Filter 1 - Waveshaper -	0	4194304	Value	ValueOutput
Filter 1 - Waveshaper -	0	4194304	Value	ValueOutput
Filter 2 - Cutoff envel	0	4194304	Value	ValueOutput
Filter 2 - Cutoff frequ	0	4194304	Value	ValueOutput
Filter 2 - Resonance / 	0	4194304	Value	ValueOutput
Filter 2 - Low / gain /	0	4194304	Value	ValueOutput
Filter 2 - Band	0	4194304	Value	ValueOutput
Filter 2 - High	0	4194304	Value	ValueOutput
Filter 2 - Waveshaper p	0	4194304	Value	ValueOutput
Filter 2 - Waveshaper m	0	4194304	Value	ValueOutput
Filter 2 - Output panni	0	4194304	Value	ValueOutput
Filter 2 - Output volum	0	4194304	Value	ValueOutput
Filter 2 - Input volume	0	4194304	Value	ValueOutput
Filter 2 - To next filt	0	4194304	Value	ValueOutput
Filter 2 - Panning - LF	0	4194304	Value	ValueOutput
Filter 2 - Panning - LF	0	4194304	Value	ValueOutput
Filter 2 - Panning - LF	0	4194304	Value	ValueOutput
Filter 2 - Panning - LF	0	4194304	Value	ValueOutput
Filter 2 - Volume - LFO	0	4194304	Value	ValueOutput
