Scope
Manufacturer	Model
Image-Line	vst.Tox4.IL Toxic Biohazard x64
Note: Will match scope definitions for vst.Tox4.IL Toxic Biohazard x64 or vst.Tox4

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Gain	0	4194304	Value	ValueOutput
Distortion	0	4194304	Value	ValueOutput
Transpose	0	4194304	Value	ValueOutput
Master Atk	0	4194304	Value	ValueOutput
Master Dec	0	4194304	Value	ValueOutput
Master Sus	0	4194304	Value	ValueOutput
Master Rel	0	4194304	Value	ValueOutput
Vel. Curve	0	4194304	Value	ValueOutput
Unison Dtn	0	4194304	Value	ValueOutput
Unison Pan	0	4194304	Value	ValueOutput
Glide Time	0	4194304	Value	ValueOutput
EGF to Pitch	0	4194304	Value	ValueOutput
Lfo2 to Pitch	0	4194304	Value	ValueOutput
Lfo1 Speed	0	4194304	Value	ValueOutput
Lfo2 Speed	0	4194304	Value	ValueOutput
Flt Cutoff	0	4194304	Value	ValueOutput
Flt Res	0	4194304	Value	ValueOutput
Flt KeyTrk	0	4194304	Value	ValueOutput
Flt VelTrk	0	4194304	Value	ValueOutput
Flt EG Atk	0	4194304	Value	ValueOutput
Flt EG Dec	0	4194304	Value	ValueOutput
Flt EG Sus	0	4194304	Value	ValueOutput
Flt EG Rel	0	4194304	Value	ValueOutput
Flt Eg Amnt	0	4194304	Value	ValueOutput
Flt Lfo1 Amnt	0	4194304	Value	ValueOutput
O1 Enable	0	4194304	Value	ValueOutput
O2 Enable	0	4194304	Value	ValueOutput
O3 Enable	0	4194304	Value	ValueOutput
O4 Enable	0	4194304	Value	ValueOutput
O5 Enable	0	4194304	Value	ValueOutput
O6 Enable	0	4194304	Value	ValueOutput
O1 Coarse	0	4194304	Value	ValueOutput
O2 Coarse	0	4194304	Value	ValueOutput
O3 Coarse	0	4194304	Value	ValueOutput
O4 Coarse	0	4194304	Value	ValueOutput
O5 Coarse	0	4194304	Value	ValueOutput
O6 Coarse	0	4194304	Value	ValueOutput
O1 Fine	0	4194304	Value	ValueOutput
O2 Fine	0	4194304	Value	ValueOutput
O3 Fine	0	4194304	Value	ValueOutput
O4 Fine	0	4194304	Value	ValueOutput
O5 Fine	0	4194304	Value	ValueOutput
O6 Fine	0	4194304	Value	ValueOutput
O1 Frq Shift	0	4194304	Value	ValueOutput
O2 Frq Shift	0	4194304	Value	ValueOutput
O3 Frq Shift	0	4194304	Value	ValueOutput
O4 Frq Shift	0	4194304	Value	ValueOutput
O5 Frq Shift	0	4194304	Value	ValueOutput
O6 Frq Shift	0	4194304	Value	ValueOutput
O1 Free Run	0	4194304	Value	ValueOutput
O2 Free Run	0	4194304	Value	ValueOutput
O3 Free Run	0	4194304	Value	ValueOutput
O4 Free Run	0	4194304	Value	ValueOutput
O5 Free Run	0	4194304	Value	ValueOutput
O6 Free Run	0	4194304	Value	ValueOutput
O1 Phase	0	4194304	Value	ValueOutput
O2 Phase	0	4194304	Value	ValueOutput
O3 Phase	0	4194304	Value	ValueOutput
O4 Phase	0	4194304	Value	ValueOutput
O5 Phase	0	4194304	Value	ValueOutput
O6 Phase	0	4194304	Value	ValueOutput
O1 VelSens	0	4194304	Value	ValueOutput
O2 VelSens	0	4194304	Value	ValueOutput
O3 VelSens	0	4194304	Value	ValueOutput
O4 VelSens	0	4194304	Value	ValueOutput
O5 VelSens	0	4194304	Value	ValueOutput
O6 VelSens	0	4194304	Value	ValueOutput
O1 Init	0	4194304	Value	ValueOutput
O2 Init	0	4194304	Value	ValueOutput
O3 Init	0	4194304	Value	ValueOutput
O4 Init	0	4194304	Value	ValueOutput
O5 Init	0	4194304	Value	ValueOutput
O6 Init	0	4194304	Value	ValueOutput
O1 Atk	0	4194304	Value	ValueOutput
O2 Atk	0	4194304	Value	ValueOutput
O3 Atk	0	4194304	Value	ValueOutput
O4 Atk	0	4194304	Value	ValueOutput
O5 Atk	0	4194304	Value	ValueOutput
O6 Atk	0	4194304	Value	ValueOutput
O1 Dec	0	4194304	Value	ValueOutput
O2 Dec	0	4194304	Value	ValueOutput
O3 Dec	0	4194304	Value	ValueOutput
O4 Dec	0	4194304	Value	ValueOutput
O5 Dec	0	4194304	Value	ValueOutput
