Scope
Manufacturer	Model
Infected Mushroom	vst.PvIW.IWish64
Note: Will match scope definitions for vst.PvIW.IWish64 or vst.PvIW

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
pitch	0	4194304	Value	ValueOutput
formant	0	4194304	Value	ValueOutput
pitchwup	0	4194304	Value	ValueOutput
pitchwdn	0	4194304	Value	ValueOutput
glide	0	4194304	Value	ValueOutput
smooth	0	4194304	Value	ValueOutput
mididelay	0	4194304	Value	ValueOutput
pitchlfo	0	4194304	Value	ValueOutput
formantlfo	0	4194304	Value	ValueOutput
pitchenv	0	4194304	Value	ValueOutput
formantenv	0	4194304	Value	ValueOutput
wet	0	4194304	Value	ValueOutput
link	0	4194304	Value	ValueOutput
envdelay	0	4194304	Value	ValueOutput
envcurve	0	4194304	Value	ValueOutput
envdecay	0	4194304	Value	ValueOutput
lfofade	0	4194304	Value	ValueOutput
lforate	0	4194304	Value	ValueOutput
lfoshape	0	4194304	Value	ValueOutput
lforetrig	0	4194304	Value	ValueOutput
lfosync	0	4194304	Value	ValueOutput
attack	0	4194304	Value	ValueOutput
release	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
