Scope
Manufacturer	Model
Waves	vst.T37M.WaveShell-VST 9_91_x64.J37 Mono
Note: Will match scope definitions for vst.T37M.WaveShell-VST 9_91_x64.J37 Mono or vst.T37M

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Delay Mode	0	4194304	Value	ValueOutput
Noise Level	0	4194304	Value	ValueOutput
Speed	0	4194304	Value	ValueOutput
Formula	0	4194304	Value	ValueOutput
Modeled Tracks	0	4194304	Value	ValueOutput
Bias	0	4194304	Value	ValueOutput
WOW Rate	0	4194304	Value	ValueOutput
WOW Depth	0	4194304	Value	ValueOutput
Flutter Rate	0	4194304	Value	ValueOutput
Flutter Depth	0	4194304	Value	ValueOutput
Input Level	0	4194304	Value	ValueOutput
Level Link	0	4194304	Value	ValueOutput
Output Level	0	4194304	Value	ValueOutput
Delay HP	0	4194304	Value	ValueOutput
Delay LP	0	4194304	Value	ValueOutput
Delay Type	0	4194304	Value	ValueOutput
Saturation	0	4194304	Value	ValueOutput
Delay Slap Level	0	4194304	Value	ValueOutput
Delay Feedback Level	0	4194304	Value	ValueOutput
Delay Time	0	4194304	Value	ValueOutput
Delay Time Sync	0	4194304	Value	ValueOutput
Delay Sync	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
