Scope
Manufacturer	Model
Kuassa	com.kuassa.EfektorDS3603

Remotable	Min	Max	Input type	Output type
On / Bypass	0	1	Toggle	ValueOutput
Input Volume	0	4194304	Value	ValueOutput
DistortionType	0	4	Value	ValueOutput
Distortion	0	4194304	Value	ValueOutput
Tone	0	4194304	Value	ValueOutput
Level	0	4194304	Value	ValueOutput
Dry / Wet	0	4194304	Value	ValueOutput
Enabled	0	2	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
