Scope
Manufacturer	Model
AIR Music Technology	vst.mooL.Loom_x64
Note: Will match scope definitions for vst.mooL.Loom_x64 or vst.mooL

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bend Range	0	4194304	Value	ValueOutput
Modulation Rate	0	4194304	Value	ValueOutput
Modulation Mix	0	4194304	Value	ValueOutput
Modulation Depth	0	4194304	Value	ValueOutput
Master Volume	0	4194304	Value	ValueOutput
Width	0	4194304	Value	ValueOutput
Mute FX	0	4194304	Value	ValueOutput
Dist FX On	0	4194304	Value	ValueOutput
Mod FX On	0	4194304	Value	ValueOutput
Delay FX On	0	4194304	Value	ValueOutput
Reverb FX On	0	4194304	Value	ValueOutput
Mod FX Type	0	4194304	Value	ValueOutput
Distortion Mode	0	4194304	Value	ValueOutput
Distortion Drive	0	4194304	Value	ValueOutput
Distortion HighCut	0	4194304	Value	ValueOutput
Distortion Mix	0	4194304	Value	ValueOutput
Delay Stereo	0	4194304	Value	ValueOutput
Delay Sync	0	4194304	Value	ValueOutput
Delay Time	0	4194304	Value	ValueOutput
Delay Feedback	0	4194304	Value	ValueOutput
Delay Low Cut	0	4194304	Value	ValueOutput
Delay High Cut	0	4194304	Value	ValueOutput
Delay Mix	0	4194304	Value	ValueOutput
Reverb Preset	0	4194304	Value	ValueOutput
Reverb Time	0	4194304	Value	ValueOutput
Reverb Mix	0	4194304	Value	ValueOutput
Reverb High Cut	0	4194304	Value	ValueOutput
Glide Time	0	4194304	Value	ValueOutput
Spectral Dist Type	0	4194304	Value	ValueOutput
Spectral Dist Depth	0	4194304	Value	ValueOutput
Spectral Dist Start	0	4194304	Value	ValueOutput
Spectral Mod Depth	0	4194304	Value	ValueOutput
Spectral Mod Speed	0	4194304	Value	ValueOutput
Spectral Mod Start	0	4194304	Value	ValueOutput
Spectral Mod Env Sel	0	4194304	Value	ValueOutput
Spectral Mod LFO Sel	0	4194304	Value	ValueOutput
Spectral Mod Ctrl Sel	0	4194304	Value	ValueOutput
Spectral Mod Env Depth	0	4194304	Value	ValueOutput
Spectral Mod LFO Depth	0	4194304	Value	ValueOutput
Spectral Mod Ctrl Depth	0	4194304	Value	ValueOutput
Spectral Mod Env Dest	0	4194304	Value	ValueOutput
Spectral Mod LFO Dest	0	4194304	Value	ValueOutput
Spectral Mod Ctrl Dest	0	4194304	Value	ValueOutput
Pitch Mod Env	0	4194304	Value	ValueOutput
Pitch Mod LFO	0	4194304	Value	ValueOutput
Pitch Mod Env Depth	0	4194304	Value	ValueOutput
Pitch Mod LFO Depth	0	4194304	Value	ValueOutput
Env 1 Attack	0	4194304	Value	ValueOutput
Env 1 Hold	0	4194304	Value	ValueOutput
Env 1 Decay	0	4194304	Value	ValueOutput
Env 1 Sustain	0	4194304	Value	ValueOutput
Env 1 Release	0	4194304	Value	ValueOutput
Env 2 Attack	0	4194304	Value	ValueOutput
Env 2 Hold	0	4194304	Value	ValueOutput
Env 2 Decay	0	4194304	Value	ValueOutput
Env 2 Sustain	0	4194304	Value	ValueOutput
Env 2 Release	0	4194304	Value	ValueOutput
Env 3 Attack	0	4194304	Value	ValueOutput
Env 3 Hold	0	4194304	Value	ValueOutput
Env 3 Decay	0	4194304	Value	ValueOutput
Env 3 Sustain	0	4194304	Value	ValueOutput
Env 3 Release	0	4194304	Value	ValueOutput
Env 4 StartLevel	0	4194304	Value	ValueOutput
Env 4 AttackTime	0	4194304	Value	ValueOutput
Env 4 Slope1	0	4194304	Value	ValueOutput
Env 4 Slope2	0	4194304	Value	ValueOutput
LFO 1 Rate	0	4194304	Value	ValueOutput
LFO 1 Sync	0	4194304	Value	ValueOutput
LFO 1 Mode	0	4194304	Value	ValueOutput
LFO 1 Fade	0	4194304	Value	ValueOutput
LFO 2 Rate	0	4194304	Value	ValueOutput
LFO 2 Sync	0	4194304	Value	ValueOutput
LFO 2 Mode	0	4194304	Value	ValueOutput
LFO 2 Fade	0	4194304	Value	ValueOutput
LFO 3 Rate	0	4194304	Value	ValueOutput
LFO 3 Sync	0	4194304	Value	ValueOutput
LFO 3 Mode	0	4194304	Value	ValueOutput
LFO 3 Fade	0	4194304	Value	ValueOutput
