Scope
Manufacturer	Model
KORG	vst.KLM1.M1 x64
Note: Will match scope definitions for vst.KLM1.M1 x64 or vst.KLM1

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
MASTER VOLUME	0	4194304	Value	ValueOutput
TRACK1 LEVEL	0	4194304	Value	ValueOutput
TRACK1 PAN	0	4194304	Value	ValueOutput
TRACK1 MUTE	0	4194304	Value	ValueOutput
TRACK1 SOLO	0	4194304	Value	ValueOutput
TRACK1 IFX SWITCH	0	4194304	Value	ValueOutput
TRACK1 OSC BALANCE	0	4194304	Value	ValueOutput
TRACK1 VDF CUTOFF	0	4194304	Value	ValueOutput
TRACK1 RESONANCE	0	4194304	Value	ValueOutput
TRACK1 VDF EG INT	0	4194304	Value	ValueOutput
TRACK1 ATTACK TIME	0	4194304	Value	ValueOutput
TRACK1 DECAY TIME	0	4194304	Value	ValueOutput
TRACK1 RELEASE TIME	0	4194304	Value	ValueOutput
TRACK1 DRY/WET BALANCE	0	4194304	Value	ValueOutput
TRACK1 SEND1	0	4194304	Value	ValueOutput
TRACK1 SEND2	0	4194304	Value	ValueOutput
TRACK2 LEVEL	0	4194304	Value	ValueOutput
TRACK2 PAN	0	4194304	Value	ValueOutput
TRACK2 MUTE	0	4194304	Value	ValueOutput
TRACK2 SOLO	0	4194304	Value	ValueOutput
TRACK2 IFX SWITCH	0	4194304	Value	ValueOutput
TRACK2 OSC BALANCE	0	4194304	Value	ValueOutput
TRACK2 VDF CUTOFF	0	4194304	Value	ValueOutput
TRACK2 RESONANCE	0	4194304	Value	ValueOutput
TRACK2 VDF EG INT	0	4194304	Value	ValueOutput
TRACK2 ATTACK TIME	0	4194304	Value	ValueOutput
TRACK2 DECAY TIME	0	4194304	Value	ValueOutput
TRACK2 RELEASE TIME	0	4194304	Value	ValueOutput
TRACK2 DRY/WET BALANCE	0	4194304	Value	ValueOutput
TRACK2 SEND1	0	4194304	Value	ValueOutput
TRACK2 SEND2	0	4194304	Value	ValueOutput
TRACK3 LEVEL	0	4194304	Value	ValueOutput
TRACK3 PAN	0	4194304	Value	ValueOutput
TRACK3 MUTE	0	4194304	Value	ValueOutput
TRACK3 SOLO	0	4194304	Value	ValueOutput
TRACK3 IFX SWITCH	0	4194304	Value	ValueOutput
TRACK3 OSC BALANCE	0	4194304	Value	ValueOutput
TRACK3 VDF CUTOFF	0	4194304	Value	ValueOutput
TRACK3 RESONANCE	0	4194304	Value	ValueOutput
TRACK3 VDF EG INT	0	4194304	Value	ValueOutput
TRACK3 ATTACK TIME	0	4194304	Value	ValueOutput
TRACK3 DECAY TIME	0	4194304	Value	ValueOutput
TRACK3 RELEASE TIME	0	4194304	Value	ValueOutput
TRACK3 DRY/WET BALANCE	0	4194304	Value	ValueOutput
TRACK3 SEND1	0	4194304	Value	ValueOutput
TRACK3 SEND2	0	4194304	Value	ValueOutput
TRACK4 LEVEL	0	4194304	Value	ValueOutput
TRACK4 PAN	0	4194304	Value	ValueOutput
TRACK4 MUTE	0	4194304	Value	ValueOutput
TRACK4 SOLO	0	4194304	Value	ValueOutput
TRACK4 IFX SWITCH	0	4194304	Value	ValueOutput
TRACK4 OSC BALANCE	0	4194304	Value	ValueOutput
TRACK4 VDF CUTOFF	0	4194304	Value	ValueOutput
TRACK4 RESONANCE	0	4194304	Value	ValueOutput
TRACK4 VDF EG INT	0	4194304	Value	ValueOutput
TRACK4 ATTACK TIME	0	4194304	Value	ValueOutput
TRACK4 DECAY TIME	0	4194304	Value	ValueOutput
TRACK4 RELEASE TIME	0	4194304	Value	ValueOutput
TRACK4 DRY/WET BALANCE	0	4194304	Value	ValueOutput
TRACK4 SEND1	0	4194304	Value	ValueOutput
TRACK4 SEND2	0	4194304	Value	ValueOutput
TRACK5 LEVEL	0	4194304	Value	ValueOutput
TRACK5 PAN	0	4194304	Value	ValueOutput
TRACK5 MUTE	0	4194304	Value	ValueOutput
TRACK5 SOLO	0	4194304	Value	ValueOutput
TRACK5 IFX SWITCH	0	4194304	Value	ValueOutput
TRACK5 OSC BALANCE	0	4194304	Value	ValueOutput
TRACK5 VDF CUTOFF	0	4194304	Value	ValueOutput
