Scope
Manufacturer	Model
MeldaProduction	vst.MAe%24.MDynamics x64
Note: Will match scope definitions for vst.MAe%24.MDynamics x64 or vst.MAe%24

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
GeneralParamet-InputGain	0	4194304	Value	ValueOutput
GeneraParame-OutputGain	0	4194304	Value	ValueOutput
GeneralParamete-TempGain	0	4194304	Value	ValueOutput
GeneralParameter-Dry/wet	0	4194304	Value	ValueOutput
GeneralParameters-Mode	0	4194304	Value	ValueOutput
GenPar-MaxSigStrTo0dB	0	4194304	Value	ValueOutput
GeneraParame-LinkChanne	0	4194304	Value	ValueOutput
DynamicDetection-Attack	0	4194304	Value	ValueOutput
DynamicDetection-Release	0	4194304	Value	ValueOutput
DynamiDetect-ReleasMode	0	4194304	Value	ValueOutput
DynamicDetecti-AutoSpeed	0	4194304	Value	ValueOutput
DynamicDetectio-PeakHold	0	4194304	Value	ValueOutput
DynamicDetecti-RMSLength	0	4194304	Value	ValueOutput
DynamicDetectio-Look-ahe	0	4194304	Value	ValueOutput
Side-chain - Side-chain	0	4194304	Value	ValueOutput
Side-chain - Minimal	0	4194304	Value	ValueOutput
Side-chain - Maximal	0	4194304	Value	ValueOutput
Side-chain - Resonance	0	4194304	Value	ValueOutput
Side--UseSeconInputChann	0	4194304	Value	ValueOutput
Gate - Gate	0	4194304	Value	ValueOutput
Gate - Threshold	0	4194304	Value	ValueOutput
Gate - Size	0	4194304	Value	ValueOutput
Gate - Knee	0	4194304	Value	ValueOutput
Gate - Bottom	0	4194304	Value	ValueOutput
Processor1-Processor1	0	4194304	Value	ValueOutput
Processor 1 - Threshold	0	4194304	Value	ValueOutput
Processor 1 - Ratio	0	4194304	Value	ValueOutput
Processor 1 - Knee size	0	4194304	Value	ValueOutput
Processor 1 - Range	0	4194304	Value	ValueOutput
Processor2-Processor2	0	4194304	Value	ValueOutput
Processor 2 - Threshold	0	4194304	Value	ValueOutput
Processor 2 - Ratio	0	4194304	Value	ValueOutput
Processor 2 - Knee size	0	4194304	Value	ValueOutput
Processor 2 - Range	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Ratio	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
MultiPar-MultiPar1-Value	0	4194304	Value	ValueOutput
MultiPa-MultiPa1-MaxValu	0	4194304	Value	ValueOutput
MultiPar-MultiPar1-Range	0	4194304	Value	ValueOutput
Multi-Multi1-SwitcTime	0	4194304	Value	ValueOutput
MultiPar-MultiPar2-Value	0	4194304	Value	ValueOutput
MultiPa-MultiPa2-MaxValu	0	4194304	Value	ValueOutput
MultiPar-MultiPar2-Range	0	4194304	Value	ValueOutput
Multi-Multi2-SwitcTime	0	4194304	Value	ValueOutput
MultiPar-MultiPar3-Value	0	4194304	Value	ValueOutput
MultiPa-MultiPa3-MaxValu	0	4194304	Value	ValueOutput
MultiPar-MultiPar3-Range	0	4194304	Value	ValueOutput
Multi-Multi3-SwitcTime	0	4194304	Value	ValueOutput
MultiPar-MultiPar4-Value	0	4194304	Value	ValueOutput
MultiPa-MultiPa4-MaxValu	0	4194304	Value	ValueOutput
MultiPar-MultiPar4-Range	0	4194304	Value	ValueOutput
Multi-Multi4-SwitcTime	0	4194304	Value	ValueOutput
Custom shape - Point 1 X	0	4194304	Value	ValueOutput
Custom shape - Point 1 Y	0	4194304	Value	ValueOutput
CustomShape-Point1Curvat	0	4194304	Value	ValueOutput
CustomShape-Point1Smooth	0	4194304	Value	ValueOutput
Custom shape - Point 2 X	0	4194304	Value	ValueOutput
Custom shape - Point 2 Y	0	4194304	Value	ValueOutput
CustomShape-Point2Curvat	0	4194304	Value	ValueOutput
CustomShape-Point2Smooth	0	4194304	Value	ValueOutput
Custom shape - Point 3 X	0	4194304	Value	ValueOutput
Custom shape - Point 3 Y	0	4194304	Value	ValueOutput
CustomShape-Point3Curvat	0	4194304	Value	ValueOutput
CustomShape-Point3Smooth	0	4194304	Value	ValueOutput
Custom shape - Point 4 X	0	4194304	Value	ValueOutput
Custom shape - Point 4 Y	0	4194304	Value	ValueOutput
