Scope
Manufacturer	Model
u-he	vst.MFM2.MFM2(x64)
Note: Will match scope definitions for vst.MFM2.MFM2(x64) or vst.MFM2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
main: Output	0	4194304	Value	ValueOutput
PCore: Matrix1 Source	0	4194304	Value	ValueOutput
PCore: Matrix1 Depth	0	4194304	Value	ValueOutput
PCore: Matrix1 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix1 Via	0	4194304	Value	ValueOutput
PCore: Matrix2 Source	0	4194304	Value	ValueOutput
PCore: Matrix2 Depth	0	4194304	Value	ValueOutput
PCore: Matrix2 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix2 Via	0	4194304	Value	ValueOutput
PCore: Matrix3 Source	0	4194304	Value	ValueOutput
PCore: Matrix3 Depth	0	4194304	Value	ValueOutput
PCore: Matrix3 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix3 Via	0	4194304	Value	ValueOutput
PCore: Matrix4 Source	0	4194304	Value	ValueOutput
PCore: Matrix4 Depth	0	4194304	Value	ValueOutput
PCore: Matrix4 ViaSrc	0	4194304	Value	ValueOutput
PCore: Matrix4 Via	0	4194304	Value	ValueOutput
Midi: Active #LFO1	0	4194304	Value	ValueOutput
Midi: Active #LFO2	0	4194304	Value	ValueOutput
Midi: Active #LFO3	0	4194304	Value	ValueOutput
Midi: Active #LFO4	0	4194304	Value	ValueOutput
Midi: Mode	0	4194304	Value	ValueOutput
Midi: Portamento	0	4194304	Value	ValueOutput
Midi: Transpose	0	4194304	Value	ValueOutput
Midi: FineTuneCents	0	4194304	Value	ValueOutput
Midi: InternalNote	0	4194304	Value	ValueOutput
Midi: InternalVel	0	4194304	Value	ValueOutput
MSEG1: Velocity	0	4194304	Value	ValueOutput
MSEG1: Attack	0	4194304	Value	ValueOutput
MSEG1: Loop	0	4194304	Value	ValueOutput
MSEG1: Release	0	4194304	Value	ValueOutput
MSEG2: Velocity	0	4194304	Value	ValueOutput
MSEG2: Attack	0	4194304	Value	ValueOutput
MSEG2: Loop	0	4194304	Value	ValueOutput
MSEG2: Release	0	4194304	Value	ValueOutput
LFO1: Sync	0	4194304	Value	ValueOutput
LFO1: Delay	0	4194304	Value	ValueOutput
LFO2: Sync	0	4194304	Value	ValueOutput
LFO2: Delay	0	4194304	Value	ValueOutput
LFO3: Sync	0	4194304	Value	ValueOutput
LFO3: Delay	0	4194304	Value	ValueOutput
LFO4: Sync	0	4194304	Value	ValueOutput
LFO4: Delay	0	4194304	Value	ValueOutput
MFM2: Dry	0	4194304	Value	ValueOutput
MFM2: MasterFeedback	0	4194304	Value	ValueOutput
MFM2: Wet	0	4194304	Value	ValueOutput
MFM2: SoftClip12	0	4194304	Value	ValueOutput
MFM2: SoftClipDpt12	0	4194304	Value	ValueOutput
MFM2: Decimate12	0	4194304	Value	ValueOutput
MFM2: DecimateDpt12	0	4194304	Value	ValueOutput
MFM2: FreqShift12	0	4194304	Value	ValueOutput
MFM2: FreqDpt12	0	4194304	Value	ValueOutput
MFM2: PhaseC12	0	4194304	Value	ValueOutput
MFM2: PhaseDpt12	0	4194304	Value	ValueOutput
MFM2: PhaseFB12	0	4194304	Value	ValueOutput
MFM2: HiPass12	0	4194304	Value	ValueOutput
MFM2: LoPass12	0	4194304	Value	ValueOutput
MFM2: SoftClip34	0	4194304	Value	ValueOutput
MFM2: SoftClipDpt34	0	4194304	Value	ValueOutput
MFM2: Decimate34	0	4194304	Value	ValueOutput
MFM2: DecimateDpt34	0	4194304	Value	ValueOutput
MFM2: FreqShift34	0	4194304	Value	ValueOutput
MFM2: FreqDpt34	0	4194304	Value	ValueOutput
MFM2: PhaseC34	0	4194304	Value	ValueOutput
MFM2: PhaseDpt34	0	4194304	Value	ValueOutput
MFM2: PhaseFB34	0	4194304	Value	ValueOutput
MFM2: HiPass34	0	4194304	Value	ValueOutput
MFM2: LoPass34	0	4194304	Value	ValueOutput
MFM2: CompThreshold1	0	4194304	Value	ValueOutput
MFM2: Compression1	0	4194304	Value	ValueOutput
MFM2: CompAttack1	0	4194304	Value	ValueOutput
MFM2: CompRelease1	0	4194304	Value	ValueOutput
