Scope
Manufacturer	Model
MeldaProduction	vst.MAe6.MRingModulator x64
Note: Will match scope definitions for vst.MAe6.MRingModulator x64 or vst.MAe6

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Modulate oscillators	0	4194304	Value	ValueOutput
Oscillator1-Oscillator1	0	4194304	Value	ValueOutput
Oscillator 1 - Depth	0	4194304	Value	ValueOutput
Oscillator 1 - Frequency	0	4194304	Value	ValueOutput
Oscillator 1 - Phase	0	4194304	Value	ValueOutput
Oscillator2-Oscillator2	0	4194304	Value	ValueOutput
Oscillator 2 - Depth	0	4194304	Value	ValueOutput
Oscillator 2 - Frequency	0	4194304	Value	ValueOutput
Oscillator 2 - Phase	0	4194304	Value	ValueOutput
Oscillator1Shape-Shape	0	4194304	Value	ValueOutput
Oscill1Shape-CustomMorph	0	4194304	Value	ValueOutput
Oscill1Shape-StepSequen	0	4194304	Value	ValueOutput
Oscillat1Shape-Smoothne	0	4194304	Value	ValueOutput
Oscillator2Shape-Shape	0	4194304	Value	ValueOutput
Oscill2Shape-CustomMorph	0	4194304	Value	ValueOutput
Oscill2Shape-StepSequen	0	4194304	Value	ValueOutput
Oscillat2Shape-Smoothne	0	4194304	Value	ValueOutput
MultiParameter 1	0	4194304	Value	ValueOutput
MultiParameter 2	0	4194304	Value	ValueOutput
MultiParameter 3	0	4194304	Value	ValueOutput
MultiParameter 4	0	4194304	Value	ValueOutput
MultiPar-MultiPar1-Value	0	4194304	Value	ValueOutput
MultiPa-MultiPa1-MaxValu	0	4194304	Value	ValueOutput
MultiPar-MultiPar1-Range	0	4194304	Value	ValueOutput
Multi-Multi1-SwitcTime	0	4194304	Value	ValueOutput
MultiPar-MultiPar2-Value	0	4194304	Value	ValueOutput
MultiPa-MultiPa2-MaxValu	0	4194304	Value	ValueOutput
MultiPar-MultiPar2-Range	0	4194304	Value	ValueOutput
Multi-Multi2-SwitcTime	0	4194304	Value	ValueOutput
MultiPar-MultiPar3-Value	0	4194304	Value	ValueOutput
MultiPa-MultiPa3-MaxValu	0	4194304	Value	ValueOutput
MultiPar-MultiPar3-Range	0	4194304	Value	ValueOutput
Multi-Multi3-SwitcTime	0	4194304	Value	ValueOutput
MultiPar-MultiPar4-Value	0	4194304	Value	ValueOutput
MultiPa-MultiPa4-MaxValu	0	4194304	Value	ValueOutput
MultiPar-MultiPar4-Range	0	4194304	Value	ValueOutput
Multi-Multi4-SwitcTime	0	4194304	Value	ValueOutput
Multi-Multi1-Param2Value	0	4194304	Value	ValueOutput
Multi-Multi1-Param2MaxVa	0	4194304	Value	ValueOutput
Multi-Multi1-Param2Range	0	4194304	Value	ValueOutput
Multi-Multi1-Param3Value	0	4194304	Value	ValueOutput
Multi-Multi1-Param3MaxVa	0	4194304	Value	ValueOutput
Multi-Multi1-Param3Range	0	4194304	Value	ValueOutput
Multi-Multi1-Param4Value	0	4194304	Value	ValueOutput
Multi-Multi1-Param4MaxVa	0	4194304	Value	ValueOutput
Multi-Multi1-Param4Range	0	4194304	Value	ValueOutput
Multi-Multi2-Param2Value	0	4194304	Value	ValueOutput
Multi-Multi2-Param2MaxVa	0	4194304	Value	ValueOutput
Multi-Multi2-Param2Range	0	4194304	Value	ValueOutput
Multi-Multi2-Param3Value	0	4194304	Value	ValueOutput
Multi-Multi2-Param3MaxVa	0	4194304	Value	ValueOutput
Multi-Multi2-Param3Range	0	4194304	Value	ValueOutput
Multi-Multi2-Param4Value	0	4194304	Value	ValueOutput
Multi-Multi2-Param4MaxVa	0	4194304	Value	ValueOutput
Multi-Multi2-Param4Range	0	4194304	Value	ValueOutput
Multi-Multi3-Param2Value	0	4194304	Value	ValueOutput
Multi-Multi3-Param2MaxVa	0	4194304	Value	ValueOutput
Multi-Multi3-Param2Range	0	4194304	Value	ValueOutput
Multi-Multi3-Param3Value	0	4194304	Value	ValueOutput
Multi-Multi3-Param3MaxVa	0	4194304	Value	ValueOutput
Multi-Multi3-Param3Range	0	4194304	Value	ValueOutput
Multi-Multi3-Param4Value	0	4194304	Value	ValueOutput
Multi-Multi3-Param4MaxVa	0	4194304	Value	ValueOutput
Multi-Multi3-Param4Range	0	4194304	Value	ValueOutput
