Scope
Manufacturer	Model
MeldaProduction	vst.MTuC.MTurboComp x64
Note: Will match scope definitions for vst.MTuC.MTurboComp x64 or vst.MTuC

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Gain In	0	4194304	Value	ValueOutput
Gain Out	0	4194304	Value	ValueOutput
Dry/wet	0	4194304	Value	ValueOutput
Compression	0	4194304	Value	ValueOutput
Saturation	0	4194304	Value	ValueOutput
Param 6	0	4194304	Value	ValueOutput
Param 7	0	4194304	Value	ValueOutput
Param 8	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Ratio	0	4194304	Value	ValueOutput
Soft	0	4194304	Value	ValueOutput
Param 12	0	4194304	Value	ValueOutput
Param 13	0	4194304	Value	ValueOutput
Param 14	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Param 17	0	4194304	Value	ValueOutput
Param 18	0	4194304	Value	ValueOutput
Side-chain input	0	4194304	Value	ValueOutput
Param 20	0	4194304	Value	ValueOutput
HP	0	4194304	Value	ValueOutput
Param 22	0	4194304	Value	ValueOutput
LP	0	4194304	Value	ValueOutput
Param 24	0	4194304	Value	ValueOutput
Gain	0	4194304	Value	ValueOutput
Frequency	0	4194304	Value	ValueOutput
BW	0	4194304	Value	ValueOutput
Param 28	0	4194304	Value	ValueOutput
Param 29	0	4194304	Value	ValueOutput
Param 30	0	4194304	Value	ValueOutput
*Gain Out (final)	0	4194304	Value	ValueOutput
Param 32	0	4194304	Value	ValueOutput
Active preset	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
