Scope
Manufacturer	Model
Sound Guru	vst.Mngl.Mangle64
Note: Will match scope definitions for vst.Mngl.Mangle64 or vst.Mngl

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
s1 Position	0	4194304	Value	ValueOutput
s1 Amp	0	4194304	Value	ValueOutput
s1 Grain rate	0	4194304	Value	ValueOutput
s1 Pitch ratio	0	4194304	Value	ValueOutput
s1 Reverse prob	0	4194304	Value	ValueOutput
s1 Pan	0	4194304	Value	ValueOutput
s1 Filter cutof	0	4194304	Value	ValueOutput
s1 Filter reson	0	4194304	Value	ValueOutput
s1 Filter stere	0	4194304	Value	ValueOutput
s1 Grain attack	0	4194304	Value	ValueOutput
s1 Grain releas	0	4194304	Value	ValueOutput
s1 Grain sustai	0	4194304	Value	ValueOutput
s1 Grain length	0	4194304	Value	ValueOutput
s1 Voice attack	0	4194304	Value	ValueOutput
s1 Voice decay 	0	4194304	Value	ValueOutput
s1 Voice releas	0	4194304	Value	ValueOutput
s1 Voice sustai	0	4194304	Value	ValueOutput
s1 Voice veloci	0	4194304	Value	ValueOutput
s1 LFO1 rate	0	4194304	Value	ValueOutput
s1 LFO2 rate	0	4194304	Value	ValueOutput
s1 Seq1 grains 	0	4194304	Value	ValueOutput
s1 Seq1 time pe	0	4194304	Value	ValueOutput
s1 Seq2 grains 	0	4194304	Value	ValueOutput
s1 Seq2 time pe	0	4194304	Value	ValueOutput
s1 Seq3 grains 	0	4194304	Value	ValueOutput
s1 Seq3 time pe	0	4194304	Value	ValueOutput
s1 Seq4 grains 	0	4194304	Value	ValueOutput
s1 Seq4 time pe	0	4194304	Value	ValueOutput
s1 Macro knob 1	0	4194304	Value	ValueOutput
s1 Macro knob 2	0	4194304	Value	ValueOutput
s1 Macro knob 3	0	4194304	Value	ValueOutput
s1 Macro knob 4	0	4194304	Value	ValueOutput
s1 Loop speed	0	4194304	Value	ValueOutput
s1 Loop amount	0	4194304	Value	ValueOutput
s2 Position	0	4194304	Value	ValueOutput
s2 Amp	0	4194304	Value	ValueOutput
s2 Grain rate	0	4194304	Value	ValueOutput
s2 Pitch ratio	0	4194304	Value	ValueOutput
s2 Reverse prob	0	4194304	Value	ValueOutput
s2 Pan	0	4194304	Value	ValueOutput
s2 Filter cutof	0	4194304	Value	ValueOutput
s2 Filter reson	0	4194304	Value	ValueOutput
s2 Filter stere	0	4194304	Value	ValueOutput
s2 Grain attack	0	4194304	Value	ValueOutput
s2 Grain releas	0	4194304	Value	ValueOutput
s2 Grain sustai	0	4194304	Value	ValueOutput
s2 Grain length	0	4194304	Value	ValueOutput
s2 Voice attack	0	4194304	Value	ValueOutput
s2 Voice decay 	0	4194304	Value	ValueOutput
s2 Voice releas	0	4194304	Value	ValueOutput
s2 Voice sustai	0	4194304	Value	ValueOutput
s2 Voice veloci	0	4194304	Value	ValueOutput
s2 LFO1 rate	0	4194304	Value	ValueOutput
s2 LFO2 rate	0	4194304	Value	ValueOutput
s2 Seq1 grains 	0	4194304	Value	ValueOutput
s2 Seq1 time pe	0	4194304	Value	ValueOutput
s2 Seq2 grains 	0	4194304	Value	ValueOutput
s2 Seq2 time pe	0	4194304	Value	ValueOutput
s2 Seq3 grains 	0	4194304	Value	ValueOutput
s2 Seq3 time pe	0	4194304	Value	ValueOutput
s2 Seq4 grains 	0	4194304	Value	ValueOutput
s2 Seq4 time pe	0	4194304	Value	ValueOutput
s2 Macro knob 1	0	4194304	Value	ValueOutput
s2 Macro knob 2	0	4194304	Value	ValueOutput
s2 Macro knob 3	0	4194304	Value	ValueOutput
s2 Macro knob 4	0	4194304	Value	ValueOutput
s2 Loop speed	0	4194304	Value	ValueOutput
s2 Loop amount	0	4194304	Value	ValueOutput
s3 Position	0	4194304	Value	ValueOutput
s3 Amp	0	4194304	Value	ValueOutput
s3 Grain rate	0	4194304	Value	ValueOutput
s3 Pitch ratio	0	4194304	Value	ValueOutput
s3 Reverse prob	0	4194304	Value	ValueOutput
s3 Pan	0	4194304	Value	ValueOutput
s3 Filter cutof	0	4194304	Value	ValueOutput
s3 Filter reson	0	4194304	Value	ValueOutput
s3 Filter stere	0	4194304	Value	ValueOutput
