Scope
Manufacturer	Model
Arturia	vst.MOD3.Modular V3
Note: Will match scope definitions for vst.MOD3.Modular V3 or vst.MOD3

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
AttackTime Vca1	0	4194304	Value	ValueOutput
SlopeTime Vca1	0	4194304	Value	ValueOutput
DecayTime Vca1	0	4194304	Value	ValueOutput
ReleaseTime Vca1	0	4194304	Value	ValueOutput
SlopeLevel Vca1	0	4194304	Value	ValueOutput
SustainLevel Vca1	0	4194304	Value	ValueOutput
Level Vca1	0	4194304	Value	ValueOutput
Amount AM Vca1	0	4194304	Value	ValueOutput
AttackTime Vca2	0	4194304	Value	ValueOutput
SlopeTime Vca2	0	4194304	Value	ValueOutput
DecayTime Vca2	0	4194304	Value	ValueOutput
ReleaseTime Vca2	0	4194304	Value	ValueOutput
SlopeLevel Vca2	0	4194304	Value	ValueOutput
SustainLevel Vca2	0	4194304	Value	ValueOutput
Level Vca2	0	4194304	Value	ValueOutput
Amount AM Vca2	0	4194304	Value	ValueOutput
AttackTime Env1	0	4194304	Value	ValueOutput
DecayTime Env1	0	4194304	Value	ValueOutput
ReleaseTime Env1	0	4194304	Value	ValueOutput
SustainLevel Env1	0	4194304	Value	ValueOutput
AttackTime Env2	0	4194304	Value	ValueOutput
DecayTime Env2	0	4194304	Value	ValueOutput
ReleaseTime Env2	0	4194304	Value	ValueOutput
SustainLevel Env2	0	4194304	Value	ValueOutput
AttackTime Env3	0	4194304	Value	ValueOutput
DecayTime Env3	0	4194304	Value	ValueOutput
ReleaseTime Env3	0	4194304	Value	ValueOutput
SustainLevel Env3	0	4194304	Value	ValueOutput
AttackTime Env4	0	4194304	Value	ValueOutput
DecayTime Env4	0	4194304	Value	ValueOutput
ReleaseTime Env4	0	4194304	Value	ValueOutput
SustainLevel Env4	0	4194304	Value	ValueOutput
AttackTime Env5	0	4194304	Value	ValueOutput
DecayTime Env5	0	4194304	Value	ValueOutput
ReleaseTime Env5	0	4194304	Value	ValueOutput
SustainLevel Env5	0	4194304	Value	ValueOutput
AttackTime Env6	0	4194304	Value	ValueOutput
DecayTime Env6	0	4194304	Value	ValueOutput
ReleaseTime Env6	0	4194304	Value	ValueOutput
SustainLevel Env6	0	4194304	Value	ValueOutput
CutOff Filter1	0	4194304	Value	ValueOutput
Resonance Filter1	0	4194304	Value	ValueOutput
Gain Filter1	0	4194304	Value	ValueOutput
Amount FM1 Filter1	0	4194304	Value	ValueOutput
Amount FM1 Filter1	0	4194304	Value	ValueOutput
Amount FM1 Filter1	0	4194304	Value	ValueOutput
Amount RM1 Filter1	0	4194304	Value	ValueOutput
CutOff Filter2	0	4194304	Value	ValueOutput
Resonance Filter2	0	4194304	Value	ValueOutput
Gain Filter2	0	4194304	Value	ValueOutput
Amount FM1 Filter2	0	4194304	Value	ValueOutput
Amount FM2 Filter2	0	4194304	Value	ValueOutput
Amount FM3 Filter2	0	4194304	Value	ValueOutput
Amount RM Filter2	0	4194304	Value	ValueOutput
CutOff Filter3	0	4194304	Value	ValueOutput
Resonance Filter3	0	4194304	Value	ValueOutput
Gain Filter3	0	4194304	Value	ValueOutput
Amount FM1 Filter3	0	4194304	Value	ValueOutput
Amount FM2 Filter3	0	4194304	Value	ValueOutput
Amount FM3 Filter3	0	4194304	Value	ValueOutput
Amount RM Filter3	0	4194304	Value	ValueOutput
Width Osc1	0	4194304	Value	ValueOutput
Tune Osc1	0	4194304	Value	ValueOutput
Transpose Osc1-2-3	0	4194304	Value	ValueOutput
Accord Osc1	0	4194304	Value	ValueOutput
Amount FM1 Osc1	0	4194304	Value	ValueOutput
Amount FM2 Osc1	0	4194304	Value	ValueOutput
Amount FM3 Osc1	0	4194304	Value	ValueOutput
Amount FM4 Osc1	0	4194304	Value	ValueOutput
Amount FM5 Osc1	0	4194304	Value	ValueOutput
Amount PWM1 Osc1	0	4194304	Value	ValueOutput
Amount PWM2 Osc1	0	4194304	Value	ValueOutput
Width Osc2	0	4194304	Value	ValueOutput
Tune Osc2	0	4194304	Value	ValueOutput
Frequence Osc2	0	4194304	Value	ValueOutput
Accord Osc2	0	4194304	Value	ValueOutput
