Scope
Manufacturer	Model
McDSP	vst.N575.NF575_x64
Note: Will match scope definitions for vst.N575.NF575_x64 or vst.N575

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Input	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Phase Left	0	4194304	Value	ValueOutput
HPF Frequency	0	4194304	Value	ValueOutput
HPF Q	0	4194304	Value	ValueOutput
HPF Enable	0	4194304	Value	ValueOutput
Notch 1 Frequen	0	4194304	Value	ValueOutput
Notch 1 Range	0	4194304	Value	ValueOutput
Notch 1 Q	0	4194304	Value	ValueOutput
Notch 1 Enable	0	4194304	Value	ValueOutput
Notch 2 Frequen	0	4194304	Value	ValueOutput
Notch 2 Range	0	4194304	Value	ValueOutput
Notch 2 Q	0	4194304	Value	ValueOutput
Notch 2 Enable	0	4194304	Value	ValueOutput
Notch 3 Frequen	0	4194304	Value	ValueOutput
Notch 3 Range	0	4194304	Value	ValueOutput
Notch 3 Q	0	4194304	Value	ValueOutput
Notch 3 Enable	0	4194304	Value	ValueOutput
Notch 4 Frequen	0	4194304	Value	ValueOutput
Notch 4 Range	0	4194304	Value	ValueOutput
Notch 4 Q	0	4194304	Value	ValueOutput
Notch 4 Enable	0	4194304	Value	ValueOutput
Notch 5 Frequen	0	4194304	Value	ValueOutput
Notch 5 Range	0	4194304	Value	ValueOutput
Notch 5 Q	0	4194304	Value	ValueOutput
Notch 5 Enable	0	4194304	Value	ValueOutput
LPF Frequency	0	4194304	Value	ValueOutput
LPF Q	0	4194304	Value	ValueOutput
LPF Enable	0	4194304	Value	ValueOutput
Notch Link	0	4194304	Value	ValueOutput
Notch Solo	0	4194304	Value	ValueOutput
Phase Mono	0	4194304	Value	ValueOutput
Phase Right	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
