Scope
Manufacturer	Model
Ddmf	vst.LiPl.NoLimits
Note: Will match scope definitions for vst.LiPl.NoLimits or vst.LiPl

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Gain	0	4194304	Value	ValueOutput
Saturation	0	4194304	Value	ValueOutput
SatStrength	0	4194304	Value	ValueOutput
rms	0	4194304	Value	ValueOutput
peak	0	4194304	Value	ValueOutput
GR	0	4194304	Value	ValueOutput
AutoGain	0	4194304	Value	ValueOutput
dither	0	4194304	Value	ValueOutput
RMSleft	0	4194304	Value	ValueOutput
RMSright	0	4194304	Value	ValueOutput
mode	0	4194304	Value	ValueOutput
wichtig	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Ceiling	0	4194304	Value	ValueOutput
Advanced	0	4194304	Value	ValueOutput
stereolink	0	4194304	Value	ValueOutput
LookAhead	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
