Scope
Manufacturer	Model
BommelDSP	vst.S2v3.Odin_64
Note: Will match scope definitions for vst.S2v3.Odin_64 or vst.S2v3

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
RootUnit.PresetsUnit.VOL	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Att	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Dec	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Sus	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Rel	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Fil	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Fil	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Vol	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Gai	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Pan	0	4194304	Value	ValueOutput
Attack Filter	0	4194304	Value	ValueOutput
Decay Filter	0	4194304	Value	ValueOutput
Sustain Filter	0	4194304	Value	ValueOutput
Release Filter	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Fil	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
Delay Feedback	0	4194304	Value	ValueOutput
Delay DryWet	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Del	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Del	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Cho	0	4194304	Value	ValueOutput
Chorus Amount	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Cho	0	4194304	Value	ValueOutput
Chorus Dry Wet	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Fil	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Fil	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Fil	0	4194304	Value	ValueOutput
Noise Shelving	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.TES	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
Osc3 Waveform	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Osc	0	4194304	Value	ValueOutput
Filter1 Type	0	4194304	Value	ValueOutput
Filter2 Type	0	4194304	Value	ValueOutput
Osc 1 Type Enum	0	4194304	Value	ValueOutput
Osc1WaveEnum	0	4194304	Value	ValueOutput
Osc2WaveEnum	0	4194304	Value	ValueOutput
Osc3WaveEnum	0	4194304	Value	ValueOutput
Filter 1 Type Enum	0	4194304	Value	ValueOutput
Filter 2 Type Enum	0	4194304	Value	ValueOutput
osc1fil1Enum	0	4194304	Value	ValueOutput
osc2fil1Enum	0	4194304	Value	ValueOutput
osc3fil1Enum	0	4194304	Value	ValueOutput
osc1fil2Enum	0	4194304	Value	ValueOutput
osc2fil2Enum	0	4194304	Value	ValueOutput
osc3fil2Enum	0	4194304	Value	ValueOutput
fil1fil2Enum	0	4194304	Value	ValueOutput
ChorusOnEnum	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Del	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.fil	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.fil	0	4194304	Value	ValueOutput
