Scope
Manufacturer	Model
Bram @ Smartelectronix	vst.Ping.OnePingOnly
Note: Will match scope definitions for vst.Ping.OnePingOnly or vst.Ping

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Freq1	0	4194304	Value	ValueOutput
Dur1	0	4194304	Value	ValueOutput
Amp1	0	4194304	Value	ValueOutput
Bal1	0	4194304	Value	ValueOutput
Noise1	0	4194304	Value	ValueOutput
Dist1	0	4194304	Value	ValueOutput
Freq2	0	4194304	Value	ValueOutput
Dur2	0	4194304	Value	ValueOutput
Amp2	0	4194304	Value	ValueOutput
Bal2	0	4194304	Value	ValueOutput
Noise2	0	4194304	Value	ValueOutput
Dist2	0	4194304	Value	ValueOutput
Freq3	0	4194304	Value	ValueOutput
Dur3	0	4194304	Value	ValueOutput
Amp3	0	4194304	Value	ValueOutput
Bal3	0	4194304	Value	ValueOutput
Noise3	0	4194304	Value	ValueOutput
Dist3	0	4194304	Value	ValueOutput
Freq4	0	4194304	Value	ValueOutput
Dur4	0	4194304	Value	ValueOutput
Amp4	0	4194304	Value	ValueOutput
Bal4	0	4194304	Value	ValueOutput
Noise4	0	4194304	Value	ValueOutput
Dist4	0	4194304	Value	ValueOutput
Freq5	0	4194304	Value	ValueOutput
Dur5	0	4194304	Value	ValueOutput
Amp5	0	4194304	Value	ValueOutput
Bal5	0	4194304	Value	ValueOutput
Noise5	0	4194304	Value	ValueOutput
Dist5	0	4194304	Value	ValueOutput
Freq6	0	4194304	Value	ValueOutput
Dur6	0	4194304	Value	ValueOutput
Amp6	0	4194304	Value	ValueOutput
Bal6	0	4194304	Value	ValueOutput
Noise6	0	4194304	Value	ValueOutput
Dist6	0	4194304	Value	ValueOutput
Freq7	0	4194304	Value	ValueOutput
Dur7	0	4194304	Value	ValueOutput
Amp7	0	4194304	Value	ValueOutput
Bal7	0	4194304	Value	ValueOutput
Noise7	0	4194304	Value	ValueOutput
Dist7	0	4194304	Value	ValueOutput
Freq8	0	4194304	Value	ValueOutput
Dur8	0	4194304	Value	ValueOutput
Amp8	0	4194304	Value	ValueOutput
Bal8	0	4194304	Value	ValueOutput
Noise8	0	4194304	Value	ValueOutput
Dist8	0	4194304	Value	ValueOutput
Freq9	0	4194304	Value	ValueOutput
Dur9	0	4194304	Value	ValueOutput
Amp9	0	4194304	Value	ValueOutput
Bal9	0	4194304	Value	ValueOutput
Noise9	0	4194304	Value	ValueOutput
Dist9	0	4194304	Value	ValueOutput
Freq10	0	4194304	Value	ValueOutput
Dur10	0	4194304	Value	ValueOutput
Amp10	0	4194304	Value	ValueOutput
Bal10	0	4194304	Value	ValueOutput
Noise10	0	4194304	Value	ValueOutput
Dist10	0	4194304	Value	ValueOutput
Freq11	0	4194304	Value	ValueOutput
Dur11	0	4194304	Value	ValueOutput
Amp11	0	4194304	Value	ValueOutput
Bal11	0	4194304	Value	ValueOutput
Noise11	0	4194304	Value	ValueOutput
Dist11	0	4194304	Value	ValueOutput
Freq12	0	4194304	Value	ValueOutput
Dur12	0	4194304	Value	ValueOutput
Amp12	0	4194304	Value	ValueOutput
Bal12	0	4194304	Value	ValueOutput
Noise12	0	4194304	Value	ValueOutput
Dist12	0	4194304	Value	ValueOutput
Freq13	0	4194304	Value	ValueOutput
Dur13	0	4194304	Value	ValueOutput
Amp13	0	4194304	Value	ValueOutput
Bal13	0	4194304	Value	ValueOutput
Noise13	0	4194304	Value	ValueOutput
Dist13	0	4194304	Value	ValueOutput
Freq14	0	4194304	Value	ValueOutput
Dur14	0	4194304	Value	ValueOutput
Amp14	0	4194304	Value	ValueOutput
Bal14	0	4194304	Value	ValueOutput
Noise14	0	4194304	Value	ValueOutput
Dist14	0	4194304	Value	ValueOutput
Freq15	0	4194304	Value	ValueOutput
Dur15	0	4194304	Value	ValueOutput
Amp15	0	4194304	Value	ValueOutput
Bal15	0	4194304	Value	ValueOutput
Noise15	0	4194304	Value	ValueOutput
Dist15	0	4194304	Value	ValueOutput
Freq16	0	4194304	Value	ValueOutput
Dur16	0	4194304	Value	ValueOutput
Amp16	0	4194304	Value	ValueOutput
Bal16	0	4194304	Value	ValueOutput
Noise16	0	4194304	Value	ValueOutput
