Scope
Manufacturer	Model
Waldorf	vst.2901.PPG Wave 3_V
Note: Will match scope definitions for vst.2901.PPG Wave 3_V or vst.2901

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
MODWHEEL	0	4194304	Value	ValueOutput
BASIS	0	4194304	Value	ValueOutput
LFO DELAY	0	4194304	Value	ValueOutput
LFO WAVESHAPE	0	4194304	Value	ValueOutput
LFO RATE	0	4194304	Value	ValueOutput
ENV3 ATTACK	0	4194304	Value	ValueOutput
ENV3 DECAY	0	4194304	Value	ValueOutput
ENV3 ATT	0	4194304	Value	ValueOutput
ENV1 ATTACK	0	4194304	Value	ValueOutput
ENV1 DECAY	0	4194304	Value	ValueOutput
ENV1 SUSTAIN	0	4194304	Value	ValueOutput
ENV1 RELEASE	0	4194304	Value	ValueOutput
ENV2 ATTACK	0	4194304	Value	ValueOutput
ENV2 DECAY	0	4194304	Value	ValueOutput
ENV2 SUSTAIN	0	4194304	Value	ValueOutput
ENV2 RELEASE	0	4194304	Value	ValueOutput
CUTOFF	0	4194304	Value	ValueOutput
EMPHASIS	0	4194304	Value	ValueOutput
WAVES-OSC	0	4194304	Value	ValueOutput
WAVES-SUB	0	4194304	Value	ValueOutput
ENV1>VCF	0	4194304	Value	ValueOutput
ENV2>VCA	0	4194304	Value	ValueOutput
ENV1>WAVES	0	4194304	Value	ValueOutput
LFO SYNC	0	4194304	Value	ValueOutput
TRUE PPG	0	4194304	Value	ValueOutput
WAVETABLE BANK	0	4194304	Value	ValueOutput
WAVETABLE	0	4194304	Value	ValueOutput
UPPER WAVES	0	4194304	Value	ValueOutput
SUB-WAVES	0	4194304	Value	ValueOutput
KEYB MODE	0	4194304	Value	ValueOutput
ARP ACTIVE	0	4194304	Value	ValueOutput
ARP MODE	0	4194304	Value	ValueOutput
ARP RATE	0	4194304	Value	ValueOutput
DETUNE	0	4194304	Value	ValueOutput
MOD>OSC	0	4194304	Value	ValueOutput
MOD>SUB	0	4194304	Value	ValueOutput
ENV3>OSC	0	4194304	Value	ValueOutput
ENV3>SUB	0	4194304	Value	ValueOutput
SEMITONE 1	0	4194304	Value	ValueOutput
SEMITONE 2	0	4194304	Value	ValueOutput
SEMITONE 3	0	4194304	Value	ValueOutput
SEMITONE 4	0	4194304	Value	ValueOutput
SEMITONE 5	0	4194304	Value	ValueOutput
SEMITONE 6	0	4194304	Value	ValueOutput
SEMITONE 7	0	4194304	Value	ValueOutput
SEMITONE 8	0	4194304	Value	ValueOutput
KEY>WAVES	0	4194304	Value	ValueOutput
KEY>FILTER	0	4194304	Value	ValueOutput
KEY>LOUDNESS	0	4194304	Value	ValueOutput
VEL>FILTER	0	4194304	Value	ValueOutput
VEL>LOUDNESS	0	4194304	Value	ValueOutput
MOD>WAVES	0	4194304	Value	ValueOutput
MOD>FILTER	0	4194304	Value	ValueOutput
LFO>LOUDNESS	0	4194304	Value	ValueOutput
TOUCH>WAVES	0	4194304	Value	ValueOutput
TOUCH>FILTER	0	4194304	Value	ValueOutput
TOUCH>LOUDNESS	0	4194304	Value	ValueOutput
TOUCH>MOD	0	4194304	Value	ValueOutput
BEND>FILTER	0	4194304	Value	ValueOutput
BEND>WAVES	0	4194304	Value	ValueOutput
ARP RANGE	0	4194304	Value	ValueOutput
SEMITONE>KEY	0	4194304	Value	ValueOutput
SLOPE	0	4194304	Value	ValueOutput
DRIVE	0	4194304	Value	ValueOutput
DRIVE TYPE	0	4194304	Value	ValueOutput
PPG WAVE MODE	0	4194304	Value	ValueOutput
FINE MOD	0	4194304	Value	ValueOutput
VEL>WAVES	0	4194304	Value	ValueOutput
BEND>OSC	0	4194304	Value	ValueOutput
BEND>SUB	0	4194304	Value	ValueOutput
BEND>LOUDNESS	0	4194304	Value	ValueOutput
MOD>LOUDNESS	0	4194304	Value	ValueOutput
LFO>OSC	0	4194304	Value	ValueOutput
LFO>SUB	0	4194304	Value	ValueOutput
LFO>WAVES	0	4194304	Value	ValueOutput
LFO>FILTER	0	4194304	Value	ValueOutput
WHEEL>WAVES	0	4194304	Value	ValueOutput
WHEEL>FILTER	0	4194304	Value	ValueOutput
TRANSIENT	0	4194304	Value	ValueOutput
