Scope
Manufacturer	Model
PSPaudioware.com	vst.PPMS.PSP MixSaturator2 x64
Note: Will match scope definitions for vst.PPMS.PSP MixSaturator2 x64 or vst.PPMS

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
process	0	4194304	Value	ValueOutput
input	0	4194304	Value	ValueOutput
mix	0	4194304	Value	ValueOutput
output	0	4194304	Value	ValueOutput
saturation	0	4194304	Value	ValueOutput
shape	0	4194304	Value	ValueOutput
lowOn	0	4194304	Value	ValueOutput
lowFreq	0	4194304	Value	ValueOutput
lowWarmth	0	4194304	Value	ValueOutput
lowLevel	0	4194304	Value	ValueOutput
highOn	0	4194304	Value	ValueOutput
highFreq	0	4194304	Value	ValueOutput
highSoftness	0	4194304	Value	ValueOutput
highLevel	0	4194304	Value	ValueOutput
outSaturation	0	4194304	Value	ValueOutput
pre/post	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
