Scope
Manufacturer	Model
Pitchblende	nz.co.pitchblende.AutoTheory

Remotable	Min	Max	Input type	Output type
Scale	0	6	Value	ValueOutput
Key	0	11	Value	ValueOutput
Melody Enable	0	1	Toggle	ValueOutput
Melody Inversions	0	1	Toggle	ValueOutput
Melody Mapping	0	3	Value	ValueOutput
Melody Source	0	2	Value	ValueOutput
Fixed Chord 1	0	6	Value	ValueOutput
Fixed Chord 2	0	6	Value	ValueOutput
Melody Output Octave 1	0	9	Value	ValueOutput
Melody Output Octave 2	0	9	Value	ValueOutput
Melody Output Octave 3	0	9	Value	ValueOutput
Melody Output Octave 4	0	9	Value	ValueOutput
Melody Output Velocity 1	0	4194304	Value	ValueOutput
Melody Output Velocity 2	0	4194304	Value	ValueOutput
Melody Output Velocity 3	0	4194304	Value	ValueOutput
Melody Output Velocity 4	0	4194304	Value	ValueOutput
Chord 2 Transpose	0	3	Value	ValueOutput
Chord 3 Transpose	0	3	Value	ValueOutput
Chord 4 Transpose	0	3	Value	ValueOutput
Chord 5 Transpose	0	3	Value	ValueOutput
Chord 6 Transpose	0	3	Value	ValueOutput
Chord 7 Transpose	0	3	Value	ValueOutput
Chord 1 Degree 3 Accidental	0	3	Value	ValueOutput
Chord 1 Degree 5 Accidental	0	3	Value	ValueOutput
Chord 1 Degree 7 Accidental	0	3	Value	ValueOutput
Chord 1 Degree 9 Accidental	0	3	Value	ValueOutput
Chord 1 Degree 11 Accidental	0	3	Value	ValueOutput
Chord 1 Degree 13 Accidental	0	3	Value	ValueOutput
Chord 2 Degree 3 Accidental	0	3	Value	ValueOutput
Chord 2 Degree 5 Accidental	0	3	Value	ValueOutput
Chord 2 Degree 7 Accidental	0	3	Value	ValueOutput
Chord 2 Degree 9 Accidental	0	3	Value	ValueOutput
Chord 2 Degree 11 Accidental	0	3	Value	ValueOutput
Chord 2 Degree 13 Accidental	0	3	Value	ValueOutput
Chord 3 Degree 3 Accidental	0	3	Value	ValueOutput
Chord 3 Degree 5 Accidental	0	3	Value	ValueOutput
Chord 3 Degree 7 Accidental	0	3	Value	ValueOutput
Chord 3 Degree 9 Accidental	0	3	Value	ValueOutput
Chord 3 Degree 11 Accidental	0	3	Value	ValueOutput
Chord 3 Degree 13 Accidental	0	3	Value	ValueOutput
Chord 4 Degree 3 Accidental	0	3	Value	ValueOutput
Chord 4 Degree 5 Accidental	0	3	Value	ValueOutput
Chord 4 Degree 7 Accidental	0	3	Value	ValueOutput
Chord 4 Degree 9 Accidental	0	3	Value	ValueOutput
Chord 4 Degree 11 Accidental	0	3	Value	ValueOutput
Chord 4 Degree 13 Accidental	0	3	Value	ValueOutput
Chord 5 Degree 3 Accidental	0	3	Value	ValueOutput
Chord 5 Degree 5 Accidental	0	3	Value	ValueOutput
Chord 5 Degree 7 Accidental	0	3	Value	ValueOutput
Chord 5 Degree 9 Accidental	0	3	Value	ValueOutput
Chord 5 Degree 11 Accidental	0	3	Value	ValueOutput
Chord 5 Degree 13 Accidental	0	3	Value	ValueOutput
Chord 6 Degree 3 Accidental	0	3	Value	ValueOutput
Chord 6 Degree 5 Accidental	0	3	Value	ValueOutput
Chord 6 Degree 7 Accidental	0	3	Value	ValueOutput
Chord 6 Degree 9 Accidental	0	3	Value	ValueOutput
Chord 6 Degree 11 Accidental	0	3	Value	ValueOutput
Chord 6 Degree 13 Accidental	0	3	Value	ValueOutput
Chord 7 Degree 3 Accidental	0	3	Value	ValueOutput
Chord 7 Degree 5 Accidental	0	3	Value	ValueOutput
Chord 7 Degree 7 Accidental	0	3	Value	ValueOutput
Chord 7 Degree 9 Accidental	0	3	Value	ValueOutput
Chord 7 Degree 11 Accidental	0	3	Value	ValueOutput
Chord 7 Degree 13 Accidental	0	3	Value	ValueOutput
Chord 1 Degree 1 Octave	0	3	Value	ValueOutput
Chord 1 Degree 3 Octave	0	3	Value	ValueOutput
Chord 1 Degree 5 Octave	0	3	Value	ValueOutput
Chord 1 Degree 7 Octave	0	3	Value	ValueOutput
