Scope
Manufacturer	Model
SoundToys	vst.StPt.PrimalTap
Note: Will match scope definitions for vst.StPt.PrimalTap or vst.StPt

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
AB_Link	0	4194304	Value	ValueOutput
Sync_Mode_A	0	4194304	Value	ValueOutput
Sync_Mode_B	0	4194304	Value	ValueOutput
Time_A	0	4194304	Value	ValueOutput
Beats_A	0	4194304	Value	ValueOutput
Time_B	0	4194304	Value	ValueOutput
Beats_B	0	4194304	Value	ValueOutput
Delay_Adjust	0	4194304	Value	ValueOutput
Multiply	0	4194304	Value	ValueOutput
Input_Gain	0	4194304	Value	ValueOutput
Algorithm	0	4194304	Value	ValueOutput
Feedback_A	0	4194304	Value	ValueOutput
Feedback_B	0	4194304	Value	ValueOutput
Output_Gain_A	0	4194304	Value	ValueOutput
Output_Gain_B	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
VCO_Depth	0	4194304	Value	ValueOutput
VCO_Rate	0	4194304	Value	ValueOutput
Freeze	0	4194304	Value	ValueOutput
Rolloff_Mode	0	4194304	Value	ValueOutput
High_Cut	0	4194304	Value	ValueOutput
Low_Cut	0	4194304	Value	ValueOutput
Output_Pan_A	0	4194304	Value	ValueOutput
Output_Pan_B	0	4194304	Value	ValueOutput
Output_Polarity_A	0	4194304	Value	ValueOutput
Output_Polarity_B	0	4194304	Value	ValueOutput
VCO_Depth_A	0	4194304	Value	ValueOutput
VCO_Depth_B	0	4194304	Value	ValueOutput
VCO_Polarity_A	0	4194304	Value	ValueOutput
VCO_Polarity_B	0	4194304	Value	ValueOutput
VCO_Shape	0	4194304	Value	ValueOutput
Tempo	0	4194304	Value	ValueOutput
BeatSync	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
