Scope
Manufacturer	Model
Propellerheads	Reason Master Section

Remotable	Min	Max	Input type	Output type
Inserts Pre	0	1	Toggle	ValueOutput
Rotary 1	0	127	Value	ValueOutput
Rotary 2	0	127	Value	ValueOutput
Rotary 3	0	127	Value	ValueOutput
Rotary 4	0	127	Value	ValueOutput
Button 1	0	1	Toggle	ValueOutput
Button 2	0	1	Toggle	ValueOutput
Button 3	0	1	Toggle	ValueOutput
Button 4	0	1	Toggle	ValueOutput
To Insert FX Peak Meter	0	20	-	ValueOutput
From Insert FX Peak Meter	0	20	-	ValueOutput
Threshold	0	127	Value	ValueOutput
Ratio	0	2	Value	ValueOutput
Attack	0	5	Value	ValueOutput
Release	0	4	Value	ValueOutput
Make-Up Gain	0	127	Value	ValueOutput
Compressor On	0	1	Toggle	ValueOutput
Key On	0	1	Toggle	ValueOutput
Gain Reduction	0	20	-	ValueOutput
FX1 Send Level Meter	0	20	-	ValueOutput
FX1 Send Level	0	127	Value	ValueOutput
FX1 Return Level Meter	0	20	-	ValueOutput
FX1 Return Level	0	127	Value	ValueOutput
FX1 Mute	0	1	Toggle	ValueOutput
FX2 Send Level Meter	0	20	-	ValueOutput
FX2 Send Level	0	127	Value	ValueOutput
FX2 Return Level Meter	0	20	-	ValueOutput
FX2 Return Level	0	127	Value	ValueOutput
FX2 Mute	0	1	Toggle	ValueOutput
FX3 Send Level Meter	0	20	-	ValueOutput
FX3 Send Level	0	127	Value	ValueOutput
FX3 Return Level Meter	0	20	-	ValueOutput
FX3 Return Level	0	127	Value	ValueOutput
FX3 Mute	0	1	Toggle	ValueOutput
FX4 Send Level Meter	0	20	-	ValueOutput
FX4 Send Level	0	127	Value	ValueOutput
FX4 Return Level Meter	0	20	-	ValueOutput
FX4 Return Level	0	127	Value	ValueOutput
FX4 Mute	0	1	Toggle	ValueOutput
FX5 Send Level Meter	0	20	-	ValueOutput
FX5 Send Level	0	127	Value	ValueOutput
FX5 Return Level Meter	0	20	-	ValueOutput
FX5 Return Level	0	127	Value	ValueOutput
FX5 Mute	0	1	Toggle	ValueOutput
FX6 Send Level Meter	0	20	-	ValueOutput
FX6 Send Level	0	127	Value	ValueOutput
FX6 Return Level Meter	0	20	-	ValueOutput
FX6 Return Level	0	127	Value	ValueOutput
FX6 Mute	0	1	Toggle	ValueOutput
FX7 Send Level Meter	0	20	-	ValueOutput
FX7 Send Level	0	127	Value	ValueOutput
FX7 Return Level Meter	0	20	-	ValueOutput
FX7 Return Level	0	127	Value	ValueOutput
FX7 Mute	0	1	Toggle	ValueOutput
FX8 Send Level Meter	0	20	-	ValueOutput
FX8 Send Level	0	127	Value	ValueOutput
FX8 Return Level Meter	0	20	-	ValueOutput
FX8 Return Level	0	127	Value	ValueOutput
FX8 Mute	0	1	Toggle	ValueOutput
Dim -20dB	0	1	Toggle	ValueOutput
Master Level Meter Left	0	32	-	ValueOutput
Master Level Meter Right	0	32	-	ValueOutput
Master Level Left Peak	0	32	-	ValueOutput
Master Level Right Peak	0	32	-	ValueOutput
Clip Indicator Left	0	1	-	ValueOutput
Clip Indicator Right	0	1	-	ValueOutput
Ctrl Room Source	0	2	Value	ValueOutput
Ctrl Room FX Select	0	7	Value	ValueOutput
Ctrl Room Level	0	127	Value	ValueOutput
Bypass Insert FX	0	1	Toggle	ValueOutput
FX1 Pan	-100	100	Value	ValueOutput
FX2 Pan	-100	100	Value	ValueOutput
FX3 Pan	-100	100	Value	ValueOutput
FX4 Pan	-100	100	Value	ValueOutput
FX5 Pan	-100	100	Value	ValueOutput
FX6 Pan	-100	100	Value	ValueOutput
FX7 Pan	-100	100	Value	ValueOutput
FX8 Pan	-100	100	Value	ValueOutput
Master Level	0	1000	Value	ValueOutput
Inserts Connected	0	1	-	ValueOutput
All Mutes Off	0	1	Trig	ValueOutput
All Solo Off	0	1	Trig	ValueOutput
Reset Clip	0	1	Trig	ValueOutput
Insert FX Patch Name	0	0	-	TextOutput
Select Insert FX Patch Delta	0	0	Delta	TextOutput
Select Prev Insert FX Patch	0	0	Trig	TextOutput
Select Next Insert FX Patch	0	0	Trig	TextOutput
FX1 Name	0	0	-	TextOutput
FX2 Name	0	0	-	TextOutput
FX3 Name	0	0	-	TextOutput
FX4 Name	0	0	-	TextOutput
FX5 Name	0	0	-	TextOutput
FX6 Name	0	0	-	TextOutput
FX7 Name	0	0	-	TextOutput
FX8 Name	0	0	-	TextOutput
Remote Base Channel	1	128	Value	ValueOutput
Remote Base Channel Delta	0	0	Delta	TextOutput
Next Remote Base Channel	0	1	Trig	TextOutput
Previous Remote Base Channel	0	1	Trig	TextOutput
Next 8 Remote Base Channel	0	1	Trig	TextOutput
Previous 8 Remote Base Channel	0	1	Trig	TextOutput
Channel 1 Width	0	127	Value	ValueOutput
Channel 1 Mute	0	1	Toggle	ValueOutput
Channel 1 Solo	0	1	Toggle	ValueOutput
Channel 1 Input Gain	-64	63	Value	ValueOutput
Channel 1 Invert Phase	0	1	Toggle	ValueOutput
Channel 1 Insert Pre	0	1	Toggle	ValueOutput
Channel 1 Dyn Post EQ	0	1	Toggle	ValueOutput
Channel 1 LPF On	0	1	Toggle	ValueOutput
Channel 1 HPF On	0	1	Toggle	ValueOutput
Channel 1 Filters Dyn S/C	0	1	Toggle	ValueOutput
Channel 1 EQ On	0	1	Toggle	ValueOutput
Channel 1 EQ E Mode	0	1	Toggle	ValueOutput
