Scope
Manufacturer	Model
Exponential Audio	vst.MCs2.R2 x64
Note: Will match scope definitions for vst.MCs2.R2 x64 or vst.MCs2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Mix	0	4194304	Value	ValueOutput
Diffusion	0	4194304	Value	ValueOutput
Reverb Type	0	4194304	Value	ValueOutput
Diffuser Size	0	4194304	Value	ValueOutput
Predelay	0	4194304	Value	ValueOutput
Early Attack	0	4194304	Value	ValueOutput
Early Time	0	4194304	Value	ValueOutput
Early Slope	0	4194304	Value	ValueOutput
Envelope Attack	0	4194304	Value	ValueOutput
Envelope Time	0	4194304	Value	ValueOutput
Envelope Slope	0	4194304	Value	ValueOutput
Reverb Size	0	4194304	Value	ValueOutput
Reverb Time	0	4194304	Value	ValueOutput
Xover Frequency	0	4194304	Value	ValueOutput
Low-Mid Balance	0	4194304	Value	ValueOutput
Damp Frequency	0	4194304	Value	ValueOutput
Damping Factor	0	4194304	Value	ValueOutput
Chorus Type	0	4194304	Value	ValueOutput
Chorus Rate	0	4194304	Value	ValueOutput
Chorus Depth	0	4194304	Value	ValueOutput
Early Filter Ty	0	4194304	Value	ValueOutput
Early Filt Freq	0	4194304	Value	ValueOutput
Early Level	0	4194304	Value	ValueOutput
Output Filter T	0	4194304	Value	ValueOutput
Rvb Filt Freq	0	4194304	Value	ValueOutput
Gate Threshold	0	4194304	Value	ValueOutput
Gate Recovery	0	4194304	Value	ValueOutput
Gate Clamp	0	4194304	Value	ValueOutput
Gate Hold	0	4194304	Value	ValueOutput
Width	0	4194304	Value	ValueOutput
Reverb Level	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
