Scope
Manufacturer	Model
Nomad Factory	vst.GAmp.ROCK AMP LEGENDS x64
Note: Will match scope definitions for vst.GAmp.ROCK AMP LEGENDS x64 or vst.GAmp

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Power	0	4194304	Value	ValueOutput
Bank A/B	0	4194304	Value	ValueOutput
Input HiLow	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Presence	0	4194304	Value	ValueOutput
Treble	0	4194304	Value	ValueOutput
Middle	0	4194304	Value	ValueOutput
Bass	0	4194304	Value	ValueOutput
Reverb	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Amplifier	0	4194304	Value	ValueOutput
Tremolo Bypass	0	4194304	Value	ValueOutput
Center-Pan	0	4194304	Value	ValueOutput
Tremolo Speed	0	4194304	Value	ValueOutput
Tremolo Depth	0	4194304	Value	ValueOutput
Chorus Bypass	0	4194304	Value	ValueOutput
Chorus/Phaser	0	4194304	Value	ValueOutput
Chorus Speed	0	4194304	Value	ValueOutput
Chorus Depth	0	4194304	Value	ValueOutput
Chorus Mix	0	4194304	Value	ValueOutput
Delay Bypass	0	4194304	Value	ValueOutput
Delay Speed	0	4194304	Value	ValueOutput
Delay Sustain	0	4194304	Value	ValueOutput
Delay Width	0	4194304	Value	ValueOutput
Delay Mix	0	4194304	Value	ValueOutput
Comp Bypass	0	4194304	Value	ValueOutput
PrePost Comp	0	4194304	Value	ValueOutput
Comp Attack	0	4194304	Value	ValueOutput
Comp Release	0	4194304	Value	ValueOutput
Comp Threshold	0	4194304	Value	ValueOutput
Comp Ratio	0	4194304	Value	ValueOutput
Makeup Gain	0	4194304	Value	ValueOutput
Gate Bypass	0	4194304	Value	ValueOutput
PrePost Gate	0	4194304	Value	ValueOutput
Gate Attack	0	4194304	Value	ValueOutput
Gate Release	0	4194304	Value	ValueOutput
Gate Threshold	0	4194304	Value	ValueOutput
Gate Hold	0	4194304	Value	ValueOutput
Gate Range	0	4194304	Value	ValueOutput
Space Bypass	0	4194304	Value	ValueOutput
Space Width	0	4194304	Value	ValueOutput
PEQ Bypass	0	4194304	Value	ValueOutput
Low Gain	0	4194304	Value	ValueOutput
Low Freq	0	4194304	Value	ValueOutput
Low Band	0	4194304	Value	ValueOutput
Mid Gain	0	4194304	Value	ValueOutput
Mid Freq	0	4194304	Value	ValueOutput
Mid Band	0	4194304	Value	ValueOutput
Hi Gain	0	4194304	Value	ValueOutput
Hi Freq	0	4194304	Value	ValueOutput
Hi Band	0	4194304	Value	ValueOutput
EQ Gain	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
