Scope
Manufacturer	Model
Waves	vst.RRFX.WaveShell-VST 9_91_x64.RVerb Mono/Stereo
Note: Will match scope definitions for vst.RRFX.WaveShell-VST 9_91_x64.RVerb Mono/Stereo or vst.RRFX

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Predelay	0	4194304	Value	ValueOutput
Time	0	4194304	Value	ValueOutput
Size	0	4194304	Value	ValueOutput
Diffusion	0	4194304	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Early Ref.	0	4194304	Value	ValueOutput
Reverb Mix	0	4194304	Value	ValueOutput
Wet-Dry	0	4194304	Value	ValueOutput
Gain	0	4194304	Value	ValueOutput
Dmp Low-F Ratio	0	4194304	Value	ValueOutput
Dmp Hi-F Ratio	0	4194304	Value	ValueOutput
Dmp Low-F Freq	0	4194304	Value	ValueOutput
Dmp Hi-F Freq	0	4194304	Value	ValueOutput
EQ Low-F Gain	0	4194304	Value	ValueOutput
EQ Hi-F Gain	0	4194304	Value	ValueOutput
EQ Low-F Freq	0	4194304	Value	ValueOutput
EQ Hi-F Freq	0	4194304	Value	ValueOutput
Decorrelation	0	4194304	Value	ValueOutput
Reverb Type	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
