Scope
Manufacturer	Model
iZotope, Inc.	vst.Zn6P.RX 6 De-clip x64
Note: Will match scope definitions for vst.Zn6P.RX 6 De-clip x64 or vst.Zn6P

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Clipping threshold	0	4194304	Value	ValueOutput
Makeup gain	0	4194304	Value	ValueOutput
Quality	0	4194304	Value	ValueOutput
Post-limiter	0	4194304	Value	ValueOutput
Input Gain	0	4194304	Value	ValueOutput
Output Gain	0	4194304	Value	ValueOutput
Global bypass	0	4194304	Value	ValueOutput
Positive threshold	0	4194304	Value	ValueOutput
Negative threshold	0	4194304	Value	ValueOutput
Enable Asymmetric	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
