Scope
Manufacturer	Model
Native Instruments GmbH	vst.NR6j.Reaktor 6 FX
Note: Will match scope definitions for vst.NR6j.Reaktor 6 FX or vst.NR6j

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
P0001	0	4194304	Value	ValueOutput
P0002	0	4194304	Value	ValueOutput
P0003	0	4194304	Value	ValueOutput
P0004	0	4194304	Value	ValueOutput
P0005	0	4194304	Value	ValueOutput
P0006	0	4194304	Value	ValueOutput
P0007	0	4194304	Value	ValueOutput
P0008	0	4194304	Value	ValueOutput
P0009	0	4194304	Value	ValueOutput
P0010	0	4194304	Value	ValueOutput
P0011	0	4194304	Value	ValueOutput
P0012	0	4194304	Value	ValueOutput
P0013	0	4194304	Value	ValueOutput
P0014	0	4194304	Value	ValueOutput
P0015	0	4194304	Value	ValueOutput
P0016	0	4194304	Value	ValueOutput
P0017	0	4194304	Value	ValueOutput
P0018	0	4194304	Value	ValueOutput
P0019	0	4194304	Value	ValueOutput
P0020	0	4194304	Value	ValueOutput
P0021	0	4194304	Value	ValueOutput
P0022	0	4194304	Value	ValueOutput
P0023	0	4194304	Value	ValueOutput
P0024	0	4194304	Value	ValueOutput
P0025	0	4194304	Value	ValueOutput
P0026	0	4194304	Value	ValueOutput
P0027	0	4194304	Value	ValueOutput
P0028	0	4194304	Value	ValueOutput
P0029	0	4194304	Value	ValueOutput
P0030	0	4194304	Value	ValueOutput
P0031	0	4194304	Value	ValueOutput
P0032	0	4194304	Value	ValueOutput
P0033	0	4194304	Value	ValueOutput
P0034	0	4194304	Value	ValueOutput
P0035	0	4194304	Value	ValueOutput
P0036	0	4194304	Value	ValueOutput
P0037	0	4194304	Value	ValueOutput
P0038	0	4194304	Value	ValueOutput
P0039	0	4194304	Value	ValueOutput
P0040	0	4194304	Value	ValueOutput
P0041	0	4194304	Value	ValueOutput
P0042	0	4194304	Value	ValueOutput
P0043	0	4194304	Value	ValueOutput
P0044	0	4194304	Value	ValueOutput
P0045	0	4194304	Value	ValueOutput
P0046	0	4194304	Value	ValueOutput
P0047	0	4194304	Value	ValueOutput
P0048	0	4194304	Value	ValueOutput
P0049	0	4194304	Value	ValueOutput
P0050	0	4194304	Value	ValueOutput
P0051	0	4194304	Value	ValueOutput
P0052	0	4194304	Value	ValueOutput
P0053	0	4194304	Value	ValueOutput
P0054	0	4194304	Value	ValueOutput
P0055	0	4194304	Value	ValueOutput
P0056	0	4194304	Value	ValueOutput
P0057	0	4194304	Value	ValueOutput
P0058	0	4194304	Value	ValueOutput
P0059	0	4194304	Value	ValueOutput
P0060	0	4194304	Value	ValueOutput
P0061	0	4194304	Value	ValueOutput
P0062	0	4194304	Value	ValueOutput
P0063	0	4194304	Value	ValueOutput
P0064	0	4194304	Value	ValueOutput
P0065	0	4194304	Value	ValueOutput
P0066	0	4194304	Value	ValueOutput
P0067	0	4194304	Value	ValueOutput
P0068	0	4194304	Value	ValueOutput
P0069	0	4194304	Value	ValueOutput
P0070	0	4194304	Value	ValueOutput
P0071	0	4194304	Value	ValueOutput
P0072	0	4194304	Value	ValueOutput
P0073	0	4194304	Value	ValueOutput
P0074	0	4194304	Value	ValueOutput
P0075	0	4194304	Value	ValueOutput
P0076	0	4194304	Value	ValueOutput
P0077	0	4194304	Value	ValueOutput
P0078	0	4194304	Value	ValueOutput
P0079	0	4194304	Value	ValueOutput
P0080	0	4194304	Value	ValueOutput
P0081	0	4194304	Value	ValueOutput
P0082	0	4194304	Value	ValueOutput
P0083	0	4194304	Value	ValueOutput
P0084	0	4194304	Value	ValueOutput
P0085	0	4194304	Value	ValueOutput
P0086	0	4194304	Value	ValueOutput
P0087	0	4194304	Value	ValueOutput
P0088	0	4194304	Value	ValueOutput
P0089	0	4194304	Value	ValueOutput
P0090	0	4194304	Value	ValueOutput
P0091	0	4194304	Value	ValueOutput
P0092	0	4194304	Value	ValueOutput
P0093	0	4194304	Value	ValueOutput
P0094	0	4194304	Value	ValueOutput
P0095	0	4194304	Value	ValueOutput
P0096	0	4194304	Value	ValueOutput
P0097	0	4194304	Value	ValueOutput
P0098	0	4194304	Value	ValueOutput
P0099	0	4194304	Value	ValueOutput
