Scope
Manufacturer	Model
Focusrite	vst.rd2E.Red 2 EQ
Note: Will match scope definitions for vst.rd2E.Red 2 EQ or vst.rd2E

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
HiPassFreq	0	4194304	Value	ValueOutput
LowShelfFreq	0	4194304	Value	ValueOutput
LowShelfGain	0	4194304	Value	ValueOutput
LowMidFreq	0	4194304	Value	ValueOutput
LowMidGain	0	4194304	Value	ValueOutput
LowMidQ	0	4194304	Value	ValueOutput
HiMidFreq	0	4194304	Value	ValueOutput
HiMidGain	0	4194304	Value	ValueOutput
HiMidQ	0	4194304	Value	ValueOutput
HiShelfFreq	0	4194304	Value	ValueOutput
HiShelfGain	0	4194304	Value	ValueOutput
LowPassFreq	0	4194304	Value	ValueOutput
Gain	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
