Scope
Manufacturer	Model
UVI	vst.Rela.Relayerx64
Note: Will match scope definitions for vst.Rela.Relayerx64 or vst.Rela

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
SyncToHost	0	4194304	Value	ValueOutput
Dry	0	4194304	Value	ValueOutput
Wet	0	4194304	Value	ValueOutput
SoloWet	0	4194304	Value	ValueOutput
Input Gate Enab____	0	4194304	Value	ValueOutput
Input Gate	0	4194304	Value	ValueOutput
Repeats	0	4194304	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
Mod Enabled	0	4194304	Value	ValueOutput
Mod Depth	0	4194304	Value	ValueOutput
Mod Rate	0	4194304	Value	ValueOutput
Master Filters ____	0	4194304	Value	ValueOutput
Master Lp	0	4194304	Value	ValueOutput
Master Hp	0	4194304	Value	ValueOutput
Color Enabled	0	4194304	Value	ValueOutput
Color Mix	0	4194304	Value	ValueOutput
Feedback Lp	0	4194304	Value	ValueOutput
Feedback Hp	0	4194304	Value	ValueOutput
Feedback Drive	0	4194304	Value	ValueOutput
Feedback Drive ____	0	4194304	Value	ValueOutput
Feedback Tap	0	4194304	Value	ValueOutput
Time Div	0	4194304	Value	ValueOutput
Time Enabled	0	4194304	Value	ValueOutput
Time 1	0	4194304	Value	ValueOutput
Time 2	0	4194304	Value	ValueOutput
Time 3	0	4194304	Value	ValueOutput
Time 4	0	4194304	Value	ValueOutput
Time 5	0	4194304	Value	ValueOutput
Time 6	0	4194304	Value	ValueOutput
Time 7	0	4194304	Value	ValueOutput
Time 8	0	4194304	Value	ValueOutput
Time 9	0	4194304	Value	ValueOutput
Time 10	0	4194304	Value	ValueOutput
Time 11	0	4194304	Value	ValueOutput
Time 12	0	4194304	Value	ValueOutput
Time 13	0	4194304	Value	ValueOutput
Time 14	0	4194304	Value	ValueOutput
Time 15	0	4194304	Value	ValueOutput
Time 16	0	4194304	Value	ValueOutput
Time 17	0	4194304	Value	ValueOutput
Time 18	0	4194304	Value	ValueOutput
Time 19	0	4194304	Value	ValueOutput
Time 20	0	4194304	Value	ValueOutput
Time 21	0	4194304	Value	ValueOutput
Time 22	0	4194304	Value	ValueOutput
Time 23	0	4194304	Value	ValueOutput
Time 24	0	4194304	Value	ValueOutput
Time 25	0	4194304	Value	ValueOutput
Time 26	0	4194304	Value	ValueOutput
Time 27	0	4194304	Value	ValueOutput
Time 28	0	4194304	Value	ValueOutput
Time 29	0	4194304	Value	ValueOutput
Time 30	0	4194304	Value	ValueOutput
Time 31	0	4194304	Value	ValueOutput
Time 32	0	4194304	Value	ValueOutput
Time Loop Start____	0	4194304	Value	ValueOutput
Time Loop End	0	4194304	Value	ValueOutput
Time Swing	0	4194304	Value	ValueOutput
Time Swing Scal____	0	4194304	Value	ValueOutput
Time Warp	0	4194304	Value	ValueOutput
Gain Enabled	0	4194304	Value	ValueOutput
Gain 1	0	4194304	Value	ValueOutput
Gain 2	0	4194304	Value	ValueOutput
Gain 3	0	4194304	Value	ValueOutput
Gain 4	0	4194304	Value	ValueOutput
Gain 5	0	4194304	Value	ValueOutput
Gain 6	0	4194304	Value	ValueOutput
Gain 7	0	4194304	Value	ValueOutput
Gain 8	0	4194304	Value	ValueOutput
Gain 9	0	4194304	Value	ValueOutput
Gain 10	0	4194304	Value	ValueOutput
Gain 11	0	4194304	Value	ValueOutput
Gain 12	0	4194304	Value	ValueOutput
Gain 13	0	4194304	Value	ValueOutput
Gain 14	0	4194304	Value	ValueOutput
Gain 15	0	4194304	Value	ValueOutput
Gain 16	0	4194304	Value	ValueOutput
Gain 17	0	4194304	Value	ValueOutput
Gain 18	0	4194304	Value	ValueOutput
Gain 19	0	4194304	Value	ValueOutput
Gain 20	0	4194304	Value	ValueOutput
Gain 21	0	4194304	Value	ValueOutput
Gain 22	0	4194304	Value	ValueOutput
Gain 23	0	4194304	Value	ValueOutput
Gain 24	0	4194304	Value	ValueOutput
Gain 25	0	4194304	Value	ValueOutput
Gain 26	0	4194304	Value	ValueOutput
Gain 27	0	4194304	Value	ValueOutput
Gain 28	0	4194304	Value	ValueOutput
Gain 29	0	4194304	Value	ValueOutput
Gain 30	0	4194304	Value	ValueOutput
