Scope
Manufacturer	Model
Stagecraft Software	vst.Dela.SC Delay 64
Note: Will match scope definitions for vst.Dela.SC Delay 64 or vst.Dela

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Dry	0	4194304	Value	ValueOutput
Wet	0	4194304	Value	ValueOutput
Gain 1	0	4194304	Value	ValueOutput
Feedback 1	0	4194304	Value	ValueOutput
Time 1	0	4194304	Value	ValueOutput
Pan 1	0	4194304	Value	ValueOutput
Sweep 1	0	4194304	Value	ValueOutput
Res 1	0	4194304	Value	ValueOutput
LFO F 1	0	4194304	Value	ValueOutput
LFO Amt 1	0	4194304	Value	ValueOutput
Gain 2	0	4194304	Value	ValueOutput
Feedback 2	0	4194304	Value	ValueOutput
Time 2	0	4194304	Value	ValueOutput
Pan 2	0	4194304	Value	ValueOutput
Sweep 2	0	4194304	Value	ValueOutput
Res 2	0	4194304	Value	ValueOutput
LFO F 2	0	4194304	Value	ValueOutput
LFO Amt 2	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
