Scope
Manufacturer	Model
Klanghelm	vst.SDRR.SDRR x64
Note: Will match scope definitions for vst.SDRR.SDRR x64 or vst.SDRR

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Mode	0	4194304	Value	ValueOutput
Input Trim	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Stages	0	4194304	Value	ValueOutput
Character 1	0	4194304	Value	ValueOutput
Harmonic Balance 1	0	4194304	Value	ValueOutput
Frequency Response 1	0	4194304	Value	ValueOutput
Dynamic Response 1	0	4194304	Value	ValueOutput
Output Compensation 1	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Stages	0	4194304	Value	ValueOutput
Character 2	0	4194304	Value	ValueOutput
Harmonic Balance 2	0	4194304	Value	ValueOutput
Frequency Response 2	0	4194304	Value	ValueOutput
Dynamic Response 2	0	4194304	Value	ValueOutput
Resolution 2	0	4194304	Value	ValueOutput
Samplerate Degration	0	4194304	Value	ValueOutput
Output Compensation 2	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Stages	0	4194304	Value	ValueOutput
Character 3	0	4194304	Value	ValueOutput
Harmonic Balance 3	0	4194304	Value	ValueOutput
Frequency Response 3	0	4194304	Value	ValueOutput
Dynamic Response 3	0	4194304	Value	ValueOutput
Output Compensation 3	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Stages	0	4194304	Value	ValueOutput
Transients 4	0	4194304	Value	ValueOutput
Compression 4	0	4194304	Value	ValueOutput
Bass 4	0	4194304	Value	ValueOutput
Treble 4	0	4194304	Value	ValueOutput
Fast Compression	0	4194304	Value	ValueOutput
Tight Bass	0	4194304	Value	ValueOutput
Tight Treble	0	4194304	Value	ValueOutput
Output Compensation 4	0	4194304	Value	ValueOutput
Drift	0	4194304	Value	ValueOutput
Crosstalk	0	4194304	Value	ValueOutput
Channel Mode	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Calibration	0	4194304	Value	ValueOutput
VU Mode	0	4194304	Value	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
