Scope
Manufacturer	Model
Waves	vst.TSPS.WaveShell-VST 9_91_x64.Smack Attack Stereo
Note: Will match scope definitions for vst.TSPS.WaveShell-VST 9_91_x64.Smack Attack Stereo or vst.TSPS

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Attack	0	4194304	Value	ValueOutput
AttackSensitivity	0	4194304	Value	ValueOutput
AttackDuration	0	4194304	Value	ValueOutput
AttackShape	0	4194304	Value	ValueOutput
Sustain	0	4194304	Value	ValueOutput
SustainSensitivity	0	4194304	Value	ValueOutput
SustainDuration	0	4194304	Value	ValueOutput
SustainShape	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Guard	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
