Scope
Manufacturer	Model
Flux:: sound and picture development	vst.fxSo.SoleraV3 x64
Note: Will match scope definitions for vst.fxSo.SoleraV3 x64 or vst.fxSo

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Morphing	0	4194304	Value	ValueOutput
Input Gain	0	4194304	Value	ValueOutput
Dry Mix	0	4194304	Value	ValueOutput
Invert Phase	0	4194304	Value	ValueOutput
Output Gain	0	4194304	Value	ValueOutput
Link Channels	0	4194304	Value	ValueOutput
MS Width	0	4194304	Value	ValueOutput
Enable MS	0	4194304	Value	ValueOutput
Auto Delay	0	4194304	Value	ValueOutput
Delay	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release Mode	0	4194304	Value	ValueOutput
Release Min	0	4194304	Value	ValueOutput
Release Max	0	4194304	Value	ValueOutput
Dynamic Factor	0	4194304	Value	ValueOutput
Dynamic Velocity	0	4194304	Value	ValueOutput
Clipper Knee	0	4194304	Value	ValueOutput
Clipper Enable	0	4194304	Value	ValueOutput
Clipper Ceiling	0	4194304	Value	ValueOutput
EQ Solo	0	4194304	Value	ValueOutput
Enable EQ	0	4194304	Value	ValueOutput
EQ Band 1 Enable	0	4194304	Value	ValueOutput
EQ Band 1 Type	0	4194304	Value	ValueOutput
EQ Band 1 Freq	0	4194304	Value	ValueOutput
EQ Band 1 Gain	0	4194304	Value	ValueOutput
EQ Band 1 Q	0	4194304	Value	ValueOutput
EQ Band 2 Enable	0	4194304	Value	ValueOutput
EQ Band 2 Type	0	4194304	Value	ValueOutput
EQ Band 2 Freq	0	4194304	Value	ValueOutput
EQ Band 2 Gain	0	4194304	Value	ValueOutput
EQ Band 2 Q	0	4194304	Value	ValueOutput
EQ Band 3 Enable	0	4194304	Value	ValueOutput
EQ Band 3 Type	0	4194304	Value	ValueOutput
EQ Band 3 Freq	0	4194304	Value	ValueOutput
EQ Band 3 Gain	0	4194304	Value	ValueOutput
EQ Band 3 Q	0	4194304	Value	ValueOutput
Compressor Enable	0	4194304	Value	ValueOutput
Compressor Peak / Rms	0	4194304	Value	ValueOutput
Compressor Dynamic Ratio	0	4194304	Value	ValueOutput
Comp Invert Dynamic Rati	0	4194304	Value	ValueOutput
Compressor L.I.D.	0	4194304	Value	ValueOutput
Comp L.I.D. Threshold	0	4194304	Value	ValueOutput
Compressor H Max	0	4194304	Value	ValueOutput
Compressor Ratio	0	4194304	Value	ValueOutput
Compressor Ratio Inf	0	4194304	Value	ValueOutput
Compressor Threshold	0	4194304	Value	ValueOutput
Compressor Knee	0	4194304	Value	ValueOutput
Compressor Limit	0	4194304	Value	ValueOutput
Compressor Hold	0	4194304	Value	ValueOutput
DCompressor Enable	0	4194304	Value	ValueOutput
DCompressor Peak / Rms	0	4194304	Value	ValueOutput
DCompressor Dynamic Rati	0	4194304	Value	ValueOutput
DComp Invert Dynamic Rat	0	4194304	Value	ValueOutput
DCompressor L.I.D.	0	4194304	Value	ValueOutput
DComp L.I.D. Threshold	0	4194304	Value	ValueOutput
DCompressor H Max	0	4194304	Value	ValueOutput
DCompressor Ratio	0	4194304	Value	ValueOutput
DCompressor Ratio Inf	0	4194304	Value	ValueOutput
DCompressor Threshold	0	4194304	Value	ValueOutput
DCompressor Knee	0	4194304	Value	ValueOutput
DCompressor Limit	0	4194304	Value	ValueOutput
DCompressor Hold	0	4194304	Value	ValueOutput
Expander Enable	0	4194304	Value	ValueOutput
Expander Peak / Rms	0	4194304	Value	ValueOutput
Expander Dynamic Ratio	0	4194304	Value	ValueOutput
Exp Invert Dynamic Ratio	0	4194304	Value	ValueOutput
Expander L.I.D.	0	4194304	Value	ValueOutput
Exp L.I.D. Threshold	0	4194304	Value	ValueOutput
Expander H Max	0	4194304	Value	ValueOutput
Expander Ratio	0	4194304	Value	ValueOutput
Expander Ratio Inf	0	4194304	Value	ValueOutput
Expander Threshold	0	4194304	Value	ValueOutput
Expander Knee	0	4194304	Value	ValueOutput
Expander Limit	0	4194304	Value	ValueOutput
Expander Hold	0	4194304	Value	ValueOutput
DExpander Enable	0	4194304	Value	ValueOutput
