Scope
Manufacturer	Model
LinPlug	vst.LSP1.Spectral
Note: Will match scope definitions for vst.LSP1.Spectral or vst.LSP1

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Osc 1 On/Off	0	4194304	Value	ValueOutput
Osc 1 Semi	0	4194304	Value	ValueOutput
Osc 1 Cent	0	4194304	Value	ValueOutput
Osc 1 Track	0	4194304	Value	ValueOutput
Osc 1 Free-Run	0	4194304	Value	ValueOutput
Osc 1 X-Mod 1	0	4194304	Value	ValueOutput
Osc 1 X-Mod 2	0	4194304	Value	ValueOutput
Osc 1 Wave-Mix	0	4194304	Value	ValueOutput
Osc 1 Symmetry	0	4194304	Value	ValueOutput
Osc 1 Start Phase	0	4194304	Value	ValueOutput
Osc 1 Spread Detune	0	4194304	Value	ValueOutput
Osc 1 Spread Volume	0	4194304	Value	ValueOutput
Osc 1 Spread Stereo	0	4194304	Value	ValueOutput
Osc 1 Spread Voices	0	4194304	Value	ValueOutput
Osc 1 Gain	0	4194304	Value	ValueOutput
Osc 2 On/Off	0	4194304	Value	ValueOutput
Osc 2 Semi	0	4194304	Value	ValueOutput
Osc 2 Cent	0	4194304	Value	ValueOutput
Osc 2 Track	0	4194304	Value	ValueOutput
Osc 2 Free-Run	0	4194304	Value	ValueOutput
Osc 2 X-Mod 1	0	4194304	Value	ValueOutput
Osc 2 X-Mod 2	0	4194304	Value	ValueOutput
Osc 2 Wave-Mix	0	4194304	Value	ValueOutput
Osc 2 Symmetry	0	4194304	Value	ValueOutput
Osc 2 Start Phase	0	4194304	Value	ValueOutput
Osc 2 Spread Detune	0	4194304	Value	ValueOutput
Osc 2 Spread Volume	0	4194304	Value	ValueOutput
Osc 2 Spread Stereo	0	4194304	Value	ValueOutput
Osc 2 Spread Voices	0	4194304	Value	ValueOutput
Osc 2 Gain	0	4194304	Value	ValueOutput
Osc 3 On/Off	0	4194304	Value	ValueOutput
Osc 3 Semi	0	4194304	Value	ValueOutput
Osc 3 Cent	0	4194304	Value	ValueOutput
Osc 3 Track	0	4194304	Value	ValueOutput
Osc 3 Free-Run	0	4194304	Value	ValueOutput
Osc 3 X-Mod 1	0	4194304	Value	ValueOutput
Osc 3 X-Mod 2	0	4194304	Value	ValueOutput
Osc 3 Wave-Mix	0	4194304	Value	ValueOutput
Osc 3 Symmetry	0	4194304	Value	ValueOutput
Osc 3 Start Phase	0	4194304	Value	ValueOutput
Osc 3 Spread Detune	0	4194304	Value	ValueOutput
Osc 3 Spread Volume	0	4194304	Value	ValueOutput
Osc 3 Spread Stereo	0	4194304	Value	ValueOutput
Osc 3 Spread Voices	0	4194304	Value	ValueOutput
Osc 3 Gain	0	4194304	Value	ValueOutput
Osc 4 On/Off	0	4194304	Value	ValueOutput
Osc 4 Semi	0	4194304	Value	ValueOutput
Osc 4 Cent	0	4194304	Value	ValueOutput
Osc 4 Track	0	4194304	Value	ValueOutput
Osc 4 Free-Run	0	4194304	Value	ValueOutput
Osc 4 X-Mod 1	0	4194304	Value	ValueOutput
Osc 4 X-Mod 2	0	4194304	Value	ValueOutput
Osc 4 Wave-Mix	0	4194304	Value	ValueOutput
Osc 4 Symmetry	0	4194304	Value	ValueOutput
Osc 4 Start Phase	0	4194304	Value	ValueOutput
Osc 4 Spread Detune	0	4194304	Value	ValueOutput
Osc 4 Spread Volume	0	4194304	Value	ValueOutput
Osc 4 Spread Stereo	0	4194304	Value	ValueOutput
Osc 4 Spread Voices	0	4194304	Value	ValueOutput
Osc 4 Gain	0	4194304	Value	ValueOutput
Fil 1 On/Bypass	0	4194304	Value	ValueOutput
Fil 1 Frequency	0	4194304	Value	ValueOutput
Fil 1 Resonance	0	4194304	Value	ValueOutput
Fil 1 Key-Track	0	4194304	Value	ValueOutput
Fil 1 Env-Depth	0	4194304	Value	ValueOutput
Fil 1 Velocity	0	4194304	Value	ValueOutput
Fil 1 X-Mod 1	0	4194304	Value	ValueOutput
Fil 1 X-Mod 2	0	4194304	Value	ValueOutput
Fil 1 Volume	0	4194304	Value	ValueOutput
Fil 1 Pan	0	4194304	Value	ValueOutput
Fil 1 LP Offset	0	4194304	Value	ValueOutput
